Start time: 1725127078
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-192 queue1-dy-hpc6a48xlarge-114
# OSU MPI Latency Test v5.8
# Size          Latency (us)
# Size      Bandwidth (MB/s)
1                       0.95
2                       1.92
4                       3.75
8                       7.68
16                     15.32
32                     30.73
64                     61.34
128                   122.32
256                   242.64
512                   484.47
1024                  940.84
2048                 1867.93
4096                 3471.89
8192                 6273.09
16384                8204.71
32768                9983.68
65536               11082.44
131072              10239.66
262144              10802.00
524288              11572.32
1048576             11868.12
2097152             11992.03
4194304             12013.43
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-114 queue1-dy-hpc6a48xlarge-172
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.53
1                      12.47
2                      12.73
4                      12.50
8                      12.96
16                     12.96
32                     12.97
64                     13.02
128                    13.05
256                    13.07
512                    13.19
1024                   13.30
2048                   13.48
4096                   14.06
8192                   15.41
16384                  16.16
32768                  17.72
65536                  20.56
131072                 54.87
262144                 67.74
524288                118.75
1048576               222.37
2097152               429.33
4194304               816.14
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.92
2                       1.87
4                       3.80
8                       7.56
16                     15.22
32                     29.69
64                     60.98
128                   120.88
256                   238.61
512                   477.32
1024                  950.18
2048                 1853.82
4096                 3535.08
8192                 6383.52
16384                8341.21
32768                9767.63
65536               11071.77
131072              10564.99
262144              11056.63
524288              11672.09
1048576             11889.85
2097152             12048.45
4194304             12002.82
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-114 queue1-dy-hpc6a48xlarge-237
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.19
1                      15.19
2                      15.36
4                      15.19
8                      15.63
16                     15.61
32                     15.62
64                     15.71
128                    15.78
256                    15.79
512                    15.83
1024                   16.00
2048                   16.28
4096                   17.25
8192                   19.28
16384                  20.21
32768                  21.94
65536                  25.24
131072                 66.23
262144                 79.30
524288                138.15
1048576               256.08
2097152               491.85
4194304               930.81
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.89
2                       1.78
4                       3.48
8                       7.07
16                     14.17
32                     28.81
64                     56.97
128                   114.27
256                   228.58
512                   454.47
1024                  865.80
2048                 1745.19
4096                 3244.38
8192                 5890.89
16384                7848.59
32768                9557.22
65536               10897.87
131072              10359.17
262144              11011.85
524288              11476.33
1048576             11896.83
2097152             12008.32
4194304             11991.06
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-114 queue1-dy-hpc6a48xlarge-177
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.05
1                      16.06
2                      16.34
4                      16.08
8                      16.49
16                     16.47
32                     16.49
64                     16.61
128                    16.68
256                    16.70
512                    16.74
1024                   16.95
2048                   17.24
4096                   18.24
8192                   20.49
16384                  21.41
32768                  23.03
65536                  26.11
131072                 69.88
262144                 81.86
524288                142.83
1048576               264.91
2097152               509.23
4194304               961.73
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.72
4                       3.49
8                       6.78
16                     14.04
32                     28.14
64                     55.11
128                   110.45
256                   221.51
512                   438.21
1024                  867.51
2048                 1715.26
4096                 3155.45
8192                 5771.36
16384                7751.77
32768                9261.78
65536               10588.78
131072              10262.84
262144              10869.29
524288              11470.97
1048576             11810.82
2097152             12001.43
4194304             12041.70
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-114 queue1-dy-hpc6a48xlarge-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.00
1                      13.00
2                      13.15
4                      13.01
8                      13.43
16                     13.46
32                     13.41
64                     13.49
128                    13.51
256                    13.55
512                    13.64
1024                   13.71
2048                   13.89
4096                   14.66
8192                   15.66
16384                  16.46
32768                  17.96
65536                  20.92
131072                 57.44
262144                 67.72
524288                120.27
1048576               223.85
2097152               431.35
4194304               819.08
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.94
2                       1.87
4                       3.76
8                       7.51
16                     15.13
32                     30.42
64                     61.00
128                   121.43
256                   242.04
512                   484.85
1024                  948.43
2048                 1869.71
4096                 3473.39
8192                 6298.55
16384                8179.18
32768                9780.83
65536               10916.49
131072              10472.34
262144              11055.85
524288              11618.47
1048576             11896.67
2097152             12057.87
4194304             12027.99
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-114 queue1-dy-hpc6a48xlarge-92
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.73
1                      15.74
2                      15.91
4                      15.73
8                      16.14
16                     16.17
32                     16.22
64                     16.25
128                    16.35
256                    16.37
512                    16.42
1024                   16.63
2048                   16.93
4096                   17.90
8192                   20.13
16384                  21.02
32768                  22.71
65536                  25.76
131072                 67.83
262144                 81.23
524288                140.99
1048576               261.21
2097152               502.75
4194304               948.58
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.85
2                       1.73
4                       3.52
8                       7.02
16                     14.00
32                     27.52
64                     56.32
128                   111.92
256                   220.77
512                   440.47
1024                  873.87
2048                 1729.80
4096                 3271.12
8192                 5748.10
16384                6873.22
32768                9416.80
65536               10738.29
131072              10037.43
262144              10959.87
524288              11438.21
1048576             11804.92
2097152             11962.01
4194304             11983.50
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-114 queue1-dy-hpc6a48xlarge-110
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.20
1                      15.24
2                      15.42
4                      15.24
8                      15.66
16                     15.68
32                     15.70
64                     15.77
128                    15.82
256                    15.82
512                    15.90
1024                   16.07
2048                   16.31
4096                   17.28
8192                   19.37
16384                  20.21
32768                  21.81
65536                  24.88
131072                 66.08
262144                 78.80
524288                138.21
1048576               255.28
2097152               492.92
4194304               931.33
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.89
2                       1.77
4                       3.61
8                       6.90
16                     14.12
32                     28.38
64                     57.04
128                   114.14
256                   228.18
512                   453.81
1024                  903.24
2048                 1733.21
4096                 3336.70
8192                 5904.31
16384                7846.71
32768                9649.92
65536               10806.70
131072              10181.14
262144              10768.80
524288              11423.46
1048576             11726.55
2097152             11958.49
4194304             11973.11
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-172 queue1-dy-hpc6a48xlarge-237
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.07
1                      15.06
2                      15.30
4                      15.08
8                      15.52
16                     15.52
32                     15.52
64                     15.65
128                    15.66
256                    15.68
512                    15.76
1024                   15.88
2048                   16.14
4096                   17.04
8192                   19.13
16384                  20.21
32768                  21.97
65536                  24.89
131072                 65.79
262144                 78.65
524288                137.58
1048576               254.37
2097152               489.76
4194304               928.07
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.90
2                       1.81
4                       3.66
8                       7.10
16                     14.33
32                     28.56
64                     57.17
128                   115.37
256                   228.93
512                   456.80
1024                  915.03
2048                 1746.28
4096                 3275.47
8192                 5876.86
16384                7794.19
32768                9536.61
65536               10782.91
131072              10120.72
262144              10811.72
524288              11442.05
1048576             11797.07
2097152             12003.28
4194304             12065.65
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-172 queue1-dy-hpc6a48xlarge-177
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.07
1                      16.04
2                      16.20
4                      16.02
8                      16.42
16                     16.44
32                     16.46
64                     16.54
128                    16.62
256                    16.64
512                    16.72
1024                   16.91
2048                   17.20
4096                   18.17
8192                   20.35
16384                  21.31
32768                  23.00
65536                  25.98
131072                 69.08
262144                 81.88
524288                142.40
1048576               265.21
2097152               507.63
4194304               959.52
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.73
4                       3.52
8                       6.91
16                     13.99
32                     28.00
64                     55.40
128                   109.53
256                   222.78
512                   441.05
1024                  878.84
2048                 1720.62
4096                 3272.49
8192                 5773.26
16384                7702.90
32768                9559.70
65536               10846.38
131072              10492.84
262144              10712.03
524288              11234.81
1048576             11763.40
2097152             11967.76
4194304             12003.05
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-172 queue1-dy-hpc6a48xlarge-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.55
1                      13.14
2                      12.79
4                      12.57
8                      13.00
16                     13.02
32                     13.00
64                     13.09
128                    13.09
256                    13.11
512                    13.25
1024                   13.33
2048                   13.53
4096                   14.08
8192                   15.45
16384                  16.33
32768                  17.71
65536                  20.86
131072                 54.95
262144                 68.09
524288                119.72
1048576               224.59
2097152               433.35
4194304               824.40
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.94
2                       1.87
4                       3.85
8                       7.62
16                     15.27
32                     29.25
64                     60.00
128                   120.50
256                   241.52
512                   479.68
1024                  930.59
2048                 1863.60
4096                 3536.43
8192                 6198.97
16384                8100.03
32768                9963.97
65536               11078.63
131072              10402.96
262144              10807.65
524288              11353.52
1048576             11869.58
2097152             12042.76
4194304             12018.89
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-172 queue1-dy-hpc6a48xlarge-92
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.17
1                      16.15
2                      16.28
4                      16.15
8                      16.55
16                     16.57
32                     16.57
64                     16.64
128                    16.75
256                    16.72
512                    16.81
1024                   16.98
2048                   17.25
4096                   18.18
8192                   20.24
16384                  21.08
32768                  22.80
65536                  25.92
131072                 68.87
262144                 81.28
524288                142.08
1048576               263.24
2097152               505.34
4194304               955.46
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.72
4                       3.53
8                       7.00
16                     13.94
32                     28.11
64                     55.94
128                   111.99
256                   226.38
512                   446.03
1024                  885.72
2048                 1696.76
4096                 3269.66
8192                 5783.45
16384                7676.35
32768                9494.68
65536               10798.28
131072              10246.82
262144              10544.08
524288              11131.64
1048576             11630.82
2097152             11931.97
4194304             11986.90
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-172 queue1-dy-hpc6a48xlarge-110
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.57
1                      15.58
2                      15.78
4                      15.59
8                      15.96
16                     15.99
32                     15.98
64                     16.06
128                    16.20
256                    16.15
512                    16.22
1024                   16.31
2048                   16.52
4096                   17.43
8192                   19.60
16384                  20.26
32768                  21.83
65536                  25.12
131072                 66.38
262144                 79.56
524288                138.38
1048576               257.36
2097152               494.45
4194304               936.01
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.61
8                       7.16
16                     14.35
32                     28.91
64                     56.40
128                   112.89
256                   222.31
512                   447.57
1024                  907.58
2048                 1766.91
4096                 3276.39
8192                 5901.78
16384                7788.54
32768                9634.40
65536               10850.06
131072               9833.42
262144              10318.54
524288              10869.86
1048576             11579.69
2097152             11953.78
4194304             11992.82
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-237 queue1-dy-hpc6a48xlarge-177
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.76
1                      15.77
2                      15.99
4                      15.75
8                      16.21
16                     16.20
32                     16.23
64                     16.29
128                    16.34
256                    16.36
512                    16.45
1024                   16.68
2048                   17.01
4096                   17.97
8192                   20.19
16384                  21.11
32768                  22.54
65536                  25.83
131072                 68.28
262144                 81.47
524288                141.41
1048576               262.23
2097152               504.30
4194304               954.70
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.74
4                       3.55
8                       7.14
16                     14.30
32                     28.54
64                     55.59
128                   112.45
256                   223.95
512                   447.78
1024                  887.36
2048                 1729.39
4096                 3303.39
8192                 5866.72
16384                7782.21
32768                9581.78
65536               10851.89
131072              10347.72
262144              10969.09
524288              11511.71
1048576             11841.06
2097152             11982.30
4194304             12026.91
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-237 queue1-dy-hpc6a48xlarge-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.59
1                      15.59
2                      15.83
4                      15.60
8                      16.01
16                     16.04
32                     16.05
64                     16.09
128                    16.14
256                    16.15
512                    16.21
1024                   16.31
2048                   16.58
4096                   17.43
8192                   19.34
16384                  20.25
32768                  21.78
65536                  25.01
131072                 65.98
262144                 79.38
524288                137.94
1048576               255.39
2097152               490.55
4194304               929.03
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.75
4                       3.46
8                       7.12
16                     14.31
32                     28.52
64                     57.33
128                   111.84
256                   223.21
512                   444.37
1024                  887.35
2048                 1740.07
4096                 3233.02
8192                 5865.92
16384                7776.27
32768                9642.50
65536               10779.14
131072              10315.73
262144              10937.26
524288              11520.66
1048576             11869.05
2097152             12030.65
4194304             12016.16
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-237 queue1-dy-hpc6a48xlarge-92
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.53
1                      15.53
2                      15.67
4                      15.54
8                      15.97
16                     15.95
32                     16.00
64                     16.05
128                    16.10
256                    16.11
512                    16.20
1024                   16.38
2048                   16.74
4096                   17.68
8192                   19.91
16384                  20.79
32768                  22.45
65536                  25.52
131072                 69.88
262144                 80.83
524288                140.07
1048576               260.57
2097152               499.19
4194304               942.77
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.60
8                       7.02
16                     14.31
32                     26.96
64                     56.34
128                   112.23
256                   226.64
512                   451.68
1024                  890.32
2048                 1728.95
4096                 3229.54
8192                 5842.58
16384                7788.83
32768                9596.12
65536               10879.67
131072              10180.12
262144              10944.84
524288              11396.79
1048576             11822.65
2097152             11979.70
4194304             12057.19
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-237 queue1-dy-hpc6a48xlarge-110
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       9.75
1                       9.78
2                       9.74
4                       9.94
8                      10.22
16                     10.24
32                     10.24
64                     10.27
128                    10.29
256                    10.34
512                    10.41
1024                   10.52
2048                   10.69
4096                   11.14
8192                   12.08
16384                  12.80
32768                  14.45
65536                  17.21
131072                 44.35
262144                 57.67
524288                102.56
1048576               192.88
2097152               373.37
4194304               715.02
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.02
2                       2.05
4                       4.21
8                       8.29
16                     16.62
32                     33.35
64                     66.89
128                   127.03
256                   262.04
512                   522.84
1024                 1013.58
2048                 2016.65
4096                 3723.00
8192                 6885.15
16384                8585.54
32768               10299.14
65536               11296.80
131072              10465.44
262144              11300.78
524288              11652.87
1048576             11885.62
2097152             12051.65
4194304             12032.51
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-177 queue1-dy-hpc6a48xlarge-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.47
1                      16.50
2                      16.62
4                      16.47
