Start time: 1725095424
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.61,    4.93,  19.72,      0.125,   13.59,    2.47,  19.75,     0.250,   11.33,    5.92,  23.70
            1,      0.750,   14.93,   13.48,  17.98,      0.375,   14.92,    6.75,  17.99,     0.750,   14.28,   14.10,  18.80
            2,      1.250,   15.83,   21.19,  16.95,      0.625,   15.75,   10.65,  17.05,     1.250,   14.48,   23.17,  18.53
            3,      1.750,   16.05,   29.26,  16.72,      0.875,   16.13,   14.56,  16.64,     1.750,   15.43,   30.44,  17.40
            4,      2.250,   16.46,   36.68,  16.30,      1.125,   16.36,   18.46,  16.41,     2.250,   16.06,   37.61,  16.72
            6,      3.250,   17.29,   50.47,  15.53,      1.625,   17.26,   25.28,  15.56,     3.250,   16.31,   53.48,  16.46
            8,      4.250,   17.67,   64.58,  15.19,      2.125,   17.86,   31.95,  15.03,     4.250,   16.58,   68.83,  16.19
           12,      6.250,   19.30,   86.94,  13.91,      3.125,   19.13,   43.85,  14.03,     6.250,   20.43,   82.13,  13.14
           16,      8.250,   21.26,  104.16,  12.63,      4.125,   21.30,   51.99,  12.60,     8.250,   25.57,   86.60,  10.50
           20,     10.250,   25.89,  106.26,  10.37,      5.125,   25.94,   53.03,  10.35,    10.250,   31.41,   87.59,   8.55
           24,     12.250,   32.34,  101.67,   8.30,      6.125,   32.44,   50.69,   8.28,    12.250,   37.34,   88.07,   7.19
           28,     14.250,   35.38,  108.12,   7.59,      7.125,   35.11,   54.47,   7.64,    14.250,   43.51,   87.91,   6.17
           32,     16.250,   39.66,  110.00,   6.77,      8.125,   39.61,   55.06,   6.78,    16.250,   48.67,   89.63,   5.52
           40,     20.250,   48.88,  111.20,   5.49,     10.125,   49.05,   55.42,   5.47,    20.250,   60.98,   89.13,   4.40
           48,     24.250,   58.75,  110.80,   4.57,     12.125,   58.75,   55.40,   4.57,    24.250,   73.21,   88.91,   3.67
           56,     28.250,   68.97,  109.95,   3.89,     14.125,   69.24,   54.76,   3.88,    28.250,   85.81,   88.37,   3.13
           64,     32.250,   79.44,  108.97,   3.38,     16.125,   79.65,   54.35,   3.37,    32.250,   98.58,   87.82,   2.72
           80,     40.250,   98.05,  110.19,   2.74,     20.125,   97.85,   55.21,   2.74,    40.250,  124.08,   87.08,   2.16
          104,     52.250,  129.02,  108.71,   2.08,     26.125,  129.24,   54.26,   2.08,    52.250,  161.98,   86.59,   1.66
          120,     60.250,  150.21,  107.67,   1.79,     30.125,  151.94,   53.22,   1.77,    60.250,  187.00,   86.49,   1.44
          128,     64.250,  162.82,  105.93,   1.65,     32.125,  162.69,   53.00,   1.65,    64.250,  200.15,   86.17,   1.34
          160,     80.250,  197.91,  108.84,   1.36,     40.125,  197.91,   54.42,   1.36,    80.250,  255.21,   84.41,   1.05
          192,     96.250,  245.57,  105.21,   1.09,     48.125,  244.72,   52.79,   1.10,    96.250,  305.58,   84.55,   0.88
          256,    128.250,  323.72,  106.35,   0.83,     64.125,  324.12,   53.11,   0.83,   128.250,  407.36,   84.51,   0.66
          320,    160.250,  408.70,  105.25,   0.66,     80.125,  407.73,   52.75,   0.66,   160.250,  509.27,   84.47,   0.53
          512,    256.250,  665.44,  103.37,   0.40,    128.125,  665.26,   51.70,   0.40,   256.250,  813.98,   84.51,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725095700
