Start time: 1725094317
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.50,    4.97,  19.89,      0.125,   13.52,    2.48,  19.86,     0.250,   11.44,    5.87,  23.46
            1,      0.750,   14.96,   13.45,  17.94,      0.375,   14.95,    6.74,  17.96,     0.750,   14.08,   14.30,  19.07
            2,      1.250,   15.45,   21.72,  17.37,      0.625,   15.07,   11.13,  17.81,     1.250,   14.35,   23.38,  18.71
            3,      1.750,   15.76,   29.81,  17.03,      0.875,   15.78,   14.89,  17.01,     1.750,   14.72,   31.92,  18.24
            4,      2.250,   15.83,   38.15,  16.96,      1.125,   15.77,   19.15,  17.02,     2.250,   15.47,   39.03,  17.35
            6,      3.250,   17.10,   51.03,  15.70,      1.625,   16.67,   26.17,  16.10,     3.250,   15.89,   54.91,  16.90
            8,      4.250,   17.49,   65.24,  15.35,      2.125,   17.45,   32.69,  15.38,     4.250,   16.36,   69.72,  16.41
           12,      6.250,   19.25,   87.17,  13.95,      3.125,   19.26,   43.56,  13.94,     6.250,   20.42,   82.14,  13.14
           16,      8.250,   21.38,  103.57,  12.55,      4.125,   21.44,   51.65,  12.52,     8.250,   25.56,   86.64,  10.50
           20,     10.250,   25.96,  105.97,  10.34,      5.125,   25.97,   52.97,  10.34,    10.250,   31.40,   87.64,   8.55
           24,     12.250,   32.40,  101.50,   8.29,      6.125,   32.30,   50.91,   8.31,    12.250,   37.48,   87.74,   7.16
           28,     14.250,   35.38,  108.11,   7.59,      7.125,   35.29,   54.20,   7.61,    14.250,   43.63,   87.68,   6.15
           32,     16.250,   40.07,  108.86,   6.70,      8.125,   39.95,   54.60,   6.72,    16.250,   48.69,   89.59,   5.51
           40,     20.250,   49.19,  110.50,   5.46,     10.125,   49.20,   55.24,   5.46,    20.250,   61.07,   89.01,   4.40
           48,     24.250,   59.09,  110.16,   4.54,     12.125,   58.95,   55.21,   4.55,    24.250,   73.22,   88.90,   3.67
           56,     28.250,   69.25,  109.51,   3.88,     14.125,   69.14,   54.84,   3.88,    28.250,   85.57,   88.62,   3.14
           64,     32.250,   79.47,  108.93,   3.38,     16.125,   79.74,   54.28,   3.37,    32.250,   98.58,   87.81,   2.72
           80,     40.250,   98.52,  109.67,   2.72,     20.125,   98.09,   55.08,   2.74,    40.250,  124.09,   87.07,   2.16
          104,     52.250,  128.99,  108.74,   2.08,     26.125,  129.25,   54.26,   2.08,    52.250,  162.06,   86.54,   1.66
          120,     60.250,  150.19,  107.69,   1.79,     30.125,  151.77,   53.28,   1.77,    60.250,  186.93,   86.52,   1.44
          128,     64.250,  162.73,  105.99,   1.65,     32.125,  162.17,   53.18,   1.66,    64.250,  199.99,   86.24,   1.34
          160,     80.250,  197.92,  108.84,   1.36,     40.125,  198.07,   54.38,   1.36,    80.250,  255.06,   84.46,   1.05
          192,     96.250,  245.60,  105.20,   1.09,     48.125,  245.21,   52.68,   1.09,    96.250,  305.59,   84.55,   0.88
          256,    128.250,  323.65,  106.37,   0.83,     64.125,  324.23,   53.09,   0.83,   128.250,  406.93,   84.60,   0.66
          320,    160.250,  406.86,  105.73,   0.66,     80.125,  404.08,   53.23,   0.66,   160.250,  508.79,   84.55,   0.53
          512,    256.250,  665.76,  103.32,   0.40,    128.125,  665.78,   51.66,   0.40,   256.250,  813.78,   84.53,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725094593
