Start time: 1725125524
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.50,    4.97,  19.89,      0.125,   13.52,    2.48,  19.86,     0.250,   11.24,    5.97,  23.87
            1,      0.750,   14.93,   13.48,  17.98,      0.375,   14.88,    6.77,  18.04,     0.750,   14.08,   14.30,  19.07
            2,      1.250,   15.13,   22.18,  17.74,      0.625,   15.08,   11.13,  17.80,     1.250,   14.32,   23.43,  18.74
            3,      1.750,   15.45,   30.41,  17.38,      0.875,   15.41,   15.25,  17.42,     1.750,   14.73,   31.89,  18.22
            4,      2.250,   15.80,   38.23,  16.99,      1.125,   15.77,   19.15,  17.03,     2.250,   15.74,   38.37,  17.06
            6,      3.250,   17.09,   51.06,  15.71,      1.625,   17.02,   25.63,  15.77,     3.250,   15.96,   54.67,  16.82
            8,      4.250,   17.50,   65.18,  15.34,      2.125,   17.45,   32.69,  15.38,     4.250,   16.38,   69.67,  16.39
           12,      6.250,   19.16,   87.59,  14.01,      3.125,   19.08,   43.96,  14.07,     6.250,   20.38,   82.33,  13.17
           16,      8.250,   21.32,  103.88,  12.59,      4.125,   21.26,   52.08,  12.63,     8.250,   25.52,   86.77,  10.52
           20,     10.250,   25.86,  106.39,  10.38,      5.125,   25.90,   53.11,  10.36,    10.250,   31.39,   87.67,   8.55
           24,     12.250,   32.31,  101.78,   8.31,      6.125,   32.23,   51.01,   8.33,    12.250,   37.31,   88.14,   7.19
           28,     14.250,   35.20,  108.69,   7.63,      7.125,   35.01,   54.63,   7.67,    14.250,   43.45,   88.03,   6.18
           32,     16.250,   39.61,  110.13,   6.78,      8.125,   39.55,   55.14,   6.79,    16.250,   48.61,   89.73,   5.52
           40,     20.250,   48.81,  111.36,   5.50,     10.125,   48.81,   55.69,   5.50,    20.250,   60.87,   89.31,   4.41
           48,     24.250,   58.78,  110.75,   4.57,     12.125,   58.72,   55.43,   4.57,    24.250,   73.13,   89.02,   3.67
           56,     28.250,   68.88,  110.09,   3.90,     14.125,   69.01,   54.94,   3.89,    28.250,   85.61,   88.58,   3.14
           64,     32.250,   79.41,  109.02,   3.38,     16.125,   79.52,   54.43,   3.38,    32.250,   98.36,   88.02,   2.73
           80,     40.250,   98.04,  110.21,   2.74,     20.125,   97.74,   55.27,   2.75,    40.250,  123.90,   87.20,   2.17
          104,     52.250,  128.83,  108.87,   2.08,     26.125,  129.10,   54.32,   2.08,    52.250,  161.63,   86.78,   1.66
          120,     60.250,  150.03,  107.80,   1.79,     30.125,  151.51,   53.37,   1.77,    60.250,  186.95,   86.51,   1.44
          128,     64.250,  162.57,  106.09,   1.65,     32.125,  162.38,   53.11,   1.65,    64.250,  199.67,   86.38,   1.34
          160,     80.250,  197.60,  109.02,   1.36,     40.125,  197.53,   54.53,   1.36,    80.250,  254.56,   84.62,   1.05
          192,     96.250,  244.88,  105.51,   1.10,     48.125,  244.38,   52.86,   1.10,    96.250,  304.91,   84.74,   0.88
          256,    128.250,  323.22,  106.51,   0.83,     64.125,  323.52,   53.21,   0.83,   128.250,  406.57,   84.68,   0.66
          320,    160.250,  405.01,  106.21,   0.66,     80.125,  402.25,   53.47,   0.67,   160.250,  508.23,   84.64,   0.53
          512,    256.250,  664.24,  103.56,   0.40,    128.125,  664.07,   51.79,   0.40,   256.250,  812.37,   84.67,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725125799
