Start time: 1725126068
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.53,    4.96,  19.85,      0.125,   13.50,    2.49,  19.89,     0.250,   11.24,    5.97,  23.89
            1,      0.750,   14.92,   13.50,  18.00,      0.375,   14.91,    6.75,  18.01,     0.750,   14.11,   14.27,  19.03
            2,      1.250,   15.38,   21.81,  17.45,      0.625,   15.39,   10.90,  17.44,     1.250,   14.32,   23.43,  18.75
            3,      1.750,   15.71,   29.90,  17.08,      0.875,   15.38,   15.27,  17.45,     1.750,   14.68,   32.00,  18.29
            4,      2.250,   15.80,   38.23,  16.99,      1.125,   15.74,   19.19,  17.05,     2.250,   15.58,   38.77,  17.23
            6,      3.250,   16.82,   51.86,  15.96,      1.625,   16.78,   25.99,  16.00,     3.250,   15.92,   54.81,  16.87
            8,      4.250,   17.48,   65.27,  15.36,      2.125,   17.38,   32.82,  15.44,     4.250,   16.36,   69.73,  16.41
           12,      6.250,   19.05,   88.06,  14.09,      3.125,   19.05,   44.04,  14.09,     6.250,   20.41,   82.21,  13.15
           16,      8.250,   21.30,  103.95,  12.60,      4.125,   21.22,   52.18,  12.65,     8.250,   25.55,   86.68,  10.51
           20,     10.250,   25.87,  106.35,  10.38,      5.125,   25.86,   53.19,  10.38,    10.250,   31.31,   87.87,   8.57
           24,     12.250,   32.27,  101.90,   8.32,      6.125,   32.22,   51.03,   8.33,    12.250,   37.27,   88.24,   7.20
           28,     14.250,   35.15,  108.82,   7.64,      7.125,   34.94,   54.75,   7.68,    14.250,   43.52,   87.90,   6.17
           32,     16.250,   39.56,  110.27,   6.79,      8.125,   39.49,   55.23,   6.80,    16.250,   48.60,   89.76,   5.52
           40,     20.250,   48.82,  111.34,   5.50,     10.125,   48.77,   55.72,   5.50,    20.250,   60.84,   89.34,   4.41
           48,     24.250,   58.74,  110.83,   4.57,     12.125,   58.73,   55.42,   4.57,    24.250,   73.22,   88.90,   3.67
           56,     28.250,   68.86,  110.13,   3.90,     14.125,   68.98,   54.97,   3.89,    28.250,   85.56,   88.63,   3.14
           64,     32.250,   79.35,  109.10,   3.38,     16.125,   79.58,   54.39,   3.37,    32.250,   98.38,   88.00,   2.73
           80,     40.250,   97.97,  110.28,   2.74,     20.125,   97.79,   55.24,   2.75,    40.250,  123.76,   87.30,   2.17
          104,     52.250,  128.75,  108.94,   2.08,     26.125,  129.02,   54.35,   2.08,    52.250,  161.50,   86.85,   1.66
          120,     60.250,  149.88,  107.91,   1.79,     30.125,  151.75,   53.29,   1.77,    60.250,  186.86,   86.55,   1.44
          128,     64.250,  162.56,  106.10,   1.65,     32.125,  162.33,   53.12,   1.65,    64.250,  199.66,   86.38,   1.34
          160,     80.250,  197.65,  108.99,   1.36,     40.125,  197.57,   54.52,   1.36,    80.250,  254.68,   84.58,   1.05
          192,     96.250,  244.87,  105.51,   1.10,     48.125,  244.42,   52.85,   1.10,    96.250,  305.14,   84.67,   0.88
          256,    128.250,  323.30,  106.49,   0.83,     64.125,  323.68,   53.18,   0.83,   128.250,  406.65,   84.66,   0.66
          320,    160.250,  405.26,  106.14,   0.66,     80.125,  402.16,   53.48,   0.67,   160.250,  508.21,   84.64,   0.53
          512,    256.250,  664.45,  103.52,   0.40,    128.125,  664.58,   51.75,   0.40,   256.250,  812.64,   84.65,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126343
