Start time: 1725126082
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.56,    4.95,  19.79,      0.125,   13.51,    2.48,  19.87,     0.250,   11.42,    5.88,  23.51
            1,      0.750,   14.94,   13.48,  17.97,      0.375,   14.91,    6.75,  18.01,     0.750,   14.06,   14.32,  19.10
            2,      1.250,   15.48,   21.68,  17.34,      0.625,   15.01,   11.18,  17.88,     1.250,   14.34,   23.40,  18.72
            3,      1.750,   15.52,   30.26,  17.29,      0.875,   15.48,   15.17,  17.34,     1.750,   14.62,   32.12,  18.35
            4,      2.250,   15.79,   38.24,  17.00,      1.125,   15.84,   19.06,  16.94,     2.250,   15.61,   38.70,  17.20
            6,      3.250,   17.05,   51.16,  15.74,      1.625,   16.98,   25.68,  15.81,     3.250,   16.19,   53.88,  16.58
            8,      4.250,   17.57,   64.91,  15.27,      2.125,   17.54,   32.53,  15.31,     4.250,   16.35,   69.79,  16.42
           12,      6.250,   19.08,   87.94,  14.07,      3.125,   19.05,   44.03,  14.09,     6.250,   20.42,   82.15,  13.14
           16,      8.250,   21.34,  103.80,  12.58,      4.125,   21.30,   52.00,  12.61,     8.250,   25.52,   86.77,  10.52
           20,     10.250,   25.86,  106.41,  10.38,      5.125,   25.91,   53.10,  10.36,    10.250,   31.32,   87.86,   8.57
           24,     12.250,   32.32,  101.76,   8.31,      6.125,   32.20,   51.06,   8.34,    12.250,   37.34,   88.07,   7.19
           28,     14.250,   35.12,  108.90,   7.64,      7.125,   34.96,   54.71,   7.68,    14.250,   43.66,   87.62,   6.15
           32,     16.250,   39.57,  110.24,   6.78,      8.125,   39.51,   55.20,   6.79,    16.250,   48.64,   89.68,   5.52
           40,     20.250,   48.92,  111.12,   5.49,     10.125,   48.83,   55.66,   5.50,    20.250,   60.90,   89.26,   4.41
           48,     24.250,   58.70,  110.89,   4.57,     12.125,   58.69,   55.46,   4.57,    24.250,   73.21,   88.92,   3.67
           56,     28.250,   68.81,  110.20,   3.90,     14.125,   68.93,   55.00,   3.89,    28.250,   85.59,   88.60,   3.14
           64,     32.250,   79.39,  109.05,   3.38,     16.125,   79.58,   54.39,   3.37,    32.250,   98.36,   88.01,   2.73
           80,     40.250,   98.02,  110.23,   2.74,     20.125,   97.73,   55.28,   2.75,    40.250,  123.98,   87.15,   2.17
          104,     52.250,  128.79,  108.91,   2.08,     26.125,  128.96,   54.38,   2.08,    52.250,  161.67,   86.76,   1.66
          120,     60.250,  150.17,  107.70,   1.79,     30.125,  151.72,   53.30,   1.77,    60.250,  186.93,   86.52,   1.44
          128,     64.250,  162.50,  106.14,   1.65,     32.125,  162.33,   53.12,   1.65,    64.250,  199.75,   86.34,   1.34
          160,     80.250,  197.66,  108.99,   1.36,     40.125,  197.59,   54.51,   1.36,    80.250,  255.01,   84.48,   1.05
          192,     96.250,  245.06,  105.43,   1.10,     48.125,  244.72,   52.79,   1.10,    96.250,  305.27,   84.64,   0.88
          256,    128.250,  323.57,  106.40,   0.83,     64.125,  323.56,   53.20,   0.83,   128.250,  406.82,   84.62,   0.66
          320,    160.250,  407.05,  105.68,   0.66,     80.125,  405.47,   53.05,   0.66,   160.250,  508.57,   84.58,   0.53
          512,    256.250,  664.69,  103.49,   0.40,    128.125,  664.50,   51.76,   0.40,   256.250,  812.88,   84.62,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126357
