,uri,full_uri,layer_size,digest,media_type,schema_version
12,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,1276,sha256:113b6a270881e7340ab04ab9eca18c1733e258cfcc0a3a35443f365466474716,application/vnd.docker.image.rootfs.diff.tar.gzip,2
13,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,97764593,sha256:29d120eac74001475a89d6a4503379c6995ab1619a899af38ceb7226162151df,application/vnd.docker.image.rootfs.diff.tar.gzip,2
14,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,37807546,sha256:ad6099fb8303524f19a12317ac0f2f26062d3c78a7a197b9c656cd6807a6807e,application/vnd.docker.image.rootfs.diff.tar.gzip,2
15,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,22336572,sha256:c2f3679a139fff8c42e476b78d6507f93ab5c28757bddf2e78b1e25cb4b4ea1a,application/vnd.docker.image.rootfs.diff.tar.gzip,2
16,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,92648800,sha256:79ee6d9f2394ebfd1edd1bb857c84140e54dae9da355ade9e2894e6257c32a5f,application/vnd.docker.image.rootfs.diff.tar.gzip,2
17,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,119074957,sha256:9718581ee9eb86704dc9eec1c2307c91f547da2300b3a51aa118fc7e3253c989,application/vnd.docker.image.rootfs.diff.tar.gzip,2
18,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,11237396,sha256:2c4272e50bd0f79e6d1e45426c804d9d86ceb54adb989381b98b45d1877245e7,application/vnd.docker.image.rootfs.diff.tar.gzip,2
19,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,8445599,sha256:6dcd716a6d82cc25912073abd9a305979aeae9c62181893b03342b468f0b6733,application/vnd.docker.image.rootfs.diff.tar.gzip,2
20,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,79725663,sha256:84dcab2279227b4ac8d6b63ffccb5f761bf7a37595989240d28f207e864028d5,application/vnd.docker.image.rootfs.diff.tar.gzip,2
21,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
22,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,62559239,sha256:5f2b27f9241f86f91fcdfc35f1595077efdb3c8979dd14a34f1b1ff8b5988d9e,application/vnd.docker.image.rootfs.diff.tar.gzip,2
23,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
24,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,3536777,sha256:d912dfa872bd6868f0e25eb80f05ce25804b7e631113672cc12f436cbfbd2b28,application/vnd.docker.image.rootfs.diff.tar.gzip,2
25,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,260578,sha256:b6dfabe26bb644df2bf61b0f71edfa478d86ed4ace6f5a0f3989e8a5a7904289,application/vnd.docker.image.rootfs.diff.tar.gzip,2
26,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
27,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric-cpu-zen4,3738707,sha256:17429cc4969af0f6447a0a27f09942ef544ede0cbdc4493293a3b97d736bbc64,application/vnd.docker.image.rootfs.diff.tar.gzip,2
28,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,72820450,sha256:9088cdb84e397c480d4c5f1675d1aa6928c3e8b5b30c57b68a756d5d1fda4d80,application/vnd.docker.image.rootfs.diff.tar.gzip,2
29,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,390870921,sha256:6adc7d01f44d91c076bf0bde1d310f11f1d512e31a37c43e0085cfb22782e676,application/vnd.docker.image.rootfs.diff.tar.gzip,2
30,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,139305989,sha256:69f1b813e2a4c8a57956c74ca687cbdc8a1f1c4c89d097378fff1c71ef4213f1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
31,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,1946,sha256:4e48dfc561cb3c688202fa9dc5ef68e4cd084445c51b5932cfa4f8b614615174,application/vnd.docker.image.rootfs.diff.tar.gzip,2
32,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,1450233,sha256:14a0857cd39a9dbbc997eeefead95ef8f498c15e197c1c54a16ac8710141bcca,application/vnd.docker.image.rootfs.diff.tar.gzip,2
33,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
34,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,59803440,sha256:373ed996d10a0dfcecc72eb489664fc53f25ebf30450b0a991c27883f224825e,application/vnd.docker.image.rootfs.diff.tar.gzip,2
35,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,2493929,sha256:52d9186ac0fb3953ff674ca14341c930a2a1cee26e2d4c355a2b92718af628fe,application/vnd.docker.image.rootfs.diff.tar.gzip,2
36,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,1338,sha256:cf991d11d14a4272d96243cc3d2e3a17ef01249fbd968a60c1c178e9a2fe87a1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
37,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,90025111,sha256:20938b62cfd8658b13038fd4f53a1b4e8b84c06011ab9158e618370b0d34c748,application/vnd.docker.image.rootfs.diff.tar.gzip,2
