,experiment,size,iterations,cost,duration
0,google/gke/gpu,32,5,24.239366031901042,116.73496055603027
1,google/gke/gpu,8,5,10.31708887125651,198.7452907562256
2,google/gke/gpu,16,5,15.240302467854818,146.7922968864441
3,google/gke/gpu,4,5,8.196782079823812,315.8006794452667
4,google/compute-engine/gpu,32,5,25.93762046508789,124.91362595558167
5,google/compute-engine/gpu,8,5,10.954001618448892,211.01458597183228
6,google/compute-engine/gpu,16,5,16.263494059583874,156.64752411842346
7,google/compute-engine/gpu,4,5,7.659743780687121,295.10999155044556
8,azure/cyclecloud/gpu,32,5,10.770222222222221,55.0
9,azure/cyclecloud/gpu,8,5,6.755866666666668,138.0
10,azure/cyclecloud/gpu,16,5,8.518266666666667,87.0
11,azure/cyclecloud/gpu,4,5,5.262722222222223,215.0
12,azure/aks/gpu,32,5,14.50194522834354,74.05668807029724
13,azure/aks/gpu,8,5,7.382537564998203,150.80081272125244
14,azure/aks/gpu,16,5,9.445348890548283,96.46861100196838
15,azure/aks/gpu,4,5,6.285280603369078,256.77496790885925
16,aws/eks/gpu,8,5,11.24898246775733,147.45243549346924
17,aws/eks/gpu,16,5,15.942841415638394,104.48993062973022
18,aws/eks/gpu,4,5,9.25627806593577,242.6638584136963
