Start time: 1725096047
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-127 queue1-dy-hpc6a48xlarge-7
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.90
1                      15.87
2                      16.12
4                      15.89
8                      16.31
16                     16.35
32                     16.35
64                     16.43
128                    16.50
256                    16.53
512                    16.61
1024                   16.80
2048                   17.12
4096                   18.09
8192                   20.39
16384                  21.11
32768                  22.79
65536                  25.93
131072                 69.34
262144                 81.60
524288                142.45
1048576               264.19
2097152               508.06
4194304               959.85
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.71
4                       3.49
8                       6.93
16                     13.84
32                     27.62
64                     54.85
128                   109.72
256                   220.45
512                   440.74
1024                  875.42
2048                 1719.67
4096                 3218.18
8192                 5745.45
16384                7624.34
32768                9475.16
65536               10813.52
131072              10272.35
262144              10715.32
524288              11314.25
1048576             11790.69
2097152             11976.77
4194304             12029.65
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-127 queue1-dy-hpc6a48xlarge-35
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.78
1                      15.77
2                      15.94
4                      15.75
8                      16.19
16                     16.24
32                     16.20
64                     16.29
128                    16.32
256                    16.36
512                    16.45
1024                   16.68
2048                   16.96
4096                   17.90
8192                   20.16
16384                  21.02
32768                  22.56
65536                  25.96
131072                 68.19
262144                 81.65
524288                141.33
1048576               262.34
2097152               502.86
4194304               952.90
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.74
4                       3.56
8                       7.18
16                     14.31
32                     28.57
64                     57.62
128                   113.08
256                   225.29
512                   447.44
1024                  875.11
2048                 1757.52
4096                 3351.74
8192                 5772.59
16384                7726.51
32768                9452.06
65536               10473.72
131072              10465.69
262144              11155.72
524288              11566.65
1048576             11841.86
2097152             12032.10
4194304             12025.10
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-127 queue1-dy-hpc6a48xlarge-3
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.65
1                      15.64
2                      15.80
4                      15.61
8                      16.04
16                     16.03
32                     16.07
64                     16.10
128                    16.16
256                    16.16
512                    16.21
1024                   16.36
2048                   16.58
4096                   17.45
8192                   19.43
16384                  20.20
32768                  22.14
65536                  25.35
131072                 66.67
262144                 79.47
524288                138.35
1048576               256.65
2097152               492.32
4194304               931.77
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.63
8                       7.18
16                     14.39
32                     28.21
64                     56.02
128                   112.00
256                   226.25
512                   450.34
1024                  900.60
2048                 1759.35
4096                 3352.88
8192                 5812.63
16384                7659.47
32768                9548.14
65536               10857.93
131072              10057.34
262144              10890.46
524288              11394.91
1048576             11793.23
2097152             11994.83
4194304             12003.85
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-127 queue1-dy-hpc6a48xlarge-115
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.87
1                      15.88
2                      16.07
4                      15.89
8                      16.33
16                     16.31
32                     16.33
64                     16.42
128                    16.50
256                    16.53
512                    16.58
1024                   16.76
2048                   17.11
4096                   18.06
8192                   20.29
16384                  21.37
32768                  22.91
65536                  25.94
131072                 70.66
262144                 81.73
524288                142.25
1048576               263.90
2097152               505.61
4194304               956.72
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.89
2                       1.76
4                       3.54
8                       7.00
16                     14.12
32                     28.37
64                     55.84
128                   113.45
256                   228.18
512                   452.65
1024                  878.82
2048                 1726.64
4096                 3275.20
8192                 5785.48
16384                7565.86
32768                9583.39
65536               10733.86
131072              10215.17
262144              11009.68
524288              11465.39
1048576             11858.25
2097152             12031.54
4194304             12030.12
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-127 queue1-dy-hpc6a48xlarge-122
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.57
1                      12.57
2                      12.74
4                      12.58
8                      13.00
16                     13.03
32                     13.03
64                     13.10
128                    13.10
256                    13.14
512                    13.27
1024                   13.38
2048                   13.57
4096                   14.15
8192                   15.52
16384                  16.38
32768                  17.83
65536                  20.83
131072                 55.47
262144                 68.03
524288                119.74
1048576               224.65
2097152               433.51
4194304               820.09
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.93
2                       1.86
4                       3.83
8                       7.63
16                     15.31
32                     30.41
64                     59.75
128                   120.06
256                   242.30
512                   471.96
1024                  953.37
2048                 1869.14
4096                 3517.41
8192                 6249.88
16384                8157.20
32768                9956.53
65536               10806.80
131072              10534.48
262144              11016.66
524288              11598.50
1048576             11903.42
2097152             12030.23
4194304             12061.28
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-127 queue1-dy-hpc6a48xlarge-75
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.03
1                      15.99
2                      16.24
4                      16.01
8                      16.47
16                     16.45
32                     16.47
64                     16.51
128                    16.60
256                    16.66
512                    16.70
1024                   16.90
2048                   17.21
4096                   18.20
8192                   20.39
16384                  21.25
32768                  22.88
65536                  26.28
131072                 69.59
262144                 82.48
524288                143.10
1048576               266.26
2097152               510.92
4194304               966.66
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.74
4                       3.54
8                       6.96
16                     13.82
32                     27.04
64                     55.51
128                   111.05
256                   221.48
512                   441.95
1024                  879.65
2048                 1688.69
4096                 3192.31
8192                 5683.96
16384                7624.42
32768                9534.42
65536               10782.66
131072              10284.44
262144              10711.19
524288              11105.19
1048576             11740.19
2097152             11986.65
4194304             12004.50
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-127 queue1-dy-hpc6a48xlarge-15
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.76
1                      15.75
2                      15.97
4                      15.75
8                      16.26
16                     16.26
32                     16.23
64                     16.29
128                    16.35
256                    16.38
512                    16.49
1024                   16.70
2048                   16.98
4096                   17.97
8192                   20.19
16384                  21.09
32768                  22.74
65536                  25.82
131072                 69.15
262144                 81.55
524288                141.66
1048576               262.87
2097152               504.23
4194304               953.51
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.49
8                       7.16
16                     14.06
32                     27.97
64                     56.84
128                   113.22
256                   221.04
512                   451.77
1024                  896.56
2048                 1757.42
4096                 3283.93
8192                 5696.90
16384                7581.25
32768                9600.05
65536               10790.25
131072              10278.35
262144              10848.26
524288              11417.39
1048576             11835.94
2097152             11996.09
4194304             12021.20
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-35
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.25
1                      16.28
2                      16.36
4                      16.28
8                      16.69
16                     16.68
32                     16.71
64                     16.81
128                    16.87
256                    16.88
512                    16.97
1024                   17.22
2048                   17.60
4096                   18.62
8192                   21.04
16384                  21.90
32768                  23.57
65536                  26.28
131072                 72.24
262144                 83.04
524288                144.10
1048576               268.90
2097152               513.62
4194304               970.79
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.85
2                       1.70
4                       3.44
8                       6.82
16                     13.62
32                     27.49
64                     54.94
128                   108.18
256                   218.01
512                   431.05
1024                  860.03
2048                 1686.28
4096                 3156.30
8192                 5722.75
16384                7507.54
32768                9530.84
65536               10811.01
131072               9761.31
262144              10722.44
524288              11244.29
1048576             11729.86
2097152             11934.97
4194304             12046.60
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-3
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.65
1                      15.67
2                      15.79
4                      15.65
8                      16.14
16                     16.12
32                     16.14
64                     16.22
128                    16.26
256                    16.29
512                    16.38
1024                   16.58
2048                   16.89
4096                   17.89
8192                   20.08
16384                  21.05
32768                  22.59
65536                  25.67
131072                 67.79
262144                 81.36
524288                141.07
1048576               262.24
2097152               503.16
4194304               950.63
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.73
4                       3.50
8                       6.91
16                     14.02
32                     28.06
64                     56.69
128                   112.19
256                   221.63
512                   439.78
1024                  868.51
2048                 1723.91
4096                 3205.94
8192                 5685.97
16384                7692.99
32768                9624.93
65536               10829.57
131072              10163.00
262144              11001.73
524288              11545.44
1048576             11876.31
2097152             12024.36
4194304             12048.12
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-115
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.45
1                      13.45
2                      13.59
4                      13.43
8                      13.89
16                     13.90
32                     13.88
64                     13.96
128                    13.98
256                    14.04
512                    14.10
1024                   14.32
2048                   14.58
4096                   15.23
8192                   16.83
16384                  17.90
32768                  19.23
65536                  22.55
131072                 60.05
262144                 71.58
524288                126.27
1048576               235.99
2097152               452.49
4194304               859.51
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.91
2                       1.83
4                       3.70
8                       7.34
16                     14.74
32                     29.33
64                     56.88
128                   118.24
256                   232.35
512                   450.97
1024                  910.48
2048                 1806.04
4096                 3354.71
8192                 6158.66
16384                8162.32
32768                9907.29
65536               10948.30
131072              10100.14
262144              10500.23
524288              11291.92
1048576             11752.78
2097152             11998.03
4194304             12068.77
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-122
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.91
1                      15.89
2                      16.09
4                      15.91
8                      16.34
16                     16.35
32                     16.36
64                     16.44
128                    16.51
256                    16.51
512                    16.61
1024                   16.82
2048                   17.12
4096                   18.10
8192                   20.35
16384                  21.28
32768                  23.05
65536                  26.26
131072                 69.60
262144                 81.99
524288                142.95
1048576               264.24
2097152               508.17
4194304               960.33
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.74
4                       3.46
8                       6.94
16                     13.94
32                     27.61
64                     55.57
128                   111.63
256                   220.76
512                   439.93
1024                  860.12
2048                 1709.72
4096                 3236.47
8192                 5760.45
16384                7704.93
32768                9476.59
65536               10783.58
131072              10345.07
262144              10816.18
524288              11349.41
1048576             11813.58
2097152             11970.92
4194304             12021.73
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-75
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.58
1                      13.56
2                      13.76
4                      13.56
8                      14.00
16                     14.01
32                     14.02
64                     14.09
128                    14.10
256                    14.16
512                    14.27
1024                   14.45
2048                   14.71
4096                   15.41
8192                   17.03
16384                  17.83
32768                  19.20
65536                  22.23
131072                 59.34
262144                 71.69
524288                126.00
1048576               236.38
2097152               452.79
4194304               856.51
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.92
2                       1.83
4                       3.74
8                       7.38
16                     14.63
32                     28.61
64                     58.47
128                   117.43
256                   234.63
512                   456.27
1024                  882.87
2048                 1800.97
4096                 3408.66
8192                 6121.80
16384                8022.31
32768                9843.39
65536               10972.70
131072              10329.00
262144              10947.31
524288              11453.47
1048576             11902.85
2097152             12026.23
4194304             12016.51
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-15
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.77
1                      16.74
2                      16.93
4                      16.76
8                      17.16
16                     17.16
32                     17.19
64                     17.28
128                    17.35
256                    17.32
512                    17.45
1024                   17.67
2048                   18.00
4096                   18.95
8192                   21.21
16384                  22.43
32768                  23.89
65536                  26.72
131072                 71.31
262144                 84.21
524288                146.43
1048576               270.37
2097152               519.07
4194304               982.54
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.70
4                       3.45
8                       6.85
16                     13.36
32                     27.67
64                     55.23
128                   109.18
256                   218.59
512                   436.35
1024                  858.25
2048                 1687.08
4096                 3176.86
8192                 5636.39
16384                7480.79
32768                9509.58
65536               10767.74
131072              10217.16
262144              10312.00
524288              11267.84
1048576             11640.76
2097152             11957.32
4194304             12033.39
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-35 queue1-dy-hpc6a48xlarge-3
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.97
1                      15.96
2                      16.12
4                      15.93
8                      16.35
16                     16.38
32                     16.40
64                     16.45
128                    16.51
