,experiment,cloud,env,env_type,nodes,application,metric,value
0,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,12.30020785331726
1,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,370.99
2,google/gke/cpu,google,gke,cpu,64,mt-gemm,time_msecs,5.391
3,google/gke/cpu,google,gke,cpu,64,mt-gemm,size_ops,2000000000.0
4,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,11.83256459236145
5,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,385.2
6,google/gke/cpu,google,gke,cpu,64,mt-gemm,time_msecs,5.192
7,google/gke/cpu,google,gke,cpu,64,mt-gemm,size_ops,2000000000.0
8,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,11.270650863647461
9,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,395.87
10,google/gke/cpu,google,gke,cpu,64,mt-gemm,time_msecs,5.052
11,google/gke/cpu,google,gke,cpu,64,mt-gemm,size_ops,2000000000.0
12,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,11.655351638793945
13,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,397.76
14,google/gke/cpu,google,gke,cpu,64,mt-gemm,time_msecs,5.028
15,google/gke/cpu,google,gke,cpu,64,mt-gemm,size_ops,2000000000.0
16,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,29.943498373031616
17,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,11.551448345184326
18,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,381.04
19,google/gke/cpu,google,gke,cpu,64,mt-gemm,time_msecs,5.249
20,google/gke/cpu,google,gke,cpu,64,mt-gemm,size_ops,2000000000.0
21,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,28.790347814559937
22,google/gke/cpu,google,gke,cpu,64,mt-gemm,seconds,11.36851716041565
23,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,398.38
24,google/gke/cpu,google,gke,cpu,64,mt-gemm,time_msecs,5.02
25,google/gke/cpu,google,gke,cpu,64,mt-gemm,size_ops,2000000000.0
26,google/gke/cpu,google,gke,cpu,32,mt-gemm,seconds,7.547412872314453
27,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,419.1
28,google/gke/cpu,google,gke,cpu,32,mt-gemm,time_msecs,4.772
29,google/gke/cpu,google,gke,cpu,32,mt-gemm,size_ops,2000000000.0
30,google/gke/cpu,google,gke,cpu,32,mt-gemm,seconds,7.902338266372681
31,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,403.57
32,google/gke/cpu,google,gke,cpu,32,mt-gemm,time_msecs,4.956
33,google/gke/cpu,google,gke,cpu,32,mt-gemm,size_ops,2000000000.0
34,google/gke/cpu,google,gke,cpu,32,mt-gemm,seconds,7.964132308959961
35,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,388.04
36,google/gke/cpu,google,gke,cpu,32,mt-gemm,time_msecs,5.154
37,google/gke/cpu,google,gke,cpu,32,mt-gemm,size_ops,2000000000.0
38,google/gke/cpu,google,gke,cpu,32,mt-gemm,seconds,8.279686689376831
39,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,386.64
40,google/gke/cpu,google,gke,cpu,32,mt-gemm,time_msecs,5.173
41,google/gke/cpu,google,gke,cpu,32,mt-gemm,size_ops,2000000000.0
42,google/gke/cpu,google,gke,cpu,32,mt-gemm,seconds,28.825637340545654
43,google/gke/cpu,google,gke,cpu,32,mt-gemm,seconds,7.7373692989349365
44,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,405.33
45,google/gke/cpu,google,gke,cpu,32,mt-gemm,time_msecs,4.934
46,google/gke/cpu,google,gke,cpu,32,mt-gemm,size_ops,2000000000.0
47,google/gke/cpu,google,gke,cpu,128,mt-gemm,seconds,31.1186420917511
48,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,374.89
49,google/gke/cpu,google,gke,cpu,128,mt-gemm,time_msecs,5.335
50,google/gke/cpu,google,gke,cpu,128,mt-gemm,size_ops,2000000000.0
51,google/gke/cpu,google,gke,cpu,128,mt-gemm,seconds,32.33378863334656
52,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,364.51
53,google/gke/cpu,google,gke,cpu,128,mt-gemm,time_msecs,5.487
54,google/gke/cpu,google,gke,cpu,128,mt-gemm,size_ops,2000000000.0
55,google/gke/cpu,google,gke,cpu,128,mt-gemm,seconds,31.41605520248413
56,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,376.74
57,google/gke/cpu,google,gke,cpu,128,mt-gemm,time_msecs,5.309
58,google/gke/cpu,google,gke,cpu,128,mt-gemm,size_ops,2000000000.0
59,google/gke/cpu,google,gke,cpu,128,mt-gemm,seconds,31.23479175567627
60,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,369.96
61,google/gke/cpu,google,gke,cpu,128,mt-gemm,time_msecs,5.406
62,google/gke/cpu,google,gke,cpu,128,mt-gemm,size_ops,2000000000.0
63,google/gke/cpu,google,gke,cpu,128,mt-gemm,seconds,31.18135690689087
64,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,375.21
65,google/gke/cpu,google,gke,cpu,128,mt-gemm,time_msecs,5.33
66,google/gke/cpu,google,gke,cpu,128,mt-gemm,size_ops,2000000000.0
67,google/gke/cpu,google,gke,cpu,256,mt-gemm,seconds,96.75141716003418
68,google/gke/cpu,google,gke,cpu,256,mt-gemm,performance_gflops_per_second,350.95
69,google/gke/cpu,google,gke,cpu,256,mt-gemm,time_msecs,5.699
70,google/gke/cpu,google,gke,cpu,256,mt-gemm,size_ops,2000000000.0
71,google/gke/cpu,google,gke,cpu,256,mt-gemm,seconds,99.06703543663025
72,google/gke/cpu,google,gke,cpu,256,mt-gemm,performance_gflops_per_second,347.39
73,google/gke/cpu,google,gke,cpu,256,mt-gemm,time_msecs,5.757
74,google/gke/cpu,google,gke,cpu,256,mt-gemm,size_ops,2000000000.0
75,google/gke/cpu,google,gke,cpu,256,mt-gemm,seconds,97.26966285705566
76,google/gke/cpu,google,gke,cpu,256,mt-gemm,performance_gflops_per_second,354.79
77,google/gke/cpu,google,gke,cpu,256,mt-gemm,time_msecs,5.637
78,google/gke/cpu,google,gke,cpu,256,mt-gemm,size_ops,2000000000.0
79,google/gke/gpu,google,gke,gpu,32,mt-gemm,seconds,127.38328838348389
80,google/gke/gpu,google,gke,gpu,32,mt-gemm,matrix_size_input,16384.0
81,google/gke/gpu,google,gke,gpu,32,mt-gemm,alpha,1.0
82,google/gke/gpu,google,gke,gpu,32,mt-gemm,beta,1.0
83,google/gke/gpu,google,gke,gpu,32,mt-gemm,final_sum,16384.01
84,google/gke/gpu,google,gke,gpu,32,mt-gemm,memory_for_matrices_mb,6144.0
85,google/gke/gpu,google,gke,gpu,32,mt-gemm,multiply_time_seconds,112.902757
86,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994642.144588
87,google/gke/gpu,google,gke,gpu,32,mt-gemm,seconds,127.43692946434021
88,google/gke/gpu,google,gke,gpu,32,mt-gemm,matrix_size_input,16384.0
89,google/gke/gpu,google,gke,gpu,32,mt-gemm,alpha,1.0
90,google/gke/gpu,google,gke,gpu,32,mt-gemm,beta,1.0
91,google/gke/gpu,google,gke,gpu,32,mt-gemm,final_sum,16384.01
92,google/gke/gpu,google,gke,gpu,32,mt-gemm,memory_for_matrices_mb,6144.0
93,google/gke/gpu,google,gke,gpu,32,mt-gemm,multiply_time_seconds,112.890487
94,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994858.940595
95,google/gke/gpu,google,gke,gpu,32,mt-gemm,seconds,127.44953465461731
96,google/gke/gpu,google,gke,gpu,32,mt-gemm,matrix_size_input,16384.0
97,google/gke/gpu,google,gke,gpu,32,mt-gemm,alpha,1.0
98,google/gke/gpu,google,gke,gpu,32,mt-gemm,beta,1.0
99,google/gke/gpu,google,gke,gpu,32,mt-gemm,final_sum,16384.01
100,google/gke/gpu,google,gke,gpu,32,mt-gemm,memory_for_matrices_mb,6144.0
101,google/gke/gpu,google,gke,gpu,32,mt-gemm,multiply_time_seconds,112.895406
102,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994772.021069
103,google/gke/gpu,google,gke,gpu,32,mt-gemm,seconds,127.35009455680847
104,google/gke/gpu,google,gke,gpu,32,mt-gemm,matrix_size_input,16384.0
105,google/gke/gpu,google,gke,gpu,32,mt-gemm,alpha,1.0
106,google/gke/gpu,google,gke,gpu,32,mt-gemm,beta,1.0
107,google/gke/gpu,google,gke,gpu,32,mt-gemm,final_sum,16384.01
108,google/gke/gpu,google,gke,gpu,32,mt-gemm,memory_for_matrices_mb,6144.0
109,google/gke/gpu,google,gke,gpu,32,mt-gemm,multiply_time_seconds,112.824296
110,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1996029.270294
111,google/gke/gpu,google,gke,gpu,32,mt-gemm,seconds,127.46222496032715
112,google/gke/gpu,google,gke,gpu,32,mt-gemm,matrix_size_input,16384.0
113,google/gke/gpu,google,gke,gpu,32,mt-gemm,alpha,1.0
114,google/gke/gpu,google,gke,gpu,32,mt-gemm,beta,1.0
115,google/gke/gpu,google,gke,gpu,32,mt-gemm,final_sum,16384.01
116,google/gke/gpu,google,gke,gpu,32,mt-gemm,memory_for_matrices_mb,6144.0
117,google/gke/gpu,google,gke,gpu,32,mt-gemm,multiply_time_seconds,112.882807
118,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994994.660072
119,google/gke/gpu,google,gke,gpu,8,mt-gemm,seconds,127.54292416572571
120,google/gke/gpu,google,gke,gpu,8,mt-gemm,matrix_size_input,16384.0
121,google/gke/gpu,google,gke,gpu,8,mt-gemm,alpha,1.0
122,google/gke/gpu,google,gke,gpu,8,mt-gemm,beta,1.0
123,google/gke/gpu,google,gke,gpu,8,mt-gemm,final_sum,16384.01
124,google/gke/gpu,google,gke,gpu,8,mt-gemm,memory_for_matrices_mb,6144.0
125,google/gke/gpu,google,gke,gpu,8,mt-gemm,multiply_time_seconds,112.700038
126,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499557.500812
127,google/gke/gpu,google,gke,gpu,8,mt-gemm,seconds,126.79114294052124
128,google/gke/gpu,google,gke,gpu,8,mt-gemm,matrix_size_input,16384.0
129,google/gke/gpu,google,gke,gpu,8,mt-gemm,alpha,1.0
130,google/gke/gpu,google,gke,gpu,8,mt-gemm,beta,1.0
131,google/gke/gpu,google,gke,gpu,8,mt-gemm,final_sum,16384.01
132,google/gke/gpu,google,gke,gpu,8,mt-gemm,memory_for_matrices_mb,6144.0
133,google/gke/gpu,google,gke,gpu,8,mt-gemm,multiply_time_seconds,112.676159
134,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499663.370228
135,google/gke/gpu,google,gke,gpu,8,mt-gemm,seconds,127.70960974693298
136,google/gke/gpu,google,gke,gpu,8,mt-gemm,matrix_size_input,16384.0
137,google/gke/gpu,google,gke,gpu,8,mt-gemm,alpha,1.0
138,google/gke/gpu,google,gke,gpu,8,mt-gemm,beta,1.0
139,google/gke/gpu,google,gke,gpu,8,mt-gemm,final_sum,16384.01
140,google/gke/gpu,google,gke,gpu,8,mt-gemm,memory_for_matrices_mb,6144.0
141,google/gke/gpu,google,gke,gpu,8,mt-gemm,multiply_time_seconds,112.677202
142,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499658.744719
143,google/gke/gpu,google,gke,gpu,8,mt-gemm,seconds,127.82007694244385
144,google/gke/gpu,google,gke,gpu,8,mt-gemm,matrix_size_input,16384.0
145,google/gke/gpu,google,gke,gpu,8,mt-gemm,alpha,1.0
146,google/gke/gpu,google,gke,gpu,8,mt-gemm,beta,1.0
