Start time: 1725157741
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.92,   23.00,  91.99,      0.125,    3.05,   11.01,  88.04,     0.250,    1.88,   35.70, 142.78
            1,      0.750,    3.67,   54.78,  73.04,      0.375,    3.68,   27.36,  72.96,     0.750,    3.13,   64.22,  85.63
            2,      1.250,    3.76,   89.22,  71.37,      0.625,    3.75,   44.74,  71.58,     1.250,    3.31,  101.37,  81.10
            3,      1.750,    3.88,  121.23,  69.27,      0.875,    3.82,   61.42,  70.20,     1.750,    3.50,  134.10,  76.63
            4,      2.250,    4.00,  150.88,  67.06,      1.125,    3.96,   76.20,  67.74,     2.250,    3.61,  167.40,  74.40
            6,      3.250,    4.22,  206.68,  63.60,      1.625,    4.17,  104.66,  64.40,     3.250,    3.90,  223.75,  68.85
            8,      4.250,    4.51,  253.02,  59.53,      2.125,    4.50,  126.85,  59.69,     4.250,    4.21,  271.11,  63.79
           12,      6.250,    5.49,  305.43,  48.87,      3.125,    5.46,  153.58,  49.15,     6.250,    6.27,  267.66,  42.83
           16,      8.250,    6.60,  335.34,  40.65,      4.125,    6.57,  168.54,  40.86,     8.250,    8.13,  272.30,  33.01
           20,     10.250,    8.25,  333.51,  32.54,      5.125,    8.29,  165.97,  32.38,    10.250,   10.20,  269.88,  26.33
           24,     12.250,   10.55,  311.78,  25.45,      6.125,   10.52,  156.32,  25.52,    12.250,   12.22,  268.98,  21.96
           28,     14.250,   11.50,  332.57,  23.34,      7.125,   11.45,  167.02,  23.44,    14.250,   14.30,  267.50,  18.77
           32,     16.250,   13.04,  334.49,  20.58,      8.125,   13.03,  167.44,  20.61,    16.250,   16.11,  270.72,  16.66
           40,     20.250,   16.25,  334.51,  16.52,     10.125,   16.23,  167.47,  16.54,    20.250,   20.32,  267.54,  13.21
           48,     24.250,   19.63,  331.61,  13.67,     12.125,   19.62,  165.90,  13.68,    24.250,   24.52,  265.49,  10.95
           56,     28.250,   23.13,  327.87,  11.61,     14.125,   23.14,  163.82,  11.60,    28.250,   28.75,  263.76,   9.34
           64,     32.250,   26.66,  324.67,  10.07,     16.125,   26.73,  161.92,  10.04,    32.250,   33.09,  261.64,   8.11
           80,     40.250,   32.99,  327.46,   8.14,     20.125,   32.89,  164.24,   8.16,    40.250,   41.78,  258.63,   6.43
          104,     52.250,   43.53,  322.17,   6.17,     26.125,   43.74,  160.33,   6.14,    52.250,   54.64,  256.71,   4.91
          120,     60.250,   50.75,  318.69,   5.29,     30.125,   51.34,  157.51,   5.23,    60.250,   63.21,  255.88,   4.25
          128,     64.250,   55.15,  312.75,   4.87,     32.125,   55.18,  156.27,   4.86,    64.250,   67.53,  255.42,   3.98
          160,     80.250,   66.91,  321.97,   4.01,     40.125,   66.90,  160.99,   4.01,    80.250,   86.15,  250.05,   3.12
          192,     96.250,   83.03,  311.17,   3.23,     48.125,   82.84,  155.94,   3.24,    96.250,  103.35,  249.99,   2.60
          256,    128.250,  109.62,  314.06,   2.45,     64.125,  109.75,  156.84,   2.45,   128.250,  137.77,  249.89,   1.95
          320,    160.250,  139.24,  308.94,   1.93,     80.125,  139.35,  154.35,   1.93,   160.250,  172.27,  249.70,   1.56
          512,    256.250,  225.60,  304.91,   1.19,    128.125,  225.63,  152.43,   1.19,   256.250,  275.70,  249.50,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157897
