Start time: 1725157740
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.94,   22.86,  91.43,      0.125,    3.13,   10.71,  85.71,     0.250,    2.00,   33.64, 134.55
            1,      0.750,    3.77,   53.46,  71.28,      0.375,    3.76,   26.75,  71.34,     0.750,    3.23,   62.29,  83.06
            2,      1.250,    3.84,   87.38,  69.91,      0.625,    3.77,   44.47,  71.15,     1.250,    3.41,   98.52,  78.81
            3,      1.750,    4.00,  117.59,  67.19,      0.875,    3.96,   59.36,  67.84,     1.750,    3.60,  130.63,  74.65
            4,      2.250,    4.11,  146.99,  65.33,      1.125,    4.05,   74.53,  66.25,     2.250,    3.73,  161.71,  71.87
            6,      3.250,    4.32,  201.90,  62.12,      1.625,    4.24,  103.00,  63.38,     3.250,    3.99,  218.65,  67.28
            8,      4.250,    4.56,  249.97,  58.82,      2.125,    4.54,  125.59,  59.10,     4.250,    4.28,  266.74,  62.76
           12,      6.250,    5.50,  304.82,  48.77,      3.125,    5.51,  152.13,  48.68,     6.250,    6.31,  266.05,  42.57
           16,      8.250,    6.64,  333.27,  40.40,      4.125,    6.60,  167.67,  40.65,     8.250,    8.16,  271.33,  32.89
           20,     10.250,    8.27,  332.58,  32.45,      5.125,    8.31,  165.49,  32.29,    10.250,   10.23,  268.83,  26.23
           24,     12.250,   10.58,  310.89,  25.38,      6.125,   10.54,  155.95,  25.46,    12.250,   12.25,  268.48,  21.92
           28,     14.250,   11.53,  331.82,  23.29,      7.125,   11.47,  166.68,  23.39,    14.250,   14.31,  267.33,  18.76
           32,     16.250,   13.05,  334.18,  20.57,      8.125,   13.04,  167.23,  20.58,    16.250,   16.11,  270.73,  16.66
           40,     20.250,   16.25,  334.51,  16.52,     10.125,   16.23,  167.50,  16.54,    20.250,   20.31,  267.63,  13.22
           48,     24.250,   19.67,  330.92,  13.65,     12.125,   19.62,  165.92,  13.68,    24.250,   24.50,  265.66,  10.96
           56,     28.250,   23.12,  328.00,  11.61,     14.125,   23.14,  163.85,  11.60,    28.250,   28.73,  263.92,   9.34
           64,     32.250,   26.66,  324.76,  10.07,     16.125,   26.73,  161.95,  10.04,    32.250,   33.07,  261.77,   8.12
           80,     40.250,   32.95,  327.89,   8.15,     20.125,   32.88,  164.28,   8.16,    40.250,   41.75,  258.82,   6.43
          104,     52.250,   43.46,  322.70,   6.18,     26.125,   43.49,  161.26,   6.17,    52.250,   54.61,  256.85,   4.92
          120,     60.250,   50.72,  318.85,   5.29,     30.125,   51.32,  157.57,   5.23,    60.250,   63.18,  256.00,   4.25
          128,     64.250,   55.12,  312.92,   4.87,     32.125,   55.16,  156.33,   4.87,    64.250,   67.50,  255.52,   3.98
          160,     80.250,   66.88,  322.08,   4.01,     40.125,   66.87,  161.07,   4.01,    80.250,   86.12,  250.12,   3.12
          192,     96.250,   83.00,  311.27,   3.23,     48.125,   82.84,  155.94,   3.24,    96.250,  103.30,  250.11,   2.60
          256,    128.250,  109.60,  314.11,   2.45,     64.125,  109.75,  156.85,   2.45,   128.250,  137.73,  249.96,   1.95
          320,    160.250,  139.22,  309.00,   1.93,     80.125,  139.32,  154.38,   1.93,   160.250,  172.24,  249.75,   1.56
          512,    256.250,  225.56,  304.96,   1.19,    128.125,  225.59,  152.46,   1.19,   256.250,  275.63,  249.56,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157896
