Start time: 1725157391
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.03,   22.17,  88.68,      0.125,    3.14,   10.69,  85.54,     0.250,    2.09,   32.05, 128.19
            1,      0.750,    3.62,   55.60,  74.13,      0.375,    3.64,   27.66,  73.77,     0.750,    3.24,   62.20,  82.93
            2,      1.250,    3.70,   90.64,  72.51,      0.625,    3.72,   45.14,  72.22,     1.250,    3.36,   99.86,  79.89
            3,      1.750,    3.80,  123.62,  70.64,      0.875,    3.81,   61.70,  70.51,     1.750,    3.50,  134.14,  76.65
            4,      2.250,    3.93,  153.72,  68.32,      1.125,    3.91,   77.31,  68.72,     2.250,    3.60,  167.63,  74.50
            6,      3.250,    4.17,  209.26,  64.39,      1.625,    4.10,  106.39,  65.47,     3.250,    3.85,  226.90,  69.81
            8,      4.250,    4.47,  255.45,  60.11,      2.125,    4.44,  128.45,  60.44,     4.250,    4.13,  276.17,  64.98
           12,      6.250,    5.51,  304.54,  48.73,      3.125,    5.48,  153.16,  49.01,     6.250,    6.28,  266.98,  42.72
           16,      8.250,    6.63,  334.08,  40.49,      4.125,    6.59,  168.00,  40.73,     8.250,    8.15,  271.86,  32.95
           20,     10.250,    8.27,  332.87,  32.47,      5.125,    8.30,  165.69,  32.33,    10.250,   10.20,  269.75,  26.32
           24,     12.250,   10.54,  311.93,  25.46,      6.125,   10.53,  156.10,  25.49,    12.250,   12.23,  268.85,  21.95
           28,     14.250,   11.51,  332.34,  23.32,      7.125,   11.46,  166.94,  23.43,    14.250,   14.31,  267.27,  18.76
           32,     16.250,   13.05,  334.26,  20.57,      8.125,   13.04,  167.31,  20.59,    16.250,   16.12,  270.63,  16.65
           40,     20.250,   16.26,  334.37,  16.51,     10.125,   16.23,  167.41,  16.53,    20.250,   20.34,  267.29,  13.20
           48,     24.250,   19.68,  330.85,  13.64,     12.125,   19.63,  165.84,  13.68,    24.250,   24.54,  265.28,  10.94
           56,     28.250,   23.14,  327.71,  11.60,     14.125,   23.16,  163.75,  11.59,    28.250,   28.77,  263.59,   9.33
           64,     32.250,   26.69,  324.38,  10.06,     16.125,   26.75,  161.81,  10.03,    32.250,   33.10,  261.52,   8.11
           80,     40.250,   33.01,  327.35,   8.13,     20.125,   32.94,  163.99,   8.15,    40.250,   41.79,  258.52,   6.42
          104,     52.250,   43.55,  322.04,   6.16,     26.125,   43.76,  160.27,   6.13,    52.250,   54.67,  256.55,   4.91
          120,     60.250,   50.77,  318.54,   5.29,     30.125,   51.37,  157.43,   5.23,    60.250,   63.24,  255.72,   4.24
          128,     64.250,   55.16,  312.68,   4.87,     32.125,   55.21,  156.21,   4.86,    64.250,   67.56,  255.29,   3.97
          160,     80.250,   66.93,  321.84,   4.01,     40.125,   66.93,  160.93,   4.01,    80.250,   86.18,  249.96,   3.11
          192,     96.250,   83.03,  311.19,   3.23,     48.125,   82.85,  155.93,   3.24,    96.250,  103.37,  249.95,   2.60
          256,    128.250,  109.67,  313.92,   2.45,     64.125,  109.80,  156.77,   2.44,   128.250,  137.79,  249.84,   1.95
          320,    160.250,  139.27,  308.87,   1.93,     80.125,  139.38,  154.31,   1.93,   160.250,  172.31,  249.65,   1.56
          512,    256.250,  225.66,  304.83,   1.19,    128.125,  225.67,  152.40,   1.19,   256.250,  275.74,  249.46,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157546
