Start time: 1725157873
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.65,   25.36, 101.45,      0.125,    2.68,   12.51, 100.09,     0.250,    1.44,   46.73, 186.93
            1,      0.750,    3.47,   58.04,  77.38,      0.375,    3.52,   28.59,  76.24,     0.750,    2.68,   75.18, 100.24
            2,      1.250,    3.54,   94.73,  75.79,      0.625,    3.56,   47.15,  75.45,     1.250,    2.91,  115.39,  92.31
            3,      1.750,    3.69,  127.41,  72.81,      0.875,    3.67,   64.02,  73.16,     1.750,    3.15,  149.04,  85.16
            4,      2.250,    3.84,  157.45,  69.98,      1.125,    3.79,   79.74,  70.88,     2.250,    3.34,  180.78,  80.35
            6,      3.250,    4.10,  212.68,  65.44,      1.625,    4.09,  106.63,  65.62,     3.250,    3.68,  236.88,  72.89
            8,      4.250,    4.40,  259.05,  60.95,      2.125,    4.39,  130.06,  61.20,     4.250,    4.04,  282.60,  66.49
           12,      6.250,    5.45,  308.12,  49.30,      3.125,    5.42,  154.91,  49.57,     6.250,    6.22,  269.82,  43.17
           16,      8.250,    6.59,  335.80,  40.70,      4.125,    6.53,  169.52,  41.10,     8.250,    8.08,  274.05,  33.22
           20,     10.250,    8.22,  334.77,  32.66,      5.125,    8.22,  167.40,  32.66,    10.250,   10.15,  271.08,  26.45
           24,     12.250,   10.50,  313.26,  25.57,      6.125,   10.46,  157.14,  25.66,    12.250,   12.19,  269.82,  22.03
           28,     14.250,   11.49,  332.97,  23.37,      7.125,   11.41,  167.63,  23.53,    14.250,   14.29,  267.70,  18.79
           32,     16.250,   13.04,  334.57,  20.59,      8.125,   13.00,  167.75,  20.65,    16.250,   16.09,  271.02,  16.68
           40,     20.250,   16.24,  334.70,  16.53,     10.125,   16.23,  167.50,  16.54,    20.250,   20.32,  267.58,  13.21
           48,     24.250,   19.61,  331.92,  13.69,     12.125,   19.61,  165.94,  13.69,    24.250,   24.51,  265.60,  10.95
           56,     28.250,   23.12,  328.03,  11.61,     14.125,   23.14,  163.86,  11.60,    28.250,   28.74,  263.88,   9.34
           64,     32.250,   26.66,  324.76,  10.07,     16.125,   26.73,  161.93,  10.04,    32.250,   33.08,  261.71,   8.11
           80,     40.250,   32.99,  327.53,   8.14,     20.125,   32.92,  164.10,   8.15,    40.250,   41.76,  258.70,   6.43
          104,     52.250,   43.55,  322.08,   6.16,     26.125,   43.72,  160.41,   6.14,    52.250,   54.62,  256.77,   4.91
          120,     60.250,   50.72,  318.85,   5.29,     30.125,   51.34,  157.50,   5.23,    60.250,   63.19,  255.94,   4.25
          128,     64.250,   55.13,  312.86,   4.87,     32.125,   55.19,  156.27,   4.86,    64.250,   67.51,  255.46,   3.98
          160,     80.250,   66.90,  322.01,   4.01,     40.125,   66.90,  161.00,   4.01,    80.250,   86.13,  250.11,   3.12
          192,     96.250,   83.02,  311.23,   3.23,     48.125,   82.84,  155.94,   3.24,    96.250,  103.32,  250.07,   2.60
          256,    128.250,  109.61,  314.07,   2.45,     64.125,  109.76,  156.82,   2.45,   128.250,  137.74,  249.95,   1.95
          320,    160.250,  139.23,  308.97,   1.93,     80.125,  139.34,  154.35,   1.93,   160.250,  172.25,  249.73,   1.56
          512,    256.250,  225.58,  304.93,   1.19,    128.125,  225.61,  152.45,   1.19,   256.250,  275.65,  249.55,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725158029
