,experiment,cost,size,duration
1,google/gke/cpu,9.007035639021131,64,100.12761950492859
3,google/gke/cpu,8.739178327433267,64,97.14995670318604
5,google/gke/cpu,8.657344286176894,64,96.24024033546448
7,google/gke/cpu,8.886590770467123,64,98.78868198394775
9,google/gke/cpu,8.971890830739339,64,99.73692870140076
31,google/compute-engine/cpu,5.832551013098822,64,64.83814120292664
33,google/compute-engine/cpu,5.93892053044637,64,66.02060866355896
35,google/compute-engine/cpu,6.047048107486301,64,67.2226197719574
37,google/compute-engine/cpu,5.812893931749132,64,64.61962127685547
39,google/compute-engine/cpu,5.915615902031791,64,65.76154041290283
71,on-premises/dane/cpu,,64,
73,on-premises/dane/cpu,,64,
75,on-premises/dane/cpu,,64,
77,on-premises/dane/cpu,,64,
79,on-premises/dane/cpu,,64,
111,aws/eks/cpu,3.272822302246094,64,63.92231059074402
113,aws/eks/cpu,3.241012426757812,64,63.301023960113525
115,aws/eks/cpu,3.2528391235351566,64,63.53201413154602
117,aws/eks/cpu,3.1851812011718748,64,62.210570335388184
119,aws/eks/cpu,3.169950866699218,64,61.913102865219116
155,aws/parallel-cluster/cpu,2.3552,64,46
157,aws/parallel-cluster/cpu,2.304,64,45
159,aws/parallel-cluster/cpu,2.2016,64,43
161,aws/parallel-cluster/cpu,2.2527999999999997,64,44
163,aws/parallel-cluster/cpu,2.2527999999999997,64,44
202,azure/cyclecloud/cpu,3.6479999999999997,64,57
204,azure/cyclecloud/cpu,3.584,64,56
206,azure/cyclecloud/cpu,3.584,64,56
208,azure/cyclecloud/cpu,5.5040000000000004,64,86
210,azure/cyclecloud/cpu,3.6479999999999997,64,57
240,azure/aks/cpu,15.110019592285157,64,236.09405612945557
242,azure/aks/cpu,16.19177836608887,64,252.99653697013855
244,azure/aks/cpu,17.043333374023437,64,266.3020839691162
246,azure/aks/cpu,16.294838439941408,64,254.60685062408447
286,google/gke/cpu,68.65786955244276,128,381.62106347084045
288,google/gke/cpu,180.4574596662733,256,501.5183846950531
290,google/gke/cpu,180.4574596662733,256,501.5183846950531
292,azure/aks/cpu,46.80656346130371,128,365.67627704143524
294,azure/aks/cpu,46.80656346130371,128,365.67627704143524
296,azure/aks/cpu,164.44649963378905,256,642.3691391944885
298,azure/aks/cpu,164.44649963378905,256,642.3691391944885
11,google/gke/cpu,7.438446040852865,32,165.3804702758789
13,google/gke/cpu,7.383917794460721,32,164.16813278198242
15,google/gke/cpu,7.233108981789483,32,160.81517004966736
16,google/gke/cpu,0.1898190810309516,32,4.220285892486572
18,google/gke/cpu,7.356492796749538,32,163.5583872795105
20,google/gke/cpu,7.137617453426785,32,158.69208765029907
21,google/gke/cpu,0.1966224473317464,32,4.371546506881714
41,google/compute-engine/cpu,4.994098819732666,32,111.03480577468872
43,google/compute-engine/cpu,5.031243053097194,32,111.86064100265503
45,google/compute-engine/cpu,5.098980070877075,32,113.36665177345276
47,google/compute-engine/cpu,5.214446354675292,32,115.93383693695068
49,google/compute-engine/cpu,5.108611459308199,32,113.58078837394714
81,on-premises/dane/cpu,,32,
83,on-premises/dane/cpu,,32,
85,on-premises/dane/cpu,,32,
87,on-premises/dane/cpu,,32,
89,on-premises/dane/cpu,,32,
121,aws/eks/cpu,2.555347418212891,32,99.81825852394104
123,aws/eks/cpu,2.5433538024902345,32,99.34975790977478
125,aws/eks/cpu,2.5453343994140623,32,99.42712497711182
127,aws/eks/cpu,2.5409668701171877,32,99.25651836395264
129,aws/eks/cpu,2.547926544189453,32,99.52838063240051
165,aws/parallel-cluster/cpu,2.2784,32,89
167,aws/parallel-cluster/cpu,2.2784,32,89
169,aws/parallel-cluster/cpu,2.2784,32,89
171,aws/parallel-cluster/cpu,2.2784,32,89
173,aws/parallel-cluster/cpu,2.2784,32,89
212,azure/cyclecloud/cpu,2.912,32,91
214,azure/cyclecloud/cpu,2.848,32,89
216,azure/cyclecloud/cpu,2.848,32,89
218,azure/cyclecloud/cpu,2.912,32,91
248,azure/aks/cpu,5.837906478881837,32,182.43457746505737
250,azure/aks/cpu,5.63326791381836,32,176.03962230682373
252,azure/aks/cpu,5.890577285766602,32,184.0805401802063
254,azure/aks/cpu,6.102416442871093,32,190.70051383972168
256,azure/aks/cpu,6.087421051025391,32,190.23190784454346
258,azure/aks/cpu,5.711545700073242,32,178.48580312728882
260,azure/aks/cpu,6.913149299621582,32,216.03591561317444
262,azure/aks/cpu,7.0962802658081054,32,221.7587583065033
264,azure/aks/cpu,6.338830871582032,32,198.08846473693848
266,azure/aks/cpu,6.588372528076172,32,205.88664150238037
268,azure/aks/cpu,7.04720192718506,32,220.22506022453308
270,azure/aks/cpu,6.913149299621582,32,216.03591561317444
272,azure/aks/cpu,7.0962802658081054,32,221.7587583065033
274,azure/aks/cpu,6.338830871582032,32,198.08846473693848
276,azure/aks/cpu,6.588372528076172,32,205.88664150238037
278,azure/aks/cpu,7.04720192718506,32,220.22506022453308
23,google/gke/cpu,69.50123578559028,128,386.3087463378906
25,google/gke/cpu,68.65786955244276,128,381.62106347084045
27,google/gke/cpu,68.0504728398641,128,378.2449700832367
51,google/compute-engine/cpu,11.501456677585178,128,63.928551197052
53,google/compute-engine/cpu,11.16810456492106,128,62.07568001747131
55,google/compute-engine/cpu,11.345933508131237,128,63.064106702804565
57,google/compute-engine/cpu,11.44988709818522,128,63.64191198348999
59,google/compute-engine/cpu,11.305492258707682,128,62.839322090148926
91,on-premises/dane/cpu,,128,
93,on-premises/dane/cpu,,128,
95,on-premises/dane/cpu,,128,
97,on-premises/dane/cpu,,128,
99,on-premises/dane/cpu,,128,
131,aws/eks/cpu,7.97939462890625,128,77.9237756729126
133,aws/eks/cpu,7.706198120117187,128,75.25584101676941
135,aws/eks/cpu,7.802784765624999,128,76.19906997680664
137,aws/eks/cpu,7.776887719726562,128,75.94616913795471
139,aws/eks/cpu,7.791469116210938,128,76.08856558799744
141,aws/eks/cpu,7.791962451171874,128,76.09338331222534
143,aws/eks/cpu,7.916457031249998,128,77.30915069580078
175,aws/parallel-cluster/cpu,3.072,128,30
177,aws/parallel-cluster/cpu,3.2767999999999997,128,32
179,aws/parallel-cluster/cpu,3.1744000000000003,128,31
181,aws/parallel-cluster/cpu,3.1744000000000003,128,31
183,aws/parallel-cluster/cpu,3.2767999999999997,128,32
220,azure/cyclecloud/cpu,5.5040000000000004,128,43
222,azure/cyclecloud/cpu,6.528,128,51
224,azure/cyclecloud/cpu,5.632,128,44
226,azure/cyclecloud/cpu,5.760000000000001,128,45
228,azure/cyclecloud/cpu,5.632,128,44
280,azure/aks/cpu,45.11651864624023,128,352.47280192375183
282,azure/aks/cpu,48.49660827636718,128,378.87975215911865
29,google/gke/cpu,180.4574596662733,256,501.5183846950531
61,google/compute-engine/cpu,34.23971723598903,256,95.15731692314148
63,google/compute-engine/cpu,34.604944893391924,256,96.17233943939209
65,google/compute-engine/cpu,34.527506966484914,256,95.95712780952454
67,google/compute-engine/cpu,34.464069175889755,256,95.78082466125488
69,google/compute-engine/cpu,34.40803002590603,256,95.62508344650269
101,on-premises/dane/cpu,,256,
103,on-premises/dane/cpu,,256,
105,on-premises/dane/cpu,,256,
107,on-premises/dane/cpu,,256,
109,on-premises/dane/cpu,,256,
145,aws/eks/cpu,34.8510279296875,256,170.17103481292725
147,aws/eks/cpu,35.20762592773438,256,171.9122359752655
149,aws/eks/cpu,34.784657421874996,256,169.84696006774902
151,aws/eks/cpu,35.09650986328125,256,171.36967706680298
153,aws/eks/cpu,35.16438393554687,256,171.70109343528748
185,aws/parallel-cluster/cpu,6.553599999999999,256,32
187,aws/parallel-cluster/cpu,5.5296,256,27
189,aws/parallel-cluster/cpu,5.7344,256,28
191,aws/parallel-cluster/cpu,5.5296,256,27
193,aws/parallel-cluster/cpu,5.5296,256,27
195,aws/parallel-cluster/cpu,5.5296,256,27
196,aws/parallel-cluster/cpu,3.2767999999999997,256,16
197,aws/parallel-cluster/cpu,2.8672,256,14
198,aws/parallel-cluster/cpu,3.072,256,15
199,aws/parallel-cluster/cpu,3.072,256,15
200,aws/parallel-cluster/cpu,3.072,256,15
230,azure/cyclecloud/cpu,13.056,256,51
232,azure/cyclecloud/cpu,11.008000000000001,256,43
234,azure/cyclecloud/cpu,12.288,256,48
236,azure/cyclecloud/cpu,11.264,256,44
238,azure/cyclecloud/cpu,9.984,256,39
284,azure/aks/cpu,164.44649963378905,256,642.3691391944885
285,google/gke/cpu,68.65786955244276,128,381.62106347084045
287,google/gke/cpu,180.4574596662733,256,501.5183846950531
289,google/gke/cpu,180.4574596662733,256,501.5183846950531
291,azure/cyclecloud/cpu,2.88,32,90.0
293,azure/aks/cpu,46.80656346130371,128,365.67627704143524
295,azure/aks/cpu,164.44649963378905,256,642.3691391944885
297,azure/aks/cpu,164.44649963378905,256,642.3691391944885
