,experiment,size,iterations,cost,duration
0,google/gke/cpu,64,5,44.262039853837756,492.0434272289276
1,google/gke/cpu,32,5,29.601784694883555,658.1424462795258
2,google/gke/cpu,128,5,206.20957817789713,1146.1747798919678
3,google/gke/cpu,256,5,180.4574596662733,501.5183846950531
4,google/compute-engine/cpu,64,5,29.547029484812416,328.4625313282013
5,google/compute-engine/cpu,32,5,25.447379757690427,565.7767238616943
6,google/compute-engine/cpu,128,5,56.77087410753038,315.5495719909668
7,google/compute-engine/cpu,256,5,172.24426829766168,478.6926922798157
8,aws/eks/cpu,64,5,16.121805920410154,314.87902188301086
9,aws/eks/cpu,32,5,12.732929034423828,497.3800404071808
10,aws/eks/cpu,128,5,39.056734350585934,381.4134213924408
11,aws/eks/cpu,256,5,175.104205078125,855.0010013580322
12,aws/parallel-cluster/cpu,64,5,11.366399999999999,222
13,aws/parallel-cluster/cpu,32,5,11.392,445
14,aws/parallel-cluster/cpu,128,5,15.9744,156
15,aws/parallel-cluster/cpu,256,5,28.876800000000003,141
16,azure/cyclecloud/cpu,64,5,19.968,312
17,azure/cyclecloud/cpu,32,5,11.52,360
18,azure/cyclecloud/cpu,128,5,29.056000000000004,227
19,azure/cyclecloud/cpu,256,5,57.6,225
20,azure/aks/cpu,64,5,79.74998936462403,1246.0935838222504
21,azure/aks/cpu,32,5,29.55158917236328,923.4871616363525
22,azure/aks/cpu,128,5,93.61312692260742,731.3525540828705
23,azure/aks/cpu,256,5,164.44649963378905,642.3691391944885
