Start time: 1725076794
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-8
# OSU MPI Latency Test v5.8
# Size          Latency (us)
4096                 9078.04
8192                13644.41
16384               18768.16
32768               21382.12
65536               22877.50
131072              23719.46
262144              24309.55
524288              24453.76
1048576             24598.77
2097152             24652.37
4194304             24584.78
Point-to-point pairwise experiments for nodes cluster-256-hpc-8 cluster-256-hpc-10
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.55
4                       1.55
8                       1.55
16                      1.56
32                      1.71
64                      1.76
128                     1.81
256                     2.30
512                     2.41
1024                    2.61
2048                    2.73
4096                    3.47
8192                    3.97
16384                   5.29
32768                   6.83
65536                   9.02
131072                 13.78
262144                 17.06
524288                 27.72
1048576                49.28
2097152                92.69
4194304               176.70
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       7.86
4                      15.86
8                      32.70
16                     64.59
32                    128.68
64                    247.14
128                   492.90
256                   929.18
512                  1718.27
1024                 3316.92
2048                 5997.14
4096                 9029.64
8192                13505.13
16384               18912.04
32768               21782.59
65536               23296.10
131072              24017.50
262144              24355.27
524288              24528.98
1048576             24606.21
2097152             24652.36
4194304             24672.13
Point-to-point pairwise experiments for nodes cluster-256-hpc-8 cluster-256-hpc-117
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.59
2                       1.55
4                       1.53
8                       1.53
16                      1.54
32                      1.70
64                      1.75
128                     1.79
256                     2.31
512                     2.41
1024                    2.60
2048                    2.71
4096                    3.44
8192                    3.96
16384                   5.27
32768                   6.72
65536                   8.74
131072                 13.50
262144                 17.09
524288                 27.75
1048576                49.84
2097152                92.12
4194304               176.72
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.09
2                       7.90
4                      16.29
8                      31.40
16                     65.29
32                    128.50
64                    247.13
128                   492.13
256                   938.27
512                  1769.71
1024                 3378.50
2048                 5970.58
4096                 9268.89
8192                13852.39
16384               19176.10
32768               21865.70
65536               23363.08
131072              24026.91
262144              24361.07
524288              24530.41
1048576             24613.27
2097152             24653.35
4194304             24671.67
Point-to-point pairwise experiments for nodes cluster-256-hpc-8 cluster-256-hpc-36
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.57
8                       1.57
16                      1.57
32                      1.73
64                      1.77
128                     1.82
256                     2.33
512                     2.43
1024                    2.66
2048                    2.74
4096                    3.47
8192                    3.97
16384                   5.30
32768                   6.87
65536                   9.10
131072                 13.93
262144                 17.12
524288                 27.78
1048576                49.31
2097152                92.44
4194304               176.74
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       7.88
4                      16.31
8                      31.97
16                     64.85
32                    127.96
64                    246.59
128                   494.67
256                   940.79
512                  1746.76
1024                 3410.67
2048                 5996.05
4096                 9175.95
8192                13553.74
16384               18960.65
32768               21914.07
65536               23341.98
131072              24017.43
262144              24358.60
524288              24530.23
1048576             24611.18
2097152             24650.89
4194304             24673.22
Point-to-point pairwise experiments for nodes cluster-256-hpc-8 cluster-256-hpc-115
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.75
64                      1.79
128                     1.82
256                     2.34
512                     2.53
1024                    2.59
2048                    2.75
4096                    3.49
8192                    4.01
16384                   5.30
32768                   6.87
65536                   9.04
131072                 13.74
262144                 17.28
524288                 27.97
1048576                50.19
2097152                92.02
4194304               176.92
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.97
2                       8.13
4                      16.24
8                      30.93
16                     65.16
32                    128.48
