,experiment,size,iterations,cost,duration
0,google/gke/cpu,64,5,127.4100480011834,1416.366640329361
1,google/gke/cpu,32,5,64.0236227985382,1423.4501116275787
2,google/gke/cpu,128,5,253.72181536034478,1410.262066602707
3,google/gke/cpu,256,5,507.72793410034177,1411.0521883964539
4,google/compute-engine/cpu,64,5,4.881741471862792,54.26837110519409
5,google/compute-engine/cpu,32,5,2.2744383076561823,50.56804537773132
6,google/compute-engine/cpu,128,5,9.131228855895996,50.75411295890808
7,google/compute-engine/cpu,256,5,18.230744264051648,50.66597652435303
8,aws/eks/cpu,64,5,71.25275095214843,1391.6552920341492
9,aws/eks/cpu,32,5,0.7339511962890625,28.669968605041504
10,aws/eks/cpu,128,5,141.72941838378904,1384.07635140419
11,aws/eks/cpu,256,5,281.4655236328125,1374.3433771133423
12,aws/parallel-cluster/cpu,64,5,71.1168,1389
13,aws/parallel-cluster/cpu,32,5,35.327999999999996,1380
14,aws/parallel-cluster/cpu,128,5,142.5408,1392
15,aws/parallel-cluster/cpu,256,5,284.0576,1387
16,azure/cyclecloud/cpu,64,5,49.664,776
17,azure/cyclecloud/cpu,32,5,25.151999999999997,786
18,azure/cyclecloud/cpu,128,5,99.456,777
19,azure/cyclecloud/cpu,256,5,199.424,779
20,azure/aks/cpu,64,5,95.37669375610352,1490.2608399391174
21,azure/aks/cpu,32,5,1.698055435180664,53.06423234939575
22,azure/aks/cpu,128,5,179.08419815063476,1399.095298051834
23,azure/aks/cpu,256,5,357.8800095214844,1397.9687871932983
24,google/gke/gpu,32,5,59.53960190294054,286.7382369041443
25,google/gke/gpu,8,5,14.819410580444337,285.4766592979431
26,google/gke/gpu,16,5,28.68324343295627,276.2726786136627
27,google/gke/gpu,4,5,7.180967185719808,276.6639754772186
28,google/compute-engine/gpu,32,5,7.19422069498698,34.64682483673096
29,google/compute-engine/gpu,8,5,1.8293533854166666,35.2401123046875
30,google/compute-engine/gpu,16,5,3.3523884121365013,32.28970003128052
31,google/compute-engine/gpu,4,5,0.8467188406202528,32.62187314033508
32,azure/cyclecloud/gpu,32,5,0,0
33,azure/cyclecloud/gpu,8,5,0,0
34,azure/cyclecloud/gpu,16,5,0,0
35,azure/cyclecloud/gpu,4,5,0,0
36,azure/aks/gpu,32,5,45.395564361360336,231.82029008865356
37,azure/aks/gpu,8,5,10.583411114448971,216.1840672492981
38,azure/aks/gpu,16,5,23.054102371109856,235.45951128005981
39,azure/aks/gpu,4,5,5.551256890898282,226.7876169681549
40,aws/eks/gpu,8,5,7.580642992517683,99.36758947372437
41,aws/eks/gpu,16,5,10.474882726075915,68.65274143218994
42,aws/eks/gpu,4,5,3.7903214962588416,99.36758947372437
