Start time: 1725075140
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.08,   21.80,  87.21,      0.125,    3.42,    9.82,  78.54,     0.250,    2.40,   27.96, 111.85
            1,      0.750,    3.92,   51.37,  68.50,      0.375,    3.95,   25.51,  68.03,     0.750,    3.53,   57.05,  76.07
            2,      1.250,    4.06,   82.73,  66.18,      0.625,    4.04,   41.58,  66.53,     1.250,    3.67,   91.48,  73.18
            3,      1.750,    4.12,  114.02,  65.15,      0.875,    4.09,   57.40,  65.60,     1.750,    3.80,  123.69,  70.68
            4,      2.250,    4.23,  142.92,  63.52,      1.125,    4.27,   70.79,  62.92,     2.250,    3.92,  154.04,  68.46
            6,      3.250,    4.42,  197.33,  60.72,      1.625,    4.38,   99.50,  61.23,     3.250,    4.12,  211.85,  65.19
            8,      4.250,    4.67,  244.29,  57.48,      2.125,    4.63,  123.15,  57.95,     4.250,    4.37,  260.83,  61.37
           12,      6.250,    5.51,  304.71,  48.75,      3.125,    5.46,  153.69,  49.18,     6.250,    6.28,  267.24,  42.76
           16,      8.250,    6.61,  334.94,  40.60,      4.125,    6.58,  168.26,  40.79,     8.250,    8.13,  272.36,  33.01
           20,     10.250,    8.24,  333.75,  32.56,      5.125,    8.28,  166.17,  32.42,    10.250,   10.20,  269.67,  26.31
           24,     12.250,   10.56,  311.25,  25.41,      6.125,   10.53,  156.16,  25.49,    12.250,   12.22,  269.16,  21.97
           28,     14.250,   11.53,  331.85,  23.29,      7.125,   11.46,  166.84,  23.42,    14.250,   14.31,  267.24,  18.75
           32,     16.250,   13.07,  333.67,  20.53,      8.125,   13.04,  167.24,  20.58,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.26,  334.33,  16.51,     10.125,   16.23,  167.47,  16.54,    20.250,   20.32,  267.48,  13.21
           48,     24.250,   19.63,  331.56,  13.67,     12.125,   19.62,  165.89,  13.68,    24.250,   24.51,  265.56,  10.95
           56,     28.250,   23.12,  327.95,  11.61,     14.125,   23.14,  163.87,  11.60,    28.250,   28.74,  263.82,   9.34
           64,     32.250,   26.66,  324.74,  10.07,     16.125,   26.73,  161.94,  10.04,    32.250,   33.09,  261.63,   8.11
           80,     40.250,   32.99,  327.50,   8.14,     20.125,   32.92,  164.09,   8.15,    40.250,   41.77,  258.70,   6.43
          104,     52.250,   43.55,  322.10,   6.16,     26.125,   43.71,  160.44,   6.14,    52.250,   54.62,  256.77,   4.91
          120,     60.250,   50.74,  318.76,   5.29,     30.125,   51.34,  157.53,   5.23,    60.250,   63.19,  255.93,   4.25
          128,     64.250,   55.13,  312.84,   4.87,     32.125,   55.19,  156.25,   4.86,    64.250,   67.51,  255.48,   3.98
          160,     80.250,   66.90,  321.99,   4.01,     40.125,   66.89,  161.02,   4.01,    80.250,   86.12,  250.13,   3.12
          192,     96.250,   83.01,  311.24,   3.23,     48.125,   82.83,  155.96,   3.24,    96.250,  103.30,  250.11,   2.60
          256,    128.250,  109.62,  314.07,   2.45,     64.125,  109.74,  156.86,   2.45,   128.250,  137.73,  249.97,   1.95
          320,    160.250,  139.21,  309.00,   1.93,     80.125,  139.32,  154.38,   1.93,   160.250,  172.23,  249.77,   1.56
          512,    256.250,  225.56,  304.96,   1.19,    128.125,  225.57,  152.47,   1.19,   256.250,  275.62,  249.57,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725075296
