Start time: 1725074451
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.04,   22.08,  88.30,      0.125,    3.33,   10.06,  80.49,     0.250,    2.23,   30.05, 120.21
            1,      0.750,    3.90,   51.66,  68.88,      0.375,    3.94,   25.54,  68.11,     0.750,    3.38,   59.63,  79.51
            2,      1.250,    3.96,   84.65,  67.72,      0.625,    3.96,   42.36,  67.77,     1.250,    3.57,   93.94,  75.15
            3,      1.750,    4.03,  116.65,  66.66,      0.875,    3.98,   58.96,  67.38,     1.750,    3.66,  128.46,  73.40
            4,      2.250,    4.16,  145.12,  64.50,      1.125,    4.03,   74.94,  66.61,     2.250,    3.87,  156.19,  69.42
            6,      3.250,    4.34,  201.11,  61.88,      1.625,    4.29,  101.61,  62.53,     3.250,    4.03,  216.53,  66.63
            8,      4.250,    4.59,  248.28,  58.42,      2.125,    4.57,  124.93,  58.79,     4.250,    4.28,  266.31,  62.66
           12,      6.250,    5.51,  304.65,  48.74,      3.125,    5.47,  153.24,  49.04,     6.250,    6.28,  267.11,  42.74
           16,      8.250,    6.61,  334.83,  40.59,      4.125,    6.59,  167.92,  40.71,     8.250,    8.17,  271.13,  32.86
           20,     10.250,    8.28,  332.34,  32.42,      5.125,    8.30,  165.79,  32.35,    10.250,   10.21,  269.54,  26.30
           24,     12.250,   10.56,  311.34,  25.42,      6.125,   10.53,  156.16,  25.49,    12.250,   12.25,  268.52,  21.92
           28,     14.250,   11.53,  331.76,  23.28,      7.125,   11.46,  166.84,  23.42,    14.250,   14.31,  267.22,  18.75
           32,     16.250,   13.06,  334.05,  20.56,      8.125,   13.04,  167.19,  20.58,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.25,  334.47,  16.52,     10.125,   16.23,  167.46,  16.54,    20.250,   20.33,  267.41,  13.21
           48,     24.250,   19.64,  331.51,  13.67,     12.125,   19.62,  165.87,  13.68,    24.250,   24.52,  265.46,  10.95
           56,     28.250,   23.12,  327.95,  11.61,     14.125,   23.15,  163.79,  11.60,    28.250,   28.75,  263.79,   9.34
           64,     32.250,   26.67,  324.64,  10.07,     16.125,   26.73,  161.91,  10.04,    32.250,   33.09,  261.64,   8.11
           80,     40.250,   32.98,  327.58,   8.14,     20.125,   32.88,  164.31,   8.16,    40.250,   41.78,  258.57,   6.42
          104,     52.250,   43.53,  322.22,   6.17,     26.125,   43.71,  160.45,   6.14,    52.250,   54.63,  256.75,   4.91
          120,     60.250,   50.74,  318.75,   5.29,     30.125,   51.33,  157.55,   5.23,    60.250,   63.18,  255.99,   4.25
          128,     64.250,   55.12,  312.90,   4.87,     32.125,   55.18,  156.28,   4.86,    64.250,   67.50,  255.51,   3.98
          160,     80.250,   66.88,  322.09,   4.01,     40.125,   66.87,  161.06,   4.01,    80.250,   86.14,  250.10,   3.12
          192,     96.250,   83.02,  311.22,   3.23,     48.125,   82.83,  155.96,   3.24,    96.250,  103.32,  250.07,   2.60
          256,    128.250,  109.61,  314.10,   2.45,     64.125,  109.78,  156.80,   2.45,   128.250,  137.74,  249.94,   1.95
          320,    160.250,  139.22,  308.98,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.25,  249.73,   1.56
          512,    256.250,  225.57,  304.94,   1.19,    128.125,  225.59,  152.46,   1.19,   256.250,  275.65,  249.55,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725074606
