Start time: 1725070947
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-20 queue1-dy-hpc6a48xlarge-55
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.18
1                      16.16
2                      16.25
4                      16.16
8                      16.58
16                     16.60
32                     16.60
64                     16.67
128                    16.74
256                    16.74
512                    16.80
1024                   16.99
2048                   17.29
4096                   18.20
8192                   20.25
16384                  21.35
32768                  22.80
65536                  26.00
131072                 69.62
262144                 81.23
524288                141.44
1048576               262.09
2097152               502.68
4194304               951.01
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.68
4                       3.43
8                       6.93
16                     13.74
32                     27.93
64                     55.09
128                   110.71
256                   221.82
512                   429.87
1024                  859.31
2048                 1683.57
4096                 3111.63
8192                 5725.09
16384                7512.66
32768                9583.73
65536               10745.83
131072               9876.68
262144              10656.41
524288              11297.82
1048576             11756.16
2097152             11948.96
4194304             12023.23
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-20 queue1-dy-hpc6a48xlarge-35
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.31
1                      12.32
2                      12.29
4                      12.40
8                      12.85
16                     12.86
32                     12.89
64                     12.92
128                    12.94
256                    12.99
512                    13.10
1024                   13.19
2048                   13.37
4096                   14.00
8192                   15.36
16384                  16.15
32768                  17.53
65536                  20.39
131072                 54.77
262144                 66.59
524288                116.90
1048576               220.77
2097152               424.97
4194304               802.30
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.94
2                       1.89
4                       3.83
8                       7.59
16                     14.97
32                     29.86
64                     60.10
128                   120.98
256                   242.02
512                   480.17
1024                  949.02
2048                 1867.37
4096                 3444.76
8192                 6346.10
16384                8333.70
32768                9987.56
65536               11045.54
131072              10358.76
262144              11068.05
524288              11476.41
1048576             11854.52
2097152             12019.46
4194304             12078.60
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-20 queue1-dy-hpc6a48xlarge-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.00
1                      12.35
2                      12.49
4                      12.35
8                      12.88
16                     12.99
32                     13.03
64                     12.94
128                    12.97
256                    13.00
512                    13.11
1024                   13.21
2048                   13.39
4096                   13.97
8192                   15.32
16384                  16.13
32768                  17.57
65536                  20.45
131072                 54.31
262144                 66.62
524288                117.19
1048576               219.16
2097152               423.24
4194304               802.64
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.95
2                       1.91
4                       3.82
8                       7.60
16                     15.12
32                     30.48
64                     60.29
128                   119.45
256                   242.43
512                   484.02
1024                  954.91
2048                 1876.27
4096                 3540.17
8192                 6369.35
16384                8196.33
32768                9971.90
65536               11032.17
131072              10462.97
262144              10876.39
524288              11414.64
1048576             11844.90
2097152             12009.49
4194304             12070.93
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-20 queue1-dy-hpc6a48xlarge-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.61
1                      15.60
2                      15.75
4                      15.60
8                      16.14
16                     16.13
32                     16.15
64                     16.22
128                    16.25
256                    16.28
512                    16.38
1024                   16.52
2048                   16.78
4096                   17.70
8192                   19.79
16384                  20.61
32768                  22.36
65536                  25.28
131072                 67.71
262144                 80.05
524288                138.66
1048576               257.13
2097152               494.86
4194304               935.60
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.61
8                       7.11
16                     14.26
32                     28.53
64                     56.80
128                   113.20
256                   225.38
512                   443.98
1024                  874.74
2048                 1745.08
4096                 3282.73
8192                 5834.74
16384                7697.04
32768                9636.64
65536               10860.18
131072               9974.95
262144              10778.71
524288              11327.29
1048576             11676.63
2097152             11981.39
4194304             12068.58
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-20 queue1-dy-hpc6a48xlarge-14
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.42
1                      15.48
2                      15.61
4                      15.44
8                      15.86
16                     15.88
32                     15.89
64                     15.94
128                    15.99
256                    16.01
512                    16.04
1024                   16.18
2048                   16.40
4096                   17.25
8192                   19.23
16384                  20.18
32768                  21.70
65536                  24.72
131072                 64.80
262144                 77.93
524288                136.41
1048576               252.57
2097152               484.64
4194304               915.32
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.59
8                       7.11
16                     14.11
32                     28.69
64                     56.01
128                   111.46
256                   225.54
512                   446.67
1024                  887.38
2048                 1736.08
4096                 3206.01
8192                 5911.56
16384                7761.56
32768                9645.08
65536               10829.41
131072              10151.68
262144              10813.59
524288              11487.70
1048576             11768.23
2097152             12000.68
4194304             12041.48
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-20 queue1-dy-hpc6a48xlarge-7
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.35
1                      12.36
2                      12.48
4                      12.35
8                      12.89
16                     12.90
32                     12.91
64                     12.95
128                    12.97
256                    12.99
512                    13.10
1024                   13.22
2048                   13.37
4096                   13.96
8192                   15.36
16384                  16.13
32768                  17.62
65536                  20.55
131072                 54.91
262144                 67.08
524288                117.47
1048576               219.57
2097152               423.07
4194304               803.68
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.94
2                       1.89
4                       3.82
8                       7.59
16                     15.21
32                     30.42
64                     60.20
128                   120.40
256                   240.19
512                   478.33
1024                  939.77
2048                 1857.68
4096                 3517.69
8192                 6290.55
16384                8169.54
32768                9974.22
65536               11016.99
131072              10335.54
262144              11053.78
524288              11525.32
1048576             11799.07
2097152             11993.11
4194304             12061.36
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-20 queue1-dy-hpc6a48xlarge-27
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.48
1                      12.44
2                      12.62
4                      12.45
8                      13.02
16                     13.00
32                     13.03
64                     13.05
128                    13.08
256                    13.12
512                    13.23
1024                   13.32
2048                   13.52
4096                   14.08
8192                   15.44
16384                  16.29
32768                  17.66
65536                  20.46
131072                 53.89
262144                 66.82
524288                117.46
1048576               219.61
2097152               423.84
4194304               810.08
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.92
2                       1.85
4                       3.80
8                       7.49
16                     15.13
32                     30.19
64                     60.13
128                   120.15
256                   236.90
512                   471.35
1024                  942.22
2048                 1847.19
4096                 3495.76
8192                 6321.90
16384                8134.63
32768                9878.26
65536               10985.28
131072              10115.83
262144              10849.11
524288              11529.79
1048576             11772.76
2097152             12024.57
4194304             12060.62
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-55 queue1-dy-hpc6a48xlarge-35
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.81
1                      15.81
2                      15.98
4                      15.79
8                      16.28
16                     16.30
32                     16.30
64                     16.37
128                    16.45
256                    16.43
512                    16.51
1024                   16.76
2048                   17.07
4096                   18.04
8192                   20.28
16384                  21.21
32768                  22.98
65536                  25.98
131072                 68.07
262144                 81.59
524288                141.71
1048576               262.37
2097152               505.38
4194304               955.99
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.73
4                       3.45
8                       6.96
16                     13.88
32                     27.84
64                     54.85
128                   109.58
256                   217.65
512                   435.69
1024                  866.23
2048                 1707.27
4096                 3228.44
8192                 5715.54
16384                7595.10
32768                9603.07
65536               10397.74
131072              10207.24
262144              10868.36
524288              11458.46
1048576             11763.13
2097152             11968.50
4194304             12062.70
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-55 queue1-dy-hpc6a48xlarge-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.79
1                      15.78
2                      15.96
4                      15.79
8                      16.28
16                     16.28
32                     16.29
64                     16.36
128                    16.42
256                    16.44
512                    16.53
1024                   16.72
2048                   17.04
4096                   18.02
8192                   20.27
16384                  21.17
32768                  22.90
65536                  26.34
131072                 69.02
262144                 82.10
524288                142.66
1048576               264.58
