Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   10.72,    3.13,  12.52,      0.125,   39.43,    0.85,   6.81,      0.500,   10.75,    6.24,  12.49,     0.250,   15.19,    2.21,   8.84
            1,      0.750,   15.29,    6.58,   8.78,      0.375,   38.75,    2.60,   6.93,      1.500,   14.95,   13.46,   8.98,     0.750,   14.30,    7.04,   9.38
            2,      1.250,   13.51,   12.42,   9.93,      0.625,   35.97,    4.66,   7.46,      2.500,   15.36,   21.85,   8.74,     1.250,   10.64,   15.77,  12.62
            3,      1.750,    9.79,   23.98,  13.70,      0.875,   39.75,    5.91,   6.75,      3.500,   15.48,   30.34,   8.67,     1.750,   13.05,   17.99,  10.28
            4,      2.250,    6.09,   49.56,  22.03,      1.125,   35.25,    8.57,   7.62,      4.500,   13.18,   45.83,  10.19,     2.250,   13.30,   22.71,  10.09
            5,      2.750,   15.59,   23.68,   8.61,      1.375,   36.82,   10.02,   7.29,      5.500,   14.74,   50.09,   9.11,     2.750,   20.92,   17.64,   6.41
            6,      3.250,   10.88,   40.11,  12.34,      1.625,   37.42,   11.66,   7.17,      6.500,   15.51,   56.25,   8.65,     3.250,   17.35,   25.14,   7.74
            7,      3.750,   10.80,   46.59,  12.42,      1.875,   37.82,   13.31,   7.10,      7.500,   13.19,   76.35,  10.18,     3.750,   15.94,   31.57,   8.42
            8,      4.250,    7.86,   72.57,  17.08,      2.125,   39.35,   14.50,   6.82,      8.500,   15.70,   72.66,   8.55,     4.250,   16.00,   35.65,   8.39
            9,      4.750,   12.85,   49.62,  10.45,      2.375,   39.34,   16.21,   6.82,      9.500,   14.29,   89.22,   9.39,     4.750,   16.02,   39.80,   8.38
           10,      5.250,   13.36,   52.73,  10.04,      2.625,   39.23,   17.96,   6.84,     10.500,   15.48,   91.06,   8.67,     5.250,   14.33,   49.17,   9.37
           11,      5.750,   14.32,   53.89,   9.37,      2.875,   42.70,   18.07,   6.29,     11.500,   13.22,  116.79,  10.16,     5.750,   19.21,   40.17,   6.99
           12,      6.250,   14.73,   56.94,   9.11,      3.125,   38.12,   22.00,   7.04,     12.500,   15.31,  109.61,   8.77,     6.250,   18.56,   45.21,   7.23
           13,      6.750,   14.02,   64.64,   9.58,      3.375,   42.24,   21.45,   6.35,     13.500,   15.11,  119.91,   8.88,     6.750,   18.04,   50.21,   7.44
           14,      7.250,   12.58,   77.35,  10.67,      3.625,   38.05,   25.57,   7.05,     14.500,    8.46,  230.15,  15.87,     7.250,   22.39,   43.45,   5.99
           15,      7.750,   14.47,   71.88,   9.27,      3.875,   39.47,   26.35,   6.80,     15.500,    6.75,  308.24,  19.89,     7.750,   20.90,   49.78,   6.42
           16,      8.250,    8.35,  132.65,  16.08,      4.125,   42.95,   25.78,   6.25,     16.500,   14.00,  158.16,   9.59,     8.250,   21.40,   51.73,   6.27
            0,      0.250,   15.38,    2.18,   8.73,      0.125,   20.24,    1.66,  13.26,      0.500,    8.27,    8.11,  16.23,     0.250,   13.08,    2.57,  10.26
            1,      0.750,   14.12,    7.13,   9.51,      0.375,   39.57,    2.54,   6.78,      1.500,   13.96,   14.43,   9.62,     0.750,    7.96,   12.65,  16.87
            2,      1.250,   13.06,   12.85,  10.28,      0.625,   34.66,    4.84,   7.75,      2.500,   13.09,   25.63,  10.25,     1.250,   14.74,   11.38,   9.11
            3,      1.750,   14.79,   15.88,   9.08,      0.875,   33.30,    7.05,   8.06,      3.500,   15.52,   30.27,   8.65,     1.750,   15.23,   15.42,   8.81
            4,      2.250,   10.89,   27.72,  12.32,      1.125,   39.05,    7.73,   6.87,      4.500,   15.62,   38.67,   8.59,     2.250,   15.52,   19.46,   8.65
            5,      2.750,   14.55,   25.37,   9.23,      1.375,   41.23,    8.95,   6.51,      5.500,   15.65,   47.15,   8.57,     2.750,   16.01,   23.06,   8.38
            6,      3.250,   15.61,   27.94,   8.60,      1.625,   40.50,   10.77,   6.63,      6.500,   15.57,   56.03,   8.62,     3.250,   14.51,   30.05,   9.25
            7,      3.750,   13.33,   37.76,  10.07,      1.875,   41.05,   12.26,   6.54,      7.500,   15.73,   63.99,   8.53,     3.750,   15.55,   32.37,   8.63
            8,      4.250,   15.67,   36.39,   8.56,      2.125,   33.31,   17.13,   8.06,      8.500,   15.75,   72.45,   8.52,     4.250,   20.96,   27.22,   6.40
            9,      4.750,   10.92,   58.40,  12.30,      2.375,   41.47,   15.37,   6.47,      9.500,   15.73,   81.06,   8.53,     4.750,   21.11,   30.20,   6.36
           10,      5.250,   15.52,   45.41,   8.65,      2.625,   40.20,   17.53,   6.68,     10.500,   15.68,   89.86,   8.56,     5.250,   20.46,   34.45,   6.56
           11,      5.750,   10.85,   71.12,  12.37,      2.875,   38.72,   19.93,   6.93,     11.500,   15.68,   98.44,   8.56,     5.750,   22.53,   34.25,   5.96
           12,      6.250,   15.42,   54.40,   8.70,      3.125,   42.57,   19.70,   6.31,     12.500,   11.06,  151.70,  12.14,     6.250,   18.85,   44.50,   7.12
           13,      6.750,   15.38,   58.91,   8.73,      3.375,   41.36,   21.90,   6.49,     13.500,   15.70,  115.39,   8.55,     6.750,   18.23,   49.70,   7.36
           14,      7.250,    6.50,  149.60,  20.63,      3.625,   42.67,   22.80,   6.29,     14.500,   15.58,  124.89,   8.61,     7.250,   20.99,   46.35,   6.39
           15,      7.750,   10.73,   96.95,  12.51,      3.875,   42.93,   24.23,   6.25,     15.500,   13.24,  157.16,  10.14,     7.750,   21.44,   48.52,   6.26
           16,      8.250,   15.02,   73.73,   8.94,      4.125,   42.73,   25.91,   6.28,     16.500,   15.86,  139.66,   8.46,     8.250,   15.89,   69.70,   8.45
            0,      0.250,   19.86,    1.69,   6.76,      0.125,   52.02,    0.65,   5.16,      0.500,   19.89,    3.37,   6.75,     0.250,   17.53,    1.91,   7.65
            1,      0.750,   19.84,    5.07,   6.77,      0.375,   54.22,    1.86,   4.95,      1.500,   18.75,   10.73,   7.16,     0.750,   19.83,    5.08,   6.77
            2,      1.250,   15.79,   10.62,   8.50,      0.625,   44.91,    3.74,   5.98,      2.500,   19.89,   16.87,   6.75,     1.250,   18.71,    8.97,   7.17
            3,      1.750,   19.99,   11.75,   6.71,      0.875,   55.21,    4.25,   4.86,      3.500,   17.71,   26.53,   7.58,     1.750,   19.93,   11.78,   6.73
