Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec            0,      0.250,    5.55,    6.05,  24.19,      0.125,   12.24,    2.74,  21.94,      0.500,    5.47,   12.26,  24.52,     0.250,    5.49,    6.11,  24.44
            0,      0.250,    5.66,    5.93,  23.71,      0.125,   12.30,    2.73,  21.83,      0.500,    5.66,   11.85,  23.71,     0.250,    5.68,    5.91,  23.65
            0,      0.250,    4.92,    6.82,  27.28,      0.125,   12.28,    2.73,  21.86,      0.500,    4.95,   13.55,  27.09,     0.250,    4.92,    6.82,  27.27
            0,      0.250,    4.96,    6.77,  27.07,      0.125,   12.37,    2.71,  21.70,      0.500,    5.00,   13.44,  26.87,     0.250,    4.91,    6.83,  27.31
            0,      0.250,    5.62,    5.97,  23.89,      0.125,   12.27,    2.73,  21.87,      0.500,    5.68,   11.82,  23.65,     0.250,    5.60,    5.99,  23.96
            0,      0.250,    4.96,    6.76,  27.04,      0.125,   12.30,    2.73,  21.83,      0.500,    4.94,   13.57,  27.14,     0.250,    4.94,    6.79,  27.14
            0,      0.250,    4.88,    6.88,  27.53,      0.125,   12.38,    2.71,  21.69,      0.500,    4.88,   13.74,  27.48,     0.250,    4.87,    6.88,  27.54
            1,      0.750,    5.51,   18.26,  24.34,      0.375,   12.35,    8.15,  21.73,      1.500,    5.49,   36.68,  24.45,     0.750,    5.44,   18.51,  24.68
            1,      0.750,    5.70,   17.65,  23.54,      0.375,   12.34,    8.16,  21.75,      1.500,    5.73,   35.16,  23.44,     0.750,    5.68,   17.72,  23.63
            0,      0.250,    4.82,    6.96,  27.83,      0.125,   12.35,    2.72,  21.74,      0.500,    4.88,   13.74,  27.49,     0.250,    4.90,    6.85,  27.40
            1,      0.750,    4.93,   20.42,  27.23,      0.375,   12.34,    8.16,  21.76,      1.500,    4.99,   40.34,  26.89,     0.750,    4.93,   20.40,  27.20
            1,      0.750,    4.91,   20.50,  27.34,      0.375,   12.34,    8.16,  21.76,      1.500,    5.01,   40.22,  26.82,     0.750,    4.92,   20.44,  27.26
            1,      0.750,    5.66,   17.77,  23.70,      0.375,   12.32,    8.17,  21.79,      1.500,    5.68,   35.43,  23.62,     0.750,    5.62,   17.91,  23.87
            1,      0.750,    4.93,   20.42,  27.23,      0.375,   12.27,    8.20,  21.87,      1.500,    5.01,   40.19,  26.79,     0.750,    4.87,   20.65,  27.54
            2,      1.250,    4.98,   33.66,  26.93,      0.625,   12.30,   13.64,  21.83,      2.500,    5.02,   66.82,  26.73,     1.250,    4.93,   34.02,  27.22
            1,      0.750,    4.80,   20.96,  27.95,      0.375,   12.26,    8.21,  21.89,      1.500,    4.91,   40.97,  27.31,     0.750,    4.83,   20.82,  27.76
            2,      1.250,    5.45,   30.77,  24.62,      0.625,   12.37,   13.56,  21.70,      2.500,    5.60,   59.92,  23.97,     1.250,    5.44,   30.85,  24.68
            2,      1.250,    5.59,   30.03,  24.02,      0.625,   12.41,   13.52,  21.63,      2.500,    5.70,   58.88,  23.55,     1.250,    5.68,   29.56,  23.65
            1,      0.750,    4.90,   20.56,  27.41,      0.375,   12.28,    8.20,  21.86,      1.500,    4.95,   40.64,  27.09,     0.750,    4.82,   20.88,  27.83
            2,      1.250,    4.95,   33.87,  27.09,      0.625,   12.27,   13.67,  21.88,      2.500,    5.06,   66.36,  26.54,     1.250,    4.97,   33.75,  27.00
            2,      1.250,    5.63,   29.79,  23.84,      0.625,   12.26,   13.69,  21.90,      2.500,    5.64,   59.51,  23.81,     1.250,    5.64,   29.76,  23.81
            2,      1.250,    4.96,   33.85,  27.08,      0.625,   12.36,   13.57,  21.72,      2.500,    5.03,   66.74,  26.69,     1.250,    4.95,   33.87,  27.10
            3,      1.750,    5.60,   41.92,  23.95,      0.875,   12.33,   19.05,  21.77,      3.500,    5.65,   83.08,  23.74,     1.750,    5.63,   41.74,  23.85
            3,      1.750,    5.71,   41.14,  23.51,      0.875,   12.32,   19.06,  21.78,      3.500,    5.74,   81.83,  23.38,     1.750,    5.72,   41.05,  23.46
            3,      1.750,    5.12,   45.91,  26.24,      0.875,   12.29,   19.11,  21.85,      3.500,    5.21,   90.22,  25.78,     1.750,    5.19,   45.25,  25.86
            2,      1.250,    4.85,   34.57,  27.66,      0.625,   12.27,   13.67,  21.87,      2.500,    4.93,   68.04,  27.22,     1.250,    4.85,   34.56,  27.65
            3,      1.750,    5.14,   45.74,  26.14,      0.875,   12.36,   19.01,  21.73,      3.500,    5.24,   89.67,  25.62,     1.750,    5.08,   46.26,  26.44
            3,      1.750,    5.64,   41.64,  23.79,      0.875,   12.33,   19.05,  21.77,      3.500,    5.70,   82.38,  23.54,     1.750,    5.67,   41.46,  23.69
            2,      1.250,    4.86,   34.54,  27.63,      0.625,   12.24,   13.71,  21.94,      2.500,    4.98,   67.40,  26.96,     1.250,    4.83,   34.70,  27.76
            3,      1.750,    5.13,   45.82,  26.18,      0.875,   12.39,   18.96,  21.67,      3.500,    5.15,   91.20,  26.06,     1.750,    5.03,   46.69,  26.68
            4,      2.250,    5.67,   53.26,  23.67,      1.125,   12.35,   24.45,  21.73,      4.500,    5.66,  106.66,  23.70,     2.250,    5.64,   53.51,  23.78
            4,      2.250,    5.81,   51.97,  23.10,      1.125,   12.32,   24.52,  21.79,      4.500,    5.77,  104.67,  23.26,     2.250,    5.77,   52.32,  23.25
            4,      2.250,    5.28,   57.23,  25.44,      1.125,   12.33,   24.49,  21.77,      4.500,    5.35,  112.97,  25.10,     2.250,    5.23,   57.79,  25.69
            4,      2.250,    5.21,   57.95,  25.76,      1.125,   12.31,   24.53,  21.81,      4.500,    5.17,  116.82,  25.96,     2.250,    5.21,   58.01,  25.78
            3,      1.750,    5.01,   46.92,  26.81,      0.875,   12.30,   19.09,  21.82,      3.500,    5.04,   93.20,  26.63,     1.750,    5.05,   46.48,  26.56
            4,      2.250,    5.20,   58.08,  25.81,      1.125,   12.35,   24.46,  21.74,      4.500,    5.19,  116.31,  25.85,     2.250,    5.15,   58.61,  26.05
            3,      1.750,    5.01,   46.84,  26.77,      0.875,   12.25,   19.18,  21.92,      3.500,    5.07,   92.58,  26.45,     1.750,    5.02,   46.81,  26.75
            4,      2.250,    5.79,   52.20,  23.20,      1.125,   12.30,   24.56,  21.83,      4.500,    5.79,  104.39,  23.20,     2.250,    5.77,   52.33,  23.26
            5,      2.750,    5.69,   64.91,  23.60,      1.375,   12.34,   29.90,  21.75,      5.500,    5.80,  127.28,  23.14,     2.750,    6.55,   56.32,  20.48
            5,      2.750,    5.78,   63.90,  23.24,      1.375,   12.42,   29.71,  21.61,      5.500,    5.79,  127.50,  23.18,     2.750,    6.03,   61.23,  22.26
            5,      2.750,    5.29,   69.81,  25.39,      1.375,   12.30,   30.01,  21.83,      5.500,    5.27,  139.98,  25.45,     2.750,    5.86,   63.04,  22.92
            5,      2.750,    5.23,   70.52,  25.65,      1.375,   12.30,   30.01,  21.83,      5.500,    5.17,  142.89,  25.98,     2.750,    5.89,   62.70,  22.80
            4,      2.250,    5.08,   59.43,  26.42,      1.125,   12.28,   24.59,  21.86,      4.500,    5.07,  119.06,  26.46,     2.250,    5.07,   59.58,  26.48
