Start time: 1725001211
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.50,    4.97,  19.88,      0.125,   13.44,    2.50,  19.98,     0.250,   11.34,    5.92,  23.67
            1,      0.750,   14.89,   13.52,  18.03,      0.375,   14.84,    6.78,  18.09,     0.750,   14.02,   14.36,  19.14
            2,      1.250,   15.30,   21.93,  17.54,      0.625,   15.28,   10.98,  17.57,     1.250,   14.31,   23.44,  18.75
            3,      1.750,   15.39,   30.53,  17.45,      0.875,   15.36,   15.29,  17.47,     1.750,   14.81,   31.71,  18.12
            4,      2.250,   15.82,   38.18,  16.97,      1.125,   15.74,   19.18,  17.05,     2.250,   15.51,   38.94,  17.31
            6,      3.250,   16.97,   51.40,  15.82,      1.625,   16.88,   25.85,  15.91,     3.250,   15.78,   55.27,  17.01
            8,      4.250,   17.35,   65.75,  15.47,      2.125,   17.48,   32.62,  15.35,     4.250,   16.35,   69.79,  16.42
           12,      6.250,   19.08,   87.95,  14.07,      3.125,   19.08,   43.97,  14.07,     6.250,   20.36,   82.39,  13.18
           16,      8.250,   21.26,  104.16,  12.63,      4.125,   21.24,   52.13,  12.64,     8.250,   25.55,   86.69,  10.51
           20,     10.250,   25.84,  106.50,  10.39,      5.125,   25.89,   53.14,  10.37,    10.250,   31.40,   87.63,   8.55
           24,     12.250,   32.36,  101.62,   8.30,      6.125,   32.28,   50.94,   8.32,    12.250,   37.40,   87.93,   7.18
           28,     14.250,   35.15,  108.83,   7.64,      7.125,   35.07,   54.54,   7.65,    14.250,   43.63,   87.67,   6.15
           32,     16.250,   39.65,  110.01,   6.77,      8.125,   39.53,   55.17,   6.79,    16.250,   48.63,   89.69,   5.52
           40,     20.250,   48.85,  111.27,   5.49,     10.125,   48.82,   55.68,   5.50,    20.250,   60.88,   89.29,   4.41
           48,     24.250,   58.77,  110.76,   4.57,     12.125,   58.70,   55.45,   4.57,    24.250,   73.18,   88.95,   3.67
           56,     28.250,   68.91,  110.04,   3.90,     14.125,   69.05,   54.91,   3.89,    28.250,   85.55,   88.64,   3.14
           64,     32.250,   79.38,  109.06,   3.38,     16.125,   79.50,   54.45,   3.38,    32.250,   98.38,   88.00,   2.73
           80,     40.250,   97.99,  110.26,   2.74,     20.125,   97.80,   55.24,   2.74,    40.250,  123.86,   87.23,   2.17
          104,     52.250,  128.78,  108.91,   2.08,     26.125,  129.16,   54.30,   2.08,    52.250,  161.72,   86.73,   1.66
          120,     60.250,  150.20,  107.68,   1.79,     30.125,  152.02,   53.19,   1.77,    60.250,  186.83,   86.57,   1.44
          128,     64.250,  162.79,  105.95,   1.65,     32.125,  162.45,   53.08,   1.65,    64.250,  199.86,   86.29,   1.34
          160,     80.250,  197.68,  108.97,   1.36,     40.125,  197.72,   54.48,   1.36,    80.250,  254.89,   84.51,   1.05
          192,     96.250,  245.07,  105.42,   1.10,     48.125,  244.62,   52.81,   1.10,    96.250,  305.14,   84.67,   0.88
          256,    128.250,  323.67,  106.36,   0.83,     64.125,  323.91,   53.14,   0.83,   128.250,  406.86,   84.62,   0.66
          320,    160.250,  405.50,  106.08,   0.66,     80.125,  402.30,   53.46,   0.67,   160.250,  508.51,   84.59,   0.53
          512,    256.250,  664.77,  103.47,   0.40,    128.125,  664.89,   51.73,   0.40,   256.250,  812.89,   84.62,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725001487
