Start time: 1725001218
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.62,    4.93,  19.71,      0.125,   13.64,    2.46,  19.67,     0.250,   11.29,    5.95,  23.78
            1,      0.750,   14.99,   13.43,  17.91,      0.375,   14.98,    6.72,  17.91,     0.750,   14.19,   14.19,  18.91
            2,      1.250,   15.59,   21.53,  17.22,      0.625,   15.17,   11.06,  17.69,     1.250,   14.44,   23.24,  18.59
            3,      1.750,   15.71,   29.90,  17.09,      0.875,   15.79,   14.88,  17.00,     1.750,   15.09,   31.14,  17.79
            4,      2.250,   16.00,   37.75,  16.78,      1.125,   15.95,   18.94,  16.83,     2.250,   15.66,   38.56,  17.14
            6,      3.250,   16.94,   51.49,  15.84,      1.625,   16.85,   25.88,  15.93,     3.250,   16.10,   54.19,  16.67
            8,      4.250,   17.61,   64.79,  15.24,      2.125,   17.54,   32.52,  15.30,     4.250,   16.49,   69.18,  16.28
           12,      6.250,   19.33,   86.78,  13.88,      3.125,   19.30,   43.46,  13.91,     6.250,   20.60,   81.46,  13.03
           16,      8.250,   21.44,  103.30,  12.52,      4.125,   21.31,   51.95,  12.59,     8.250,   25.75,   86.00,  10.42
           20,     10.250,   26.03,  105.70,  10.31,      5.125,   26.08,   52.74,  10.29,    10.250,   31.39,   87.66,   8.55
           24,     12.250,   32.54,  101.04,   8.25,      6.125,   32.53,   50.54,   8.25,    12.250,   37.59,   87.47,   7.14
           28,     14.250,   35.43,  107.98,   7.58,      7.125,   35.27,   54.23,   7.61,    14.250,   43.85,   87.23,   6.12
           32,     16.250,   40.12,  108.73,   6.69,      8.125,   40.13,   54.35,   6.69,    16.250,   49.35,   88.39,   5.44
           40,     20.250,   49.63,  109.52,   5.41,     10.125,   49.59,   54.80,   5.41,    20.250,   61.74,   88.04,   4.35
           48,     24.250,   59.45,  109.49,   4.52,     12.125,   59.65,   54.57,   4.50,    24.250,   74.33,   87.57,   3.61
           56,     28.250,   69.89,  108.50,   3.84,     14.125,   69.90,   54.25,   3.84,    28.250,   86.28,   87.89,   3.11
           64,     32.250,   79.89,  108.36,   3.36,     16.125,   80.18,   53.98,   3.35,    32.250,   99.12,   87.34,   2.71
           80,     40.250,   99.06,  109.07,   2.71,     20.125,   99.33,   54.39,   2.70,    40.250,  125.75,   85.92,   2.13
          104,     52.250,  130.74,  107.28,   2.05,     26.125,  131.13,   53.48,   2.05,    52.250,  164.09,   85.48,   1.64
          120,     60.250,  151.00,  107.11,   1.78,     30.125,  152.97,   52.87,   1.75,    60.250,  188.93,   85.60,   1.42
          128,     64.250,  165.12,  104.45,   1.63,     32.125,  164.98,   52.27,   1.63,    64.250,  202.95,   84.98,   1.32
          160,     80.250,  199.32,  108.08,   1.35,     40.125,  199.47,   54.00,   1.35,    80.250,  257.50,   83.66,   1.04
          192,     96.250,  248.75,  103.87,   1.08,     48.125,  248.27,   52.03,   1.08,    96.250,  308.08,   83.86,   0.87
          256,    128.250,  327.17,  105.23,   0.82,     64.125,  328.74,   52.36,   0.82,   128.250,  409.90,   83.99,   0.65
          320,    160.250,  409.41,  105.07,   0.66,     80.125,  405.39,   53.06,   0.66,   160.250,  513.21,   83.82,   0.52
          512,    256.250,  670.09,  102.65,   0.40,    128.125,  671.19,   51.24,   0.40,   256.250,  820.70,   83.81,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725001497
