Start time: 1725087306
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.00,   22.38,  89.54,      0.125,    3.07,   10.92,  87.32,     0.250,    1.93,   34.74, 138.94
            1,      0.750,    3.57,   56.39,  75.19,      0.375,    3.63,   27.76,  74.03,     0.750,    3.13,   64.24,  85.65
            2,      1.250,    3.65,   92.01,  73.60,      0.625,    3.68,   45.54,  72.87,     1.250,    3.22,  104.14,  83.31
            3,      1.750,    3.75,  125.20,  71.54,      0.875,    3.76,   62.52,  71.45,     1.750,    3.35,  140.06,  80.03
            4,      2.250,    3.90,  155.03,  68.90,      1.125,    3.91,   77.24,  68.65,     2.250,    3.49,  172.86,  76.83
            6,      3.250,    4.15,  210.02,  64.62,      1.625,    4.09,  106.60,  65.60,     3.250,    3.76,  231.84,  71.34
            8,      4.250,    4.49,  254.14,  59.80,      2.125,    4.44,  128.56,  60.50,     4.250,    4.14,  275.77,  64.89
           12,      6.250,    5.53,  303.44,  48.55,      3.125,    5.54,  151.42,  48.45,     6.250,    6.32,  265.46,  42.47
           16,      8.250,    6.63,  334.03,  40.49,      4.125,    6.60,  167.77,  40.67,     8.250,    8.15,  271.66,  32.93
           20,     10.250,    8.25,  333.67,  32.55,      5.125,    8.29,  166.01,  32.39,    10.250,   10.21,  269.51,  26.29
           24,     12.250,   10.56,  311.25,  25.41,      6.125,   10.55,  155.87,  25.45,    12.250,   12.25,  268.44,  21.91
           28,     14.250,   11.53,  331.73,  23.28,      7.125,   11.46,  166.82,  23.41,    14.250,   14.31,  267.29,  18.76
           32,     16.250,   13.06,  333.93,  20.55,      8.125,   13.04,  167.24,  20.58,    16.250,   16.10,  270.89,  16.67
           40,     20.250,   16.25,  334.59,  16.52,     10.125,   16.23,  167.48,  16.54,    20.250,   20.32,  267.48,  13.21
           48,     24.250,   19.64,  331.53,  13.67,     12.125,   19.62,  165.92,  13.68,    24.250,   24.51,  265.58,  10.95
           56,     28.250,   23.12,  328.00,  11.61,     14.125,   23.13,  163.94,  11.61,    28.250,   28.74,  263.86,   9.34
           64,     32.250,   26.66,  324.78,  10.07,     16.125,   26.73,  161.93,  10.04,    32.250,   33.08,  261.68,   8.11
           80,     40.250,   32.98,  327.63,   8.14,     20.125,   32.93,  164.06,   8.15,    40.250,   41.77,  258.67,   6.43
          104,     52.250,   43.46,  322.70,   6.18,     26.125,   43.72,  160.40,   6.14,    52.250,   54.64,  256.70,   4.91
          120,     60.250,   50.74,  318.75,   5.29,     30.125,   51.34,  157.53,   5.23,    60.250,   63.20,  255.93,   4.25
          128,     64.250,   55.15,  312.74,   4.87,     32.125,   55.18,  156.28,   4.86,    64.250,   67.50,  255.50,   3.98
          160,     80.250,   66.89,  322.04,   4.01,     40.125,   66.90,  161.01,   4.01,    80.250,   86.14,  250.07,   3.12
          192,     96.250,   83.02,  311.22,   3.23,     48.125,   82.84,  155.95,   3.24,    96.250,  103.32,  250.06,   2.60
          256,    128.250,  109.61,  314.09,   2.45,     64.125,  109.78,  156.81,   2.45,   128.250,  137.76,  249.91,   1.95
          320,    160.250,  139.23,  308.97,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.26,  249.72,   1.56
          512,    256.250,  225.58,  304.93,   1.19,    128.125,  225.59,  152.46,   1.19,   256.250,  275.67,  249.52,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725087462
