Start time: 1725087474
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.92,   22.97,  91.90,      0.125,    3.36,   10.00,  79.99,     0.250,    2.19,   30.57, 122.29
            1,      0.750,    3.73,   54.02,  72.02,      0.375,    3.74,   26.90,  71.74,     0.750,    3.22,   62.45,  83.26
            2,      1.250,    3.81,   87.95,  70.36,      0.625,    3.91,   42.94,  68.71,     1.250,    3.39,   98.92,  79.14
            3,      1.750,    3.98,  118.09,  67.48,      0.875,    3.92,   59.84,  68.39,     1.750,    3.54,  132.55,  75.74
            4,      2.250,    4.07,  148.25,  65.89,      1.125,    4.06,   74.38,  66.12,     2.250,    3.78,  159.87,  71.05
            6,      3.250,    4.34,  201.02,  61.85,      1.625,    4.22,  103.24,  63.54,     3.250,    3.97,  219.70,  67.60
            8,      4.250,    4.51,  253.07,  59.55,      2.125,    4.51,  126.54,  59.55,     4.250,    4.23,  269.45,  63.40
           12,      6.250,    5.49,  305.43,  48.87,      3.125,    5.46,  153.75,  49.20,     6.250,    6.27,  267.71,  42.83
           16,      8.250,    6.62,  334.73,  40.57,      4.125,    6.57,  168.46,  40.84,     8.250,    8.12,  272.57,  33.04
           20,     10.250,    8.25,  333.51,  32.54,      5.125,    8.29,  165.95,  32.38,    10.250,   10.19,  269.94,  26.34
           24,     12.250,   10.54,  311.93,  25.46,      6.125,   10.52,  156.36,  25.53,    12.250,   12.23,  268.79,  21.94
           28,     14.250,   11.52,  332.14,  23.31,      7.125,   11.46,  166.88,  23.42,    14.250,   14.30,  267.40,  18.77
           32,     16.250,   13.03,  334.90,  20.61,      8.125,   13.03,  167.45,  20.61,    16.250,   16.11,  270.73,  16.66
           40,     20.250,   16.25,  334.53,  16.52,     10.125,   16.23,  167.46,  16.54,    20.250,   20.32,  267.56,  13.21
           48,     24.250,   19.64,  331.51,  13.67,     12.125,   19.62,  165.87,  13.68,    24.250,   24.51,  265.54,  10.95
           56,     28.250,   23.12,  327.94,  11.61,     14.125,   23.14,  163.83,  11.60,    28.250,   28.74,  263.90,   9.34
           64,     32.250,   26.66,  324.68,  10.07,     16.125,   26.73,  161.96,  10.04,    32.250,   33.08,  261.68,   8.11
           80,     40.250,   32.99,  327.51,   8.14,     20.125,   32.92,  164.10,   8.15,    40.250,   41.75,  258.80,   6.43
          104,     52.250,   43.49,  322.53,   6.17,     26.125,   43.49,  161.25,   6.17,    52.250,   54.61,  256.83,   4.92
          120,     60.250,   50.73,  318.78,   5.29,     30.125,   51.31,  157.60,   5.23,    60.250,   63.18,  255.99,   4.25
          128,     64.250,   55.10,  313.01,   4.87,     32.125,   55.17,  156.32,   4.87,    64.250,   67.50,  255.53,   3.98
          160,     80.250,   66.89,  322.05,   4.01,     40.125,   66.87,  161.08,   4.01,    80.250,   86.13,  250.11,   3.12
          192,     96.250,   83.03,  311.17,   3.23,     48.125,   82.84,  155.94,   3.24,    96.250,  103.30,  250.11,   2.60
          256,    128.250,  109.60,  314.11,   2.45,     64.125,  109.76,  156.82,   2.45,   128.250,  137.74,  249.94,   1.95
          320,    160.250,  139.21,  309.01,   1.93,     80.125,  139.31,  154.39,   1.93,   160.250,  172.25,  249.74,   1.56
          512,    256.250,  225.58,  304.94,   1.19,    128.125,  225.59,  152.46,   1.19,   256.250,  275.64,  249.55,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725087629
