Start time: 1725087638
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.09,   21.75,  86.98,      0.125,    3.42,    9.82,  78.56,     0.250,    2.37,   28.30, 113.22
            1,      0.750,    3.89,   51.81,  69.08,      0.375,    3.82,   26.32,  70.20,     0.750,    3.37,   59.71,  79.61
            2,      1.250,    3.91,   85.82,  68.65,      0.625,    3.97,   42.23,  67.56,     1.250,    3.67,   91.43,  73.14
            3,      1.750,    4.05,  115.96,  66.26,      0.875,    4.00,   58.72,  67.11,     1.750,    3.75,  125.20,  71.54
            4,      2.250,    4.13,  146.17,  64.97,      1.125,    4.10,   73.60,  65.42,     2.250,    3.79,  159.24,  70.77
            6,      3.250,    4.35,  200.65,  61.74,      1.625,    4.25,  102.61,  63.15,     3.250,    4.02,  217.07,  66.79
            8,      4.250,    4.60,  247.85,  58.32,      2.125,    4.59,  124.22,  58.46,     4.250,    4.35,  262.26,  61.71
           12,      6.250,    5.55,  302.51,  48.40,      3.125,    5.50,  152.49,  48.80,     6.250,    6.31,  265.93,  42.55
           16,      8.250,    6.63,  333.93,  40.48,      4.125,    6.60,  167.67,  40.65,     8.250,    8.15,  271.66,  32.93
           20,     10.250,    8.29,  331.82,  32.37,      5.125,    8.30,  165.65,  32.32,    10.250,   10.21,  269.59,  26.30
           24,     12.250,   10.56,  311.34,  25.42,      6.125,   10.55,  155.87,  25.45,    12.250,   12.24,  268.55,  21.92
           28,     14.250,   11.54,  331.53,  23.27,      7.125,   11.46,  166.86,  23.42,    14.250,   14.31,  267.33,  18.76
           32,     16.250,   13.07,  333.82,  20.54,      8.125,   13.04,  167.32,  20.59,    16.250,   16.11,  270.72,  16.66
           40,     20.250,   16.25,  334.47,  16.52,     10.125,   16.23,  167.43,  16.54,    20.250,   20.32,  267.55,  13.21
           48,     24.250,   19.65,  331.21,  13.66,     12.125,   19.62,  165.88,  13.68,    24.250,   24.52,  265.49,  10.95
           56,     28.250,   23.12,  327.93,  11.61,     14.125,   23.14,  163.83,  11.60,    28.250,   28.74,  263.82,   9.34
           64,     32.250,   26.66,  324.72,  10.07,     16.125,   26.70,  162.09,  10.05,    32.250,   33.09,  261.64,   8.11
           80,     40.250,   32.98,  327.57,   8.14,     20.125,   32.93,  164.05,   8.15,    40.250,   41.77,  258.69,   6.43
          104,     52.250,   43.55,  322.07,   6.16,     26.125,   43.72,  160.40,   6.14,    52.250,   54.65,  256.63,   4.91
          120,     60.250,   50.76,  318.62,   5.29,     30.125,   51.35,  157.49,   5.23,    60.250,   63.22,  255.84,   4.25
          128,     64.250,   55.18,  312.54,   4.86,     32.125,   55.17,  156.29,   4.87,    64.250,   67.54,  255.37,   3.97
          160,     80.250,   66.92,  321.92,   4.01,     40.125,   66.90,  161.00,   4.01,    80.250,   86.16,  250.04,   3.12
          192,     96.250,   83.01,  311.25,   3.23,     48.125,   82.84,  155.94,   3.24,    96.250,  103.33,  250.05,   2.60
          256,    128.250,  109.65,  313.98,   2.45,     64.125,  109.77,  156.81,   2.45,   128.250,  137.76,  249.90,   1.95
          320,    160.250,  139.22,  308.97,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.27,  249.70,   1.56
          512,    256.250,  225.62,  304.88,   1.19,    128.125,  225.62,  152.44,   1.19,   256.250,  275.66,  249.53,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725087794
