,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value
52,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.572352170944214
53,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.532076597213745
54,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.569055318832397
55,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.602127313613892
56,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.654257535934448
57,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.550962924957275
58,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.561801195144653
59,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.616624355316162
60,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.580084323883057
61,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.523868083953857
62,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.580039739608765
63,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.379441738128662
64,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.433667421340942
65,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.568078517913818
66,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.569618701934814
67,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.575000047683716
68,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.41183590888977
69,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.378623485565186
70,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.52842664718628
71,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.5578293800354
72,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.391918420791626
73,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.593983888626099
74,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.559163331985474
75,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.42164397239685
76,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.407386302947998
77,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.563400268554688
78,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.58492636680603
79,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.596972227096558
80,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.563107013702393
81,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.651198148727417
82,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.600675821304321
