Start time: 1725074795
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.98,   22.56,  90.23,      0.125,    3.15,   10.65,  85.16,     0.250,    2.16,   31.10, 124.39
            1,      0.750,    3.71,   54.24,  72.32,      0.375,    3.74,   26.92,  71.77,     0.750,    3.21,   62.64,  83.52
            2,      1.250,    3.86,   87.02,  69.62,      0.625,    3.84,   43.68,  69.89,     1.250,    3.35,  100.04,  80.03
            3,      1.750,    3.90,  120.58,  68.90,      0.875,    3.86,   60.83,  69.52,     1.750,    3.52,  133.61,  76.35
            4,      2.250,    4.00,  150.92,  67.08,      1.125,    4.03,   74.86,  66.54,     2.250,    3.64,  165.93,  73.75
            6,      3.250,    4.19,  208.02,  64.00,      1.625,    4.16,  104.81,  64.50,     3.250,    3.97,  219.86,  67.65
            8,      4.250,    4.51,  252.74,  59.47,      2.125,    4.46,  127.81,  60.15,     4.250,    4.22,  270.34,  63.61
           12,      6.250,    5.52,  304.16,  48.66,      3.125,    5.47,  153.22,  49.03,     6.250,    6.27,  267.71,  42.83
           16,      8.250,    6.60,  335.65,  40.68,      4.125,    6.55,  169.08,  40.99,     8.250,    8.16,  271.30,  32.88
           20,     10.250,    8.25,  333.47,  32.53,      5.125,    8.27,  166.37,  32.46,    10.250,   10.19,  270.12,  26.35
           24,     12.250,   10.54,  312.10,  25.48,      6.125,   10.52,  156.26,  25.51,    12.250,   12.23,  268.92,  21.95
           28,     14.250,   11.52,  331.99,  23.30,      7.125,   11.43,  167.27,  23.48,    14.250,   14.30,  267.44,  18.77
           32,     16.250,   13.05,  334.23,  20.57,      8.125,   13.03,  167.33,  20.60,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.25,  334.47,  16.52,     10.125,   16.23,  167.48,  16.54,    20.250,   20.32,  267.51,  13.21
           48,     24.250,   19.63,  331.58,  13.67,     12.125,   19.62,  165.90,  13.68,    24.250,   24.50,  265.66,  10.96
           56,     28.250,   23.12,  327.93,  11.61,     14.125,   23.13,  163.90,  11.60,    28.250,   28.75,  263.81,   9.34
           64,     32.250,   26.66,  324.71,  10.07,     16.125,   26.72,  162.02,  10.05,    32.250,   33.06,  261.83,   8.12
           80,     40.250,   32.95,  327.86,   8.15,     20.125,   32.88,  164.29,   8.16,    40.250,   41.75,  258.78,   6.43
          104,     52.250,   43.46,  322.71,   6.18,     26.125,   43.49,  161.25,   6.17,    52.250,   54.62,  256.81,   4.92
          120,     60.250,   50.73,  318.83,   5.29,     30.125,   51.32,  157.57,   5.23,    60.250,   63.18,  255.99,   4.25
          128,     64.250,   55.12,  312.88,   4.87,     32.125,   55.17,  156.32,   4.87,    64.250,   67.49,  255.55,   3.98
          160,     80.250,   66.90,  322.01,   4.01,     40.125,   66.88,  161.05,   4.01,    80.250,   86.14,  250.09,   3.12
          192,     96.250,   83.01,  311.25,   3.23,     48.125,   82.85,  155.93,   3.24,    96.250,  103.33,  250.05,   2.60
          256,    128.250,  109.62,  314.07,   2.45,     64.125,  109.76,  156.82,   2.45,   128.250,  137.75,  249.92,   1.95
          320,    160.250,  139.24,  308.94,   1.93,     80.125,  139.34,  154.36,   1.93,   160.250,  172.26,  249.73,   1.56
          512,    256.250,  225.60,  304.90,   1.19,    128.125,  225.61,  152.44,   1.19,   256.250,  275.66,  249.53,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725074951
