Start time: 1725075122
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.05,   22.03,  88.13,      0.125,    3.57,    9.40,  75.21,     0.250,    2.57,   26.15, 104.61
            1,      0.750,    4.00,   50.37,  67.16,      0.375,    3.98,   25.32,  67.51,     0.750,    3.71,   54.19,  72.26
            2,      1.250,    4.07,   82.38,  65.91,      0.625,    4.08,   41.14,  65.83,     1.250,    3.81,   87.95,  70.36
            3,      1.750,    4.17,  112.65,  64.37,      0.875,    4.16,   56.49,  64.56,     1.750,    3.91,  120.21,  68.69
            4,      2.250,    4.25,  142.05,  63.13,      1.125,    4.24,   71.19,  63.28,     2.250,    4.01,  150.51,  66.89
            6,      3.250,    4.43,  196.93,  60.59,      1.625,    4.41,   99.00,  60.92,     3.250,    4.15,  210.02,  64.62
            8,      4.250,    4.63,  246.62,  58.03,      2.125,    4.61,  123.79,  58.25,     4.250,    4.38,  260.47,  61.29
           12,      6.250,    5.54,  302.95,  48.47,      3.125,    5.51,  152.30,  48.74,     6.250,    6.32,  265.42,  42.47
           16,      8.250,    6.66,  332.47,  40.30,      4.125,    6.62,  167.27,  40.55,     8.250,    8.17,  271.00,  32.85
           20,     10.250,    8.28,  332.30,  32.42,      5.125,    8.32,  165.27,  32.25,    10.250,   10.22,  269.28,  26.27
           24,     12.250,   10.57,  311.10,  25.40,      6.125,   10.56,  155.73,  25.42,    12.250,   12.23,  268.87,  21.95
           28,     14.250,   11.54,  331.50,  23.26,      7.125,   11.47,  166.73,  23.40,    14.250,   14.31,  267.31,  18.76
           32,     16.250,   13.06,  333.98,  20.55,      8.125,   13.04,  167.26,  20.59,    16.250,   16.11,  270.72,  16.66
           40,     20.250,   16.25,  334.47,  16.52,     10.125,   16.24,  167.40,  16.53,    20.250,   20.32,  267.51,  13.21
           48,     24.250,   19.65,  331.33,  13.66,     12.125,   19.63,  165.82,  13.68,    24.250,   24.52,  265.49,  10.95
           56,     28.250,   23.14,  327.78,  11.60,     14.125,   23.15,  163.81,  11.60,    28.250,   28.75,  263.77,   9.34
           64,     32.250,   26.66,  324.68,  10.07,     16.125,   26.73,  161.90,  10.04,    32.250,   33.09,  261.60,   8.11
           80,     40.250,   32.99,  327.47,   8.14,     20.125,   32.93,  164.06,   8.15,    40.250,   41.78,  258.59,   6.42
          104,     52.250,   43.55,  322.09,   6.16,     26.125,   43.74,  160.32,   6.14,    52.250,   54.65,  256.64,   4.91
          120,     60.250,   50.76,  318.63,   5.29,     30.125,   51.35,  157.47,   5.23,    60.250,   63.20,  255.89,   4.25
          128,     64.250,   55.09,  313.07,   4.87,     32.125,   55.21,  156.20,   4.86,    64.250,   67.53,  255.40,   3.98
          160,     80.250,   66.91,  321.97,   4.01,     40.125,   66.92,  160.95,   4.01,    80.250,   86.16,  250.02,   3.12
          192,     96.250,   83.03,  311.17,   3.23,     48.125,   82.86,  155.91,   3.24,    96.250,  103.34,  250.01,   2.60
          256,    128.250,  109.65,  313.96,   2.45,     64.125,  109.78,  156.80,   2.45,   128.250,  137.79,  249.86,   1.95
          320,    160.250,  139.25,  308.91,   1.93,     80.125,  139.37,  154.32,   1.93,   160.250,  172.30,  249.66,   1.56
          512,    256.250,  225.65,  304.84,   1.19,    128.125,  225.53,  152.50,   1.19,   256.250,  275.74,  249.46,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725075278
