Start time: 1725074786
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.98,   22.53,  90.11,      0.125,    2.96,   11.34,  90.69,     0.250,    1.90,   35.28, 141.13
            1,      0.750,    3.58,   56.21,  74.94,      0.375,    3.58,   28.08,  74.88,     0.750,    3.10,   64.86,  86.48
            2,      1.250,    3.65,   91.80,  73.44,      0.625,    3.71,   45.25,  72.39,     1.250,    3.24,  103.56,  82.85
            3,      1.750,    3.79,  123.88,  70.79,      0.875,    3.76,   62.40,  71.32,     1.750,    3.34,  140.69,  80.39
            4,      2.250,    3.92,  154.19,  68.53,      1.125,    3.90,   77.51,  68.90,     2.250,    3.56,  169.80,  75.47
            6,      3.250,    4.16,  209.72,  64.53,      1.625,    4.09,  106.60,  65.60,     3.250,    3.79,  230.25,  70.85
            8,      4.250,    4.46,  255.91,  60.21,      2.125,    4.42,  128.94,  60.68,     4.250,    4.12,  277.17,  65.22
           12,      6.250,    5.51,  304.60,  48.74,      3.125,    5.54,  151.53,  48.49,     6.250,    6.34,  264.50,  42.32
           16,      8.250,    6.64,  333.37,  40.41,      4.125,    6.61,  167.47,  40.60,     8.250,    8.12,  272.63,  33.05
           20,     10.250,    8.27,  332.58,  32.45,      5.125,    8.31,  165.57,  32.31,    10.250,   10.22,  269.33,  26.28
           24,     12.250,   10.54,  311.96,  25.47,      6.125,   10.52,  156.35,  25.53,    12.250,   12.23,  268.90,  21.95
           28,     14.250,   11.56,  330.99,  23.23,      7.125,   11.44,  167.26,  23.47,    14.250,   14.29,  267.59,  18.78
           32,     16.250,   13.06,  333.90,  20.55,      8.125,   13.04,  167.19,  20.58,    16.250,   16.11,  270.80,  16.66
           40,     20.250,   16.25,  334.57,  16.52,     10.125,   16.23,  167.48,  16.54,    20.250,   20.32,  267.51,  13.21
           48,     24.250,   19.65,  331.34,  13.66,     12.125,   19.62,  165.88,  13.68,    24.250,   24.52,  265.51,  10.95
           56,     28.250,   23.12,  327.98,  11.61,     14.125,   23.14,  163.87,  11.60,    28.250,   28.75,  263.79,   9.34
           64,     32.250,   26.66,  324.76,  10.07,     16.125,   26.72,  161.97,  10.04,    32.250,   33.09,  261.65,   8.11
           80,     40.250,   32.97,  327.71,   8.14,     20.125,   32.91,  164.15,   8.16,    40.250,   41.76,  258.71,   6.43
          104,     52.250,   43.49,  322.52,   6.17,     26.125,   43.57,  160.96,   6.16,    52.250,   54.62,  256.81,   4.91
          120,     60.250,   50.73,  318.82,   5.29,     30.125,   51.33,  157.56,   5.23,    60.250,   63.19,  255.95,   4.25
          128,     64.250,   55.11,  312.94,   4.87,     32.125,   55.17,  156.30,   4.87,    64.250,   67.50,  255.53,   3.98
          160,     80.250,   66.90,  322.01,   4.01,     40.125,   66.87,  161.06,   4.01,    80.250,   86.13,  250.11,   3.12
          192,     96.250,   83.02,  311.20,   3.23,     48.125,   82.83,  155.97,   3.24,    96.250,  103.32,  250.08,   2.60
          256,    128.250,  109.62,  314.04,   2.45,     64.125,  109.73,  156.87,   2.45,   128.250,  137.74,  249.94,   1.95
          320,    160.250,  139.22,  308.98,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.25,  249.74,   1.56
          512,    256.250,  225.57,  304.94,   1.19,    128.125,  225.59,  152.46,   1.19,   256.250,  275.64,  249.55,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725074942
