Start time: 1725075111
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.90,   23.13,  92.53,      0.125,    3.11,   10.78,  86.23,     0.250,    2.09,   32.11, 128.44
            1,      0.750,    3.72,   54.13,  72.18,      0.375,    3.70,   27.24,  72.63,     0.750,    3.17,   63.41,  84.55
            2,      1.250,    3.78,   88.86,  71.09,      0.625,    3.81,   44.07,  70.51,     1.250,    3.36,   99.92,  79.94
            3,      1.750,    4.05,  116.02,  66.30,      0.875,    3.90,   60.30,  68.92,     1.750,    3.48,  134.95,  77.11
            4,      2.250,    3.99,  151.45,  67.31,      1.125,    3.99,   75.76,  67.34,     2.250,    3.58,  168.71,  74.98
            6,      3.250,    4.26,  204.84,  63.03,      1.625,    4.21,  103.59,  63.75,     3.250,    3.90,  223.70,  68.83
            8,      4.250,    4.50,  253.30,  59.60,      2.125,    4.49,  127.04,  59.79,     4.250,    4.18,  272.93,  64.22
           12,      6.250,    5.48,  306.15,  48.98,      3.125,    5.44,  154.12,  49.32,     6.250,    6.26,  268.18,  42.91
           16,      8.250,    6.60,  335.54,  40.67,      4.125,    6.56,  168.77,  40.91,     8.250,    8.11,  272.93,  33.08
           20,     10.250,    8.24,  334.04,  32.59,      5.125,    8.28,  166.21,  32.43,    10.250,   10.19,  270.12,  26.35
           24,     12.250,   10.52,  312.49,  25.51,      6.125,   10.51,  156.45,  25.54,    12.250,   12.21,  269.43,  21.99
           28,     14.250,   11.50,  332.51,  23.33,      7.125,   11.44,  167.16,  23.46,    14.250,   14.31,  267.33,  18.76
           32,     16.250,   13.05,  334.36,  20.58,      8.125,   13.02,  167.49,  20.61,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.25,  334.41,  16.51,     10.125,   16.23,  167.47,  16.54,    20.250,   20.32,  267.58,  13.21
           48,     24.250,   19.64,  331.53,  13.67,     12.125,   19.62,  165.87,  13.68,    24.250,   24.52,  265.49,  10.95
           56,     28.250,   23.11,  328.17,  11.62,     14.125,   23.15,  163.81,  11.60,    28.250,   28.75,  263.80,   9.34
           64,     32.250,   26.66,  324.73,  10.07,     16.125,   26.73,  161.92,  10.04,    32.250,   33.09,  261.66,   8.11
           80,     40.250,   32.99,  327.54,   8.14,     20.125,   32.93,  164.06,   8.15,    40.250,   41.77,  258.66,   6.43
          104,     52.250,   43.54,  322.11,   6.16,     26.125,   43.73,  160.35,   6.14,    52.250,   54.64,  256.70,   4.91
          120,     60.250,   50.74,  318.74,   5.29,     30.125,   51.33,  157.56,   5.23,    60.250,   63.20,  255.91,   4.25
          128,     64.250,   55.15,  312.75,   4.87,     32.125,   55.18,  156.29,   4.86,    64.250,   67.53,  255.41,   3.98
          160,     80.250,   66.91,  321.98,   4.01,     40.125,   66.89,  161.02,   4.01,    80.250,   86.13,  250.10,   3.12
          192,     96.250,   83.01,  311.26,   3.23,     48.125,   82.83,  155.97,   3.24,    96.250,  103.32,  250.08,   2.60
          256,    128.250,  109.62,  314.05,   2.45,     64.125,  109.78,  156.80,   2.45,   128.250,  137.74,  249.95,   1.95
          320,    160.250,  139.23,  308.96,   1.93,     80.125,  139.34,  154.36,   1.93,   160.250,  172.25,  249.74,   1.56
          512,    256.250,  225.57,  304.95,   1.19,    128.125,  225.59,  152.46,   1.19,   256.250,  275.63,  249.56,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725075266
