Start time: 1725074776
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.99,   22.45,  89.81,      0.125,    3.08,   10.88,  87.01,     0.250,    1.94,   34.52, 138.08
            1,      0.750,    3.55,   56.78,  75.70,      0.375,    3.56,   28.25,  75.34,     0.750,    3.20,   62.97,  83.96
            2,      1.250,    3.64,   92.23,  73.79,      0.625,    3.66,   45.84,  73.34,     1.250,    3.34,  100.46,  80.37
            3,      1.750,    3.76,  124.80,  71.32,      0.875,    3.80,   61.81,  70.64,     1.750,    3.40,  137.96,  78.84
            4,      2.250,    3.89,  155.26,  69.01,      1.125,    3.90,   77.37,  68.78,     2.250,    3.57,  169.37,  75.28
            6,      3.250,    4.12,  211.60,  65.11,      1.625,    4.09,  106.63,  65.62,     3.250,    3.78,  230.68,  70.98
            8,      4.250,    4.47,  254.94,  59.99,      2.125,    4.46,  127.84,  60.16,     4.250,    4.09,  278.60,  65.55
           12,      6.250,    5.53,  303.66,  48.59,      3.125,    5.49,  152.71,  48.87,     6.250,    6.30,  266.22,  42.60
           16,      8.250,    6.64,  333.57,  40.43,      4.125,    6.59,  168.05,  40.74,     8.250,    8.16,  271.53,  32.91
           20,     10.250,    8.29,  332.06,  32.40,      5.125,    8.31,  165.55,  32.30,    10.250,   10.22,  269.22,  26.27
           24,     12.250,   10.57,  311.10,  25.40,      6.125,   10.54,  155.92,  25.46,    12.250,   12.23,  268.85,  21.95
           28,     14.250,   11.53,  331.79,  23.28,      7.125,   11.48,  166.65,  23.39,    14.250,   14.32,  267.20,  18.75
           32,     16.250,   13.07,  333.75,  20.54,      8.125,   13.05,  167.14,  20.57,    16.250,   16.11,  270.72,  16.66
           40,     20.250,   16.23,  334.84,  16.54,     10.125,   16.24,  167.39,  16.53,    20.250,   20.32,  267.48,  13.21
           48,     24.250,   19.64,  331.43,  13.67,     12.125,   19.61,  165.95,  13.69,    24.250,   24.52,  265.53,  10.95
           56,     28.250,   23.12,  327.94,  11.61,     14.125,   23.15,  163.81,  11.60,    28.250,   28.74,  263.83,   9.34
           64,     32.250,   26.66,  324.72,  10.07,     16.125,   26.72,  161.98,  10.05,    32.250,   33.08,  261.69,   8.11
           80,     40.250,   32.99,  327.49,   8.14,     20.125,   32.87,  164.37,   8.17,    40.250,   41.78,  258.57,   6.42
          104,     52.250,   43.56,  321.96,   6.16,     26.125,   43.74,  160.33,   6.14,    52.250,   54.66,  256.62,   4.91
          120,     60.250,   50.76,  318.61,   5.29,     30.125,   51.35,  157.47,   5.23,    60.250,   63.22,  255.83,   4.25
          128,     64.250,   55.15,  312.72,   4.87,     32.125,   55.21,  156.21,   4.86,    64.250,   67.54,  255.37,   3.97
          160,     80.250,   66.92,  321.89,   4.01,     40.125,   66.90,  161.00,   4.01,    80.250,   86.16,  250.01,   3.12
          192,     96.250,   83.01,  311.26,   3.23,     48.125,   82.84,  155.94,   3.24,    96.250,  103.31,  250.09,   2.60
          256,    128.250,  109.64,  313.99,   2.45,     64.125,  109.79,  156.78,   2.44,   128.250,  137.74,  249.94,   1.95
          320,    160.250,  139.22,  308.98,   1.93,     80.125,  139.35,  154.35,   1.93,   160.250,  172.28,  249.70,   1.56
          512,    256.250,  225.61,  304.89,   1.19,    128.125,  225.62,  152.44,   1.19,   256.250,  275.67,  249.53,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725074931
