LAMMPS (17 Apr 2024 - Development - a8687b5)
KOKKOS mode with Kokkos version 4.3.1 is enabled (src/KOKKOS/kokkos.cpp:72)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 3.1803 3.1803 3.1803
Created orthogonal box = (0 0 0) to (12.7212 12.7212 12.7212)
  12 by 16 by 16 MPI processor grid
Created 128 atoms
  using lattice units in orthogonal box = (0 0 0) to (12.7212 12.7212 12.7212)
  create_atoms CPU = 0.119 seconds
SNAP Element = W, Radius 0.5, Weight 1
SNAP keyword rcutfac 4.87644
SNAP keyword twojmax 8
SNAP keyword rfac0 0.99363
SNAP keyword rmin0 0
SNAP keyword bzeroflag 1
SNAP keyword quadraticflag 0
Displacing atoms ...
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.87644
  ghost atom cutoff = 4.87644
  binsize = 2.43822, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair zbl, perpetual
      attributes: half, newton on, kokkos_device, cut 4.8
      pair build: half/bin/newton/kk/device
      stencil: half/bin/3d
      bin: kk/device
  (2) pair snap, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 2.489 | 2.606 | 5.231 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   800           -8.9091051      0             -8.8065049      5048.8849    
        50   597.16302     -8.8734628      0             -8.7968764      10513.646    
       100   661.07839     -8.8385076      0             -8.7537241      18588.749    
       150   709.98753     -8.8157271      0             -8.724671       23631.096    
       200   726.01461     -8.8026155      0             -8.7095039      27045.686    
       250   762.39604     -8.8017411      0             -8.7039636      27546.799    
       300   831.24568     -8.8027774      0             -8.6961699      28201.841    
       350   850.27387     -8.8016917      0             -8.6926438      28652.135    
       400   812.67138     -8.8029813      0             -8.698756       28074.027    
       450   776.35286     -8.8030835      0             -8.703516       27747.826    
       500   892.61228     -8.8076749      0             -8.6931971      28035.837    
       550   828.56503     -8.7668855      0             -8.6606218      37805.55     
       600   886.5483      -8.7859475      0             -8.6722474      33788.624    
       650   787.58011     -8.7866279      0             -8.6856205      32712.102    
       700   796.44542     -8.783856       0             -8.6817116      33283.162    
       750   770.8167      -8.7801709      0             -8.6813135      33427.666    
       800   808.04223     -8.7882276      0             -8.684596       32224.82     
       850   783.37979     -8.7937784      0             -8.6933097      30506.953    
       900   788.86676     -8.7917513      0             -8.6905789      31063.555    
       950   746.13528     -8.7845605      0             -8.6888684      31978.83     
      1000   671.36943     -8.7806052      0             -8.6945018      32182.882    
      1050   711.12263     -8.7494913      0             -8.6582896      40801.252    
      1100   881.65855     -8.6684533      0             -8.5553803      64163.02     
      1150   982.31633     -8.6854326      0             -8.5594502      60854.271    
      1200   833.62196     -8.6871355      0             -8.5802233      59562.6      
      1250   995.59763     -8.6451856      0             -8.5174999      73220.246    
      1300   1045.3471     -8.6049048      0             -8.4708388      85265.33     
      1350   888.33863     -8.5656897      0             -8.45176        94589.282    
      1400   842.00026     -8.4967202      0             -8.3887334      113136.29    
      1450   941.40589     -8.4228901      0             -8.3021545      134683.68    
      1500   909.45611     -8.3611096      0             -8.2444716      150257.19    
      1550   880.36567     -8.19415        0             -8.0812429      192650.02    
      1600   854.3687      -8.2723085      0             -8.1627354      173897.93    
      1650   918.93366     -8.2166802      0             -8.0988267      192250.31    
      1700   1087.7183     -8.1807138      0             -8.0412136      203133.63    
      1750   1014.1729     -8.1611956      0             -8.0311277      209706.89    
      1800   1011.1732     -8.1464567      0             -8.0167734      214179.32    
      1850   939.37201     -8.0503635      0             -7.9298888      236643.55    
      1900   1119.7092     -7.9847258      0             -7.8411228      254259.9     
      1950   1082.8408     -7.9065076      0             -7.767633       272274.13    
      2000   1429.4719     -7.7039078      0             -7.5205776      328033.14    
