,experiment,cost,size,duration
1,google/gke/cpu,8.143237205759682,64,90.52511715888977
3,google/gke/cpu,8.162137569936116,64,90.7352249622345
5,google/gke/cpu,8.100958435228137,64,90.0551209449768
7,google/gke/cpu,8.226728205193414,64,91.45325326919556
9,google/gke/cpu,8.15909989191691,64,90.70145630836487
207,google/compute-engine/cpu,12.909778841569686,64,143.51285767555237
209,google/compute-engine/cpu,12.780315627797444,64,142.07366681098938
211,google/compute-engine/cpu,12.840723954603407,64,142.74520206451416
213,google/compute-engine/cpu,12.552080330234103,64,139.53646612167358
215,google/compute-engine/cpu,12.516719313981797,64,139.14337182044983
367,on-premises/dane/cpu,,64,98.05
369,on-premises/dane/cpu,,64,99.32
371,on-premises/dane/cpu,,64,99.61
373,on-premises/dane/cpu,,64,101.44
375,on-premises/dane/cpu,,64,98.23
407,on-premises/lassen/gpu,,64,73.1
409,on-premises/lassen/gpu,,64,73.21
411,on-premises/lassen/gpu,,64,73.71
413,on-premises/lassen/gpu,,64,74.38
445,aws/eks/cpu,4.407877355957031,64,86.09135460853577
447,aws/eks/cpu,4.46581005859375,64,87.22285270690918
449,aws/eks/cpu,4.422478344726562,64,86.37653017044067
451,aws/eks/cpu,4.408229724121093,64,86.09823679924011
453,aws/eks/cpu,4.4829738769531255,64,87.55808353424072
645,aws/parallel-cluster/cpu,4.3008,64,84
647,aws/parallel-cluster/cpu,4.352,64,85
649,aws/parallel-cluster/cpu,4.608,64,90
651,aws/parallel-cluster/cpu,4.352,64,85
653,aws/parallel-cluster/cpu,4.352,64,85
685,azure/cyclecloud/cpu,4.224,64,66
687,azure/cyclecloud/cpu,4.224,64,66
689,azure/cyclecloud/cpu,4.224,64,66
691,azure/cyclecloud/cpu,4.288,64,67
693,azure/cyclecloud/cpu,4.224,64,66
695,azure/cyclecloud/cpu,4.224,64,66
697,azure/cyclecloud/cpu,5.184000000000001,64,81
805,azure/aks/cpu,5.280215393066406,64,82.5033655166626
807,azure/aks/cpu,5.256540298461914,64,82.13344216346741
809,azure/aks/cpu,5.200224136352539,64,81.25350213050842
811,azure/aks/cpu,5.335439147949219,64,83.36623668670654
813,azure/aks/cpu,5.3299301300048825,64,83.2801582813263
11,google/gke/cpu,6.399936726040309,32,142.29108333587646
13,google/gke/cpu,6.339496721903482,32,140.94730854034424
15,google/gke/cpu,6.392377168019611,32,142.12301015853882
17,google/gke/cpu,6.391036564932928,32,142.09320425987244
19,google/gke/cpu,6.324684770880805,32,140.61799144744873
155,google/gke/gpu,2.8459080396864147,32,13.705678701400757
157,google/gke/gpu,2.699292725965712,32,12.999590396881104
159,google/gke/gpu,2.8598531209309894,32,13.772837162017822
161,google/gke/gpu,2.722800690375434,32,13.112802982330322
163,google/gke/gpu,2.9583089599609376,32,14.246993064880371
165,google/gke/gpu,2.836818981255425,32,13.661906480789185
217,google/compute-engine/cpu,5.81737703543769,32,129.3389163017273
219,google/compute-engine/cpu,5.824840907329984,32,129.50486207008362
221,google/compute-engine/cpu,6.0395321299235025,32,134.27813529968262
223,google/compute-engine/cpu,5.905659536785549,32,131.3017189502716
225,google/compute-engine/cpu,5.9105553143819165,32,131.41056776046753
247,google/compute-engine/gpu,10.601403118218316,32,51.05555868148804
249,google/compute-engine/gpu,11.04132520005968,32,53.174190282821655
251,google/compute-engine/gpu,10.865463894992404,32,52.32725548744202
253,google/compute-engine/gpu,10.950441794162327,32,52.7365026473999
255,google/compute-engine/gpu,10.927587956407336,32,52.62644028663635
257,google/compute-engine/gpu,10.334132452392577,32,49.76840329170227
259,google/compute-engine/gpu,11.153765725368922,32,53.71569538116455
261,google/compute-engine/gpu,10.913050631374784,32,52.556429624557495
263,google/compute-engine/gpu,10.472361647542318,32,50.434104681015015
265,google/compute-engine/gpu,11.3078485683865,32,54.457746744155884
267,google/compute-engine/gpu,11.990543473307293,32,57.745553970336914
269,google/compute-engine/gpu,10.91202129652235,32,52.551472425460815
271,google/compute-engine/gpu,11.791961749945747,32,56.789199352264404
273,google/compute-engine/gpu,11.341666812472873,32,54.62061285972595
275,google/compute-engine/gpu,11.068748369683158,32,53.30625820159912
377,on-premises/dane/cpu,,32,89.65
379,on-premises/dane/cpu,,32,89.4
381,on-premises/dane/cpu,,32,92.67
383,on-premises/dane/cpu,,32,89.63
385,on-premises/dane/cpu,,32,92.86
415,on-premises/lassen/gpu,,32,48.42
417,on-premises/lassen/gpu,,32,48.28
419,on-premises/lassen/gpu,,32,48.75
421,on-premises/lassen/gpu,,32,49.09
423,on-premises/lassen/gpu,,32,56.66
455,aws/eks/cpu,2.0624581054687496,32,80.56476974487305
457,aws/eks/cpu,2.0392408691406247,32,79.65784645080566
459,aws/eks/cpu,2.0580131591796875,32,80.39113903045654
461,aws/eks/cpu,2.039812512207031,32,79.68017625808716
463,aws/eks/cpu,2.036338928222656,32,79.54448938369751
465,aws/eks/cpu,4.88756953125,32,190.92068481445312
467,aws/eks/cpu,4.8807872192382815,32,190.65575075149536
469,aws/eks/cpu,4.875082250976562,32,190.43290042877197
471,aws/eks/cpu,4.880284228515625,32,190.6361026763916
473,aws/eks/cpu,4.904280682373047,32,191.57346415519714
655,aws/parallel-cluster/cpu,2.0992,32,82
657,aws/parallel-cluster/cpu,2.0736000000000003,32,81
659,aws/parallel-cluster/cpu,2.0736000000000003,32,81
661,aws/parallel-cluster/cpu,2.1504,32,84
663,aws/parallel-cluster/cpu,2.0992,32,82
699,azure/cyclecloud/cpu,2.112,32,66
701,azure/cyclecloud/cpu,2.432,32,76
703,azure/cyclecloud/cpu,2.112,32,66
705,azure/cyclecloud/cpu,2.08,32,65
707,azure/cyclecloud/cpu,2.08,32,65
723,azure/cyclecloud/gpu,5.091377777777779,32,26
725,azure/cyclecloud/gpu,2.9373333333333336,32,15
775,azure/aks/cpu,2.371042701721191,32,74.09508442878723
777,azure/aks/cpu,2.3711236190795897,32,74.09761309623718
779,azure/aks/cpu,2.3393212509155275,32,73.10378909111023
781,azure/aks/cpu,2.3985939712524416,32,74.9560616016388
783,azure/aks/cpu,2.32489404296875,32,72.65293884277344
815,azure/aks/gpu,1.7296690118365818,32,8.832853555679321
817,azure/aks/gpu,1.457219787173801,32,7.441544532775879
819,azure/aks/gpu,1.2440112219280668,32,6.352758169174194
821,azure/aks/gpu,1.6105875231848823,32,8.224743366241455
823,azure/aks/gpu,1.6639503934648303,32,8.497250080108643
21,google/gke/cpu,40.433076286146374,128,224.73918390274048
23,google/gke/cpu,40.42419706810845,128,224.68983054161072
25,google/gke/cpu,40.38269324476454,128,224.45913982391357
27,google/gke/cpu,40.28718315395779,128,223.9282660484314
29,google/gke/cpu,40.47196794145372,128,224.9553554058075
227,google/compute-engine/cpu,28.28334309675428,128,157.20731711387634
229,google/compute-engine/cpu,28.621936746046277,128,159.0893223285675
231,google/compute-engine/cpu,28.199256662156845,128,156.73993945121765
233,google/compute-engine/cpu,28.20957300584581,128,156.79728078842163
235,google/compute-engine/cpu,28.224745439317488,128,156.88161373138428
387,on-premises/dane/cpu,,128,99.55
389,on-premises/dane/cpu,,128,100.4
391,on-premises/dane/cpu,,128,101.12
393,on-premises/dane/cpu,,128,100.85
395,on-premises/dane/cpu,,128,100.63
475,aws/eks/cpu,10.73433603515625,128,104.82750034332275
477,aws/eks/cpu,10.794736694335938,128,105.41735053062439
479,aws/eks/cpu,10.653670996093748,128,104.03975582122803
481,aws/eks/cpu,10.776623583984374,128,105.24046468734741
483,aws/eks/cpu,10.7195220703125,128,104.68283271789551
665,aws/parallel-cluster/cpu,9.4208,128,92
667,aws/parallel-cluster/cpu,9.4208,128,92
669,aws/parallel-cluster/cpu,10.0352,128,98
671,aws/parallel-cluster/cpu,10.751999999999999,128,105
673,aws/parallel-cluster/cpu,9.4208,128,92
709,azure/cyclecloud/cpu,9.216000000000001,128,72
711,azure/cyclecloud/cpu,9.088,128,71
713,azure/cyclecloud/cpu,12.16,128,95
715,azure/cyclecloud/cpu,9.344,128,73
717,azure/cyclecloud/cpu,9.216000000000001,128,72
785,azure/aks/cpu,14.149841796875,128,110.54563903808594
787,azure/aks/cpu,13.705044219970704,128,107.07065796852112
789,azure/aks/cpu,13.694155548095702,128,106.98559021949768
791,azure/aks/cpu,13.668217620849608,128,106.78295016288757
793,azure/aks/cpu,10.654893157958984,128,83.24135279655457
31,google/gke/cpu,99.60407917073569,256,276.8146963119507
33,google/gke/cpu,98.9899269724528,256,275.1078751087189
237,google/compute-engine/cpu,70.70969048461913,256,196.51285028457642
239,google/compute-engine/cpu,73.59910469767252,256,204.5429663658142
241,google/compute-engine/cpu,69.13672025689019,256,192.14132976531982
243,google/compute-engine/cpu,67.75855604858398,256,188.31120443344116
245,google/compute-engine/cpu,75.6974925930447,256,210.37470149993896
397,on-premises/dane/cpu,,256,108.25
399,on-premises/dane/cpu,,256,175.1
401,on-premises/dane/cpu,,256,113.31
403,on-premises/dane/cpu,,256,208.36
405,on-premises/dane/cpu,,256,108.38
485,aws/eks/cpu,30.3282404296875,256,148.0871114730835
487,aws/eks/cpu,31.019475878906245,256,151.46228456497192
489,aws/eks/cpu,30.4084462890625,256,148.478741645813
