flux-sample-2 flux-sample-12
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.25
4                       2.49
8                       4.98
16                      9.99
32                     19.96
64                     39.90
128                    79.92
256                   158.82
512                   315.65
1024                  620.85
2048                 1222.74
4096                 2263.54
8192                 3607.10
16384                4379.75
32768                5365.58
65536                6268.63
131072               6336.58
262144               6476.50
524288               6573.41
1048576              6587.20
2097152              6534.00
4194304              6507.05
flux-sample-2 flux-sample-3
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      18.99
1                      19.04
2                      19.02
4                      19.05
8                      19.71
16                     19.70
32                     19.70
64                     19.80
128                    19.78
256                    19.89
512                    20.04
1024                   20.54
2048                   21.71
4096                   24.27
8192                   29.26
16384                  31.42
32768                  36.12
65536                  43.47
131072                102.74
262144                125.24
524288                222.02
1048576               416.84
2097152               807.70
4194304              1537.62
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.65
2                       1.31
4                       2.61
8                       5.21
16                     10.43
32                     20.77
64                     41.95
128                    82.37
256                   165.16
512                   328.77
1024                  650.03
2048                 1266.51
4096                 2374.99
8192                 3802.99
16384                4568.50
32768                5571.09
65536                6467.03
131072               6452.53
262144               6570.68
524288               6644.27
1048576              6652.65
2097152              6585.49
4194304              6566.14
flux-sample-2 flux-sample-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.08
1                      22.06
2                      22.02
4                      22.04
8                      22.55
16                     22.56
32                     22.62
64                     22.75
128                    22.74
256                    22.80
512                    23.02
1024                   23.71
2048                   24.99
4096                   27.95
8192                   33.61
16384                  35.77
32768                  40.37
65536                  47.65
131072                114.52
262144                137.47
524288                241.47
1048576               451.13
2097152               870.77
4194304              1654.62
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.25
4                       2.51
8                       4.98
16                      9.94
32                     19.92
64                     39.90
128                    79.39
256                   158.81
512                   314.93
1024                  621.24
2048                 1215.32
4096                 2254.08
8192                 3607.98
16384                4469.27
32768                5344.40
65536                6276.89
131072               6322.63
262144               6467.90
524288               6550.38
1048576              6570.81
2097152              6511.42
4194304              6480.72
flux-sample-2 flux-sample-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      37.88
1                      37.94
2                      37.83
4                      37.85
8                      38.56
16                     38.57
32                     38.49
64                     38.19
128                    38.76
256                    38.80
512                    39.32
1024                   40.39
2048                   41.74
4096                   44.88
8192                   51.54
16384                  54.84
32768                  61.30
65536                  69.60
131072                172.53
262144                195.54
524288                337.69
1048576               624.00
2097152              1201.32
4194304              2249.81
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.44
2                       0.90
4                       1.87
8                       3.57
16                      6.91
32                     13.66
64                     29.32
128                    57.66
256                   114.85
512                   229.21
1024                  433.66
2048                  884.99
4096                 1624.86
8192                 2754.42
16384                3814.23
32768                4910.19
65536                5918.51
131072               6068.50
262144               6341.49
524288               6466.83
1048576              6498.89
2097152              6459.54
4194304              6440.38
flux-sample-12 flux-sample-6
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.52
1                      22.60
2                      22.52
4                      22.53
8                      23.13
16                     23.10
32                     23.11
64                     22.85
128                    23.41
256                    23.55
512                    23.91
1024                   24.55
2048                   25.92
4096                   28.52
8192                   33.88
16384                  36.27
32768                  41.16
65536                  48.84
131072                116.89
262144                139.42
524288                244.41
1048576               456.62
2097152               881.27
4194304              1672.56
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.61
2                       1.22
4                       2.45
8                       4.87
16                      9.76
32                     19.53
64                     38.99
128                    77.03
256                   154.42
512                   306.79
1024                  609.14
2048                 1193.00
4096                 2218.53
8192                 3533.12
16384                4395.68
32768                5355.61
65536                6251.67
131072               6337.17
262144               6501.26
524288               6585.82
1048576              6602.17
2097152              6546.81
4194304              6524.58
flux-sample-12 flux-sample-15
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      20.09
1                      20.10
2                      20.11
4                      20.13
8                      20.78
16                     20.76
32                     20.80
64                     20.73
128                    20.88
256                    20.93
512                    21.19
1024                   21.69
2048                   22.45
4096                   25.04
8192                   30.09
16384                  32.64
32768                  37.07
65536                  44.99
131072                105.98
262144                129.21
524288                228.55
1048576               428.15
2097152               830.56
4194304              1581.71
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.64
2                       1.27
4                       2.55
8                       5.06
16                     10.08
32                     20.37
64                     40.47
128                    80.39
