flux-sample-2 flux-sample-12
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
2                       0.86
4                       1.80
8                       3.49
16                      7.15
32                     14.18
64                     28.36
128                    57.45
256                   112.21
512                   223.00
1024                  450.41
2048                  876.12
4096                 1633.58
8192                 2720.87
16384                3841.64
32768                4936.16
65536                5870.65
131072               6079.79
262144               6345.74
524288               6492.90
1048576              6516.73
2097152              6460.29
4194304              6449.72
flux-sample-9 flux-sample-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      38.77
1                      38.72
2                      38.75
4                      38.67
8                      39.22
16                     39.31
32                     39.35
64                     39.47
128                    39.57
256                    39.71
512                    40.05
1024                   40.82
2048                   42.25
4096                   45.50
8192                   52.34
16384                  56.00
32768                  62.59
65536                  70.86
131072                173.71
262144                197.96
524288                342.01
1048576               631.07
2097152              1216.91
4194304              2280.36
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.44
2                       0.88
4                       1.81
8                       3.51
16                      7.12
32                     14.12
64                     28.86
128                    57.53
256                   109.59
512                   227.06
1024                  450.07
2048                  854.54
4096                 1637.57
8192                 2785.08
16384                3868.37
32768                4733.01
65536                5914.61
131072               6050.21
262144               6346.26
524288               6479.16
1048576              6512.81
2097152              6474.73
4194304              6448.56
