Start time: 1725005700
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-11 queue1-dy-hpc6a48xlarge-15
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.62
1                      15.58
2                      15.74
4                      15.58
8                      16.11
16                     16.09
32                     16.12
64                     16.18
128                    16.25
256                    16.28
512                    16.38
1024                   16.57
2048                   16.89
4096                   17.86
8192                   20.12
16384                  20.97
32768                  22.50
65536                  25.53
131072                 67.44
262144                 80.59
524288                139.62
1048576               259.10
2097152               496.83
4194304               938.14
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.76
4                       3.54
8                       6.95
16                     14.04
32                     27.81
64                     56.28
128                   112.54
256                   225.90
512                   448.64
1024                  880.85
2048                 1728.03
4096                 3278.72
8192                 5853.64
16384                7725.28
32768                9705.48
65536               10887.75
131072              10246.01
262144              10867.63
524288              11381.50
1048576             11824.74
2097152             12021.18
4194304             12037.55
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-11 queue1-dy-hpc6a48xlarge-21
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.39
1                      12.40
2                      12.54
4                      12.39
8                      12.96
16                     12.95
32                     12.97
64                     13.00
128                    13.04
256                    13.05
512                    13.18
1024                   13.27
2048                   13.45
4096                   14.03
8192                   15.42
16384                  16.25
32768                  17.54
65536                  20.47
131072                 54.15
262144                 67.13
524288                117.38
1048576               219.55
2097152               424.04
4194304               801.58
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.92
2                       1.90
4                       3.84
8                       7.66
16                     15.13
32                     29.82
64                     60.86
128                   120.40
256                   242.78
512                   481.73
1024                  952.29
2048                 1884.62
4096                 3548.31
8192                 6347.06
16384                8190.06
32768                9985.77
65536               10964.17
131072              10255.93
262144              10976.92
524288              11610.55
1048576             11863.93
2097152             12028.44
4194304             12078.47
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-11 queue1-dy-hpc6a48xlarge-7
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.32
1                      15.32
2                      15.37
4                      15.28
8                      15.83
16                     15.83
32                     15.85
64                     15.88
128                    15.96
256                    15.98
512                    16.04
1024                   16.20
2048                   16.51
4096                   17.41
8192                   19.52
16384                  20.40
32768                  22.04
65536                  25.15
131072                 66.31
262144                 78.65
524288                137.85
1048576               255.35
2097152               489.44
4194304               925.35
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.89
2                       1.76
4                       3.57
8                       7.02
16                     14.13
32                     28.28
64                     56.87
128                   112.36
256                   225.65
512                   442.27
1024                  888.72
2048                 1704.12
4096                 3253.80
8192                 5768.78
16384                7669.88
32768                9652.46
65536               10856.40
131072              10107.79
262144              10761.62
524288              11281.19
1048576             11723.82
2097152             12001.44
4194304             12056.87
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-11 queue1-dy-hpc6a48xlarge-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.82
1                      12.82
2                      12.96
4                      12.82
8                      13.30
16                     13.29
32                     13.31
64                     13.35
128                    13.42
256                    13.41
512                    13.49
1024                   13.57
2048                   13.73
4096                   14.28
8192                   15.54
16384                  16.26
32768                  17.75
65536                  20.54
131072                 54.46
262144                 66.78
524288                118.31
1048576               220.42
2097152               425.15
4194304               806.83
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.92
2                       1.90
4                       3.82
8                       7.57
16                     15.18
32                     30.25
64                     60.08
128                   120.96
256                   241.07
512                   480.12
1024                  953.70
2048                 1863.49
4096                 3552.37
8192                 6326.91
16384                8170.78
32768                9908.88
65536               10808.50
131072              10286.06
262144              11005.30
524288              11578.28
1048576             11895.42
2097152             12039.87
4194304             12055.94
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-11 queue1-dy-hpc6a48xlarge-18
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.14
1                      16.11
2                      16.24
4                      16.11
8                      16.59
16                     16.57
32                     16.61
64                     16.69
128                    16.74
256                    16.73
512                    16.79
1024                   16.96
2048                   17.26
4096                   18.15
8192                   20.25
16384                  21.34
32768                  22.75
65536                  25.86
131072                 68.97
262144                 80.46
524288                140.46
1048576               259.93
2097152               499.64
4194304               944.14
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.75
4                       3.54
8                       6.95
16                     13.92
32                     27.88
64                     55.55
128                   110.68
256                   223.61
512                   445.19
1024                  880.20
2048                 1723.79
4096                 3216.43
8192                 5790.73
16384                7700.97
32768                9578.79
65536               10769.82
131072              10358.30
262144              10869.14
524288              11388.60
1048576             11803.87
2097152             11970.20
4194304             12025.29
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-11 queue1-dy-hpc6a48xlarge-24
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.20
1                      16.13
2                      16.24
4                      16.15
8                      16.62
16                     16.62
32                     16.62
64                     16.67
128                    16.76
256                    16.74
512                    16.80
1024                   16.98
2048                   17.28
4096                   18.17
8192                   20.31
16384                  21.25
32768                  22.82
65536                  25.87
131072                 69.28
262144                 80.77
524288                140.49
1048576               260.31
2097152               500.12
4194304               944.95
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.76
4                       3.55
8                       7.04
16                     13.92
32                     28.21
64                     55.88
128                   113.00
256                   220.59
512                   446.15
1024                  884.92
2048                 1732.15
4096                 3152.84
8192                 5683.60
16384                7705.21
32768                9566.13
65536               10796.63
131072              10184.06
262144              10805.21
524288              11401.15
1048576             11708.06
2097152             11993.87
4194304             12022.72
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-11 queue1-dy-hpc6a48xlarge-20
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.48
1                      12.47
2                      12.62
4                      12.48
8                      12.98
16                     12.97
32                     13.00
64                     13.03
128                    13.06
256                    13.10
512                    13.20
1024                   13.32
2048                   13.49
4096                   14.12
8192                   15.50
16384                  16.25
32768                  17.83
65536                  20.56
131072                 54.98
262144                 67.25
524288                117.92
1048576               220.07
2097152               424.46
4194304               804.15
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.94
2                       1.89
4                       3.82
8                       7.55
16                     15.24
32                     30.15
64                     60.37
128                   120.40
256                   241.17
512                   481.81
1024                  951.47
2048                 1868.53
4096                 3571.82
8192                 6354.53
16384                8185.42
32768                9533.32
65536               10842.96
131072              10394.88
262144              11036.42
524288              11573.93
1048576             11908.14
2097152             12045.35
4194304             12075.38
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-15 queue1-dy-hpc6a48xlarge-21
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.91
1                      15.92
2                      16.09
4                      15.94
8                      16.40
16                     16.42
32                     16.42
64                     16.49
128                    16.57
256                    16.53
512                    16.61
1024                   16.79
2048                   17.08
4096                   18.02
8192                   20.14
16384                  20.97
32768                  22.70
65536                  25.51
131072                 67.47
262144                 80.40
524288                139.78
1048576               258.63
2097152               496.53
4194304               937.96
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.76
4                       3.61
8                       6.99
16                     14.10
32                     27.43
64                     56.24
128                   112.39
256                   225.97
512                   447.62
1024                  892.96
2048                 1727.51
4096                 3299.22
8192                 5662.54
16384                7649.40
32768                9545.55
65536               10828.37
131072              10006.23
262144              10982.51
524288              11405.26
1048576             11801.91
2097152             11988.39
4194304             12050.40
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-15 queue1-dy-hpc6a48xlarge-7
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.64
1                      15.66
2                      15.82
4                      15.65
8                      16.17
16                     16.17
32                     16.19
64                     16.27
128                    16.34
256                    16.34
512                    16.44
1024                   16.66
2048                   16.94
4096                   17.92
8192                   20.18
16384                  21.10
32768                  22.57
65536                  25.74
131072                 67.82
262144                 81.05
524288                140.44
1048576               259.50
2097152               498.07
4194304               940.05
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.74
4                       3.53
8                       7.03
16                     14.13
32                     28.14
64                     56.13
128                   110.95
256                   224.12
512                   438.07
1024                  881.39
2048                 1725.26
4096                 3261.61
8192                 5653.90
16384                7784.64
32768                9643.09
65536               10810.79
131072              10112.31
262144              10710.90
524288              11161.56
1048576             11682.36
2097152             11976.12
4194304             12038.58
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-15 queue1-dy-hpc6a48xlarge-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.66
1                      15.68
2                      15.74
4                      15.63
8                      16.17
16                     16.18
32                     16.19
64                     16.27
128                    16.34
256                    16.36
512                    16.43
1024                   16.63
2048                   16.94
4096                   17.94
8192                   20.20
16384                  21.06
32768                  22.75
65536                  25.64
131072                 67.25
262144                 80.96
524288                139.67
1048576               258.46
2097152               496.89
4194304               939.24
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.76
4                       3.58
8                       7.09
16                     14.01
32                     28.04
64                     55.94
128                   112.58
256                   225.09
512                   445.59
1024                  883.52
2048                 1740.32
4096                 3241.88
8192                 5790.95
16384                7656.89
32768                9568.08
65536               10736.79
131072              10192.77
262144              10931.81
524288              11165.83
1048576             11722.44
2097152             11983.32
4194304             12048.65
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-15 queue1-dy-hpc6a48xlarge-18
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.15
1                      16.15
2                      16.30
4                      16.14
8                      16.69
16                     16.69
32                     16.67
64                     16.79
128                    16.85
256                    16.86
512                    16.95
1024                   17.21
2048                   17.59
4096                   18.59
8192                   21.03
16384                  21.77
32768                  23.29
65536                  26.33
131072                 70.03
262144                 82.49
524288                142.82
1048576               263.88
2097152               506.04
4194304               956.30
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.70
4                       3.51
8                       6.98
16                     14.05
32                     27.98
64                     56.17
128                   111.47
256                   222.64
512                   441.53
1024                  873.66
2048                 1706.43
4096                 3249.60
8192                 5783.51
16384                7610.87
32768                9571.84
65536               10810.14
131072              10353.73
262144              10771.10
524288              11393.61
1048576             11726.01
2097152             11964.86
4194304             12047.53
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-15 queue1-dy-hpc6a48xlarge-24
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.13
1                      16.13
2                      16.27
4                      16.12
8                      16.66
16                     16.71
32                     16.68
64                     16.79
128                    16.81
256                    16.83
512                    16.95
1024                   17.18
2048                   17.56
4096                   18.55
8192                   20.98
16384                  21.86
32768                  23.34
65536                  26.38
131072                 70.78
262144                 82.26
524288                142.60
1048576               264.40
2097152               506.83
4194304               958.70
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.70
4                       3.52
8                       6.99
16                     14.00
32                     28.05
64                     56.40
128                   112.20
256                   223.88
512                   435.13
1024                  870.93
2048                 1666.68
4096                 3260.93
8192                 5736.42
16384                7603.14
32768                9482.37
65536               10767.23
131072              10060.59
262144              10836.83
524288              11424.52
1048576             11771.32
2097152             11941.50
4194304             12037.51
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-15 queue1-dy-hpc6a48xlarge-20
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.98
1                      15.99
2                      16.09
4                      15.99
8                      16.43
16                     16.45
32                     16.47
64                     16.53
128                    16.60
256                    16.59
512                    16.65
1024                   16.82
2048                   17.09
4096                   18.07
8192                   20.17
16384                  21.02
32768                  22.79
65536                  25.88
131072                 68.29
262144                 80.38
524288                140.51
1048576               260.06
2097152               499.33
4194304               943.11
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.75
4                       3.54
8                       7.05
16                     14.11
32                     27.66
64                     55.91
128                   111.53
256                   223.27
512                   443.96
1024                  881.40
2048                 1740.22
4096                 3270.92
8192                 5747.05
16384                7787.99
32768                9584.68
65536               10812.48
131072              10227.38
262144              10799.41
524288              11222.97
1048576             11664.82
2097152             11975.45
4194304             12021.23
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-21 queue1-dy-hpc6a48xlarge-7
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.24
1                      15.24
2                      15.32
4                      15.25
8                      15.77
16                     15.77
32                     15.78
64                     15.84
128                    15.90
256                    15.94
512                    15.99
1024                   16.15
2048                   16.41
4096                   17.32
8192                   19.40
16384                  20.39
32768                  21.94
65536                  24.93
131072                 65.68
262144                 78.66
524288                137.48
1048576               254.46
2097152               490.00
4194304               924.84
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.73
4                       3.54
8                       7.04
16                     14.12
32                     27.59
64                     55.81
128                   112.99
256                   224.48
512                   435.86
1024                  883.26
2048                 1730.08
4096                 3265.14
8192                 5711.90
16384                7843.16
32768                9603.89
65536               10800.18
131072              10090.93
262144              10840.71
524288              11424.39
1048576             11757.44
2097152             11953.71
4194304             12045.96
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-21 queue1-dy-hpc6a48xlarge-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.36
1                      12.36
2                      12.34
4                      12.34
8                      12.88
16                     12.90
32                     12.90
64                     12.93
128                    12.95
256                    13.00
512                    13.09
1024                   13.21
2048                   13.37
4096                   13.98
8192                   15.32
16384                  16.16
32768                  17.49
65536                  20.40
131072                 54.36
262144                 66.86
524288                117.62
1048576               219.36
2097152               423.13
4194304               801.57
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.91
2                       1.86
4                       3.75
8                       7.46
16                     14.94
32                     30.00
64                     60.25
128                   119.79
256                   239.24
512                   463.23
1024                  938.30
2048                 1840.09
4096                 3439.49
8192                 6307.95
16384                8370.55
32768                9963.65
65536               11008.29
131072              10303.02
262144              11041.88
524288              11674.05
1048576             11933.99
2097152             12064.06
4194304             12073.59
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-21 queue1-dy-hpc6a48xlarge-18
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.10
1                      16.08
2                      16.24
4                      16.09
8                      16.55
16                     16.57
32                     16.59
64                     16.65
128                    16.73
256                    16.70
512                    16.75
1024                   16.93
2048                   17.23
4096                   18.15
8192                   20.25
16384                  21.19
32768                  22.84
65536                  25.83
131072                 68.38
262144                 80.55
524288                140.74
1048576               260.50
2097152               499.33
4194304               941.89
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.75
4                       3.56
8                       7.05
16                     14.07
32                     28.42
64                     56.29
128                   112.20
256                   225.12
512                   449.77
1024                  893.08
2048                 1746.31
4096                 3308.47
8192                 5715.59
16384                7688.51
32768                9597.07
65536               10793.36
131072              10078.47
262144              10915.86
524288              11348.88
1048576             11758.62
2097152             11962.23
4194304             12019.43
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-21 queue1-dy-hpc6a48xlarge-24
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.77
1                      15.75
2                      15.85
4                      15.77
8                      16.28
16                     16.27
32                     16.30
64                     16.40
128                    16.45
256                    16.45
512                    16.52
1024                   16.73
2048                   17.05
4096                   18.00
8192                   20.31
16384                  21.14
32768                  22.81
65536                  25.73
131072                 69.20
262144                 81.32
524288                140.78
1048576               259.88
2097152               498.86
4194304               943.79
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.76
4                       3.55
8                       6.97
16                     14.10
32                     28.11
64                     55.70
128                   111.53
256                   224.97
512                   444.96
1024                  871.59
2048                 1729.83
4096                 3232.84
8192                 5746.57
16384                7497.90
32768                9444.17
65536               10733.66
131072              10128.37
262144              10879.41
524288              11483.79
1048576             11820.04
2097152             12004.95
4194304             12038.84
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-21 queue1-dy-hpc6a48xlarge-20
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.41
1                      12.40
2                      12.52
4                      12.41
8                      12.91
16                     12.92
32                     12.91
64                     12.98
128                    13.00
256                    13.04
512                    13.17
1024                   13.26
2048                   13.41
4096                   14.04
8192                   15.39
16384                  16.40
32768                  17.58
65536                  20.46
131072                 54.33
262144                 66.72
524288                117.61
1048576               219.59
2097152               422.17
4194304               801.22
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.94
2                       1.89
4                       3.81
8                       7.38
16                     14.96
32                     30.08
64                     59.92
128                   120.21
256                   241.43
512                   464.91
1024                  948.94
2048                 1855.87
4096                 3509.44
8192                 6291.32
16384                8276.91
32768                9853.57
65536               10938.70
131072              10485.30
262144              11018.69
524288              11569.66
1048576             11894.93
2097152             12017.86
4194304             12077.01
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.31
1                      15.26
2                      15.42
4                      15.29
8                      15.82
16                     15.82
32                     15.86
64                     15.90
128                    15.94
256                    15.96
512                    16.08
1024                   16.22
2048                   16.46
4096                   17.41
8192                   19.54
16384                  20.46
32768                  22.25
65536                  25.20
131072                 65.90
262144                 78.76
524288                137.77
1048576               255.83
2097152               490.30
4194304               927.45
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.76
4                       3.55
8                       7.12
16                     14.08
32                     28.46
64                     56.59
128                   112.19
256                   225.27
512                   443.17
1024                  889.62
2048                 1737.67
4096                 3246.68
8192                 5714.35
16384                7767.57
32768                9309.44
65536               10782.43
131072              10303.92
262144              10847.93
524288              11392.38
1048576             11723.73
2097152             11985.22
4194304             12046.95
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-18
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.21
1                      16.21
2                      16.40
4                      16.22
8                      16.68
16                     16.68
32                     16.69
64                     16.77
128                    16.81
256                    16.81
512                    16.85
1024                   17.04
2048                   17.29
4096                   18.22
8192                   20.33
16384                  21.31
32768                  22.88
65536                  26.05
131072                 69.68
262144                 81.08
524288                141.10
1048576               260.74
2097152               499.08
4194304               944.35
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.85
2                       1.70
4                       3.54
8                       6.97
16                     13.82
32                     27.71
64                     55.63
128                   111.18
256                   221.28
512                   437.93
1024                  874.17
2048                 1723.81
4096                 3231.17
8192                 5793.11
16384                7751.06
32768                9645.13
65536               10865.82
131072               9993.94
262144              10908.60
524288              11240.59
1048576             11692.37
2097152             11944.32
4194304             12041.47
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-7 queue1-dy-hpc6a48xlarge-24
