,event,duration,container,cloud,environment,exp_size,exp_type,experiment
132,pulled,1.17,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
133,pulled,1.266,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
475,pulled,1.26,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
476,pulled,1.22,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
713,pulled,1.223,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
714,pulled,1.204,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
715,pulled,1.231,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
716,pulled,1.189,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
717,pulled,1.213,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
718,pulled,1.193,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
719,pulled,1.238,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
997,pulled,1.228,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
998,pulled,1.211,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
999,pulled,1.272,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1000,pulled,1.195,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1001,pulled,1.214,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1002,pulled,1.18,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1003,pulled,1.219,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1276,pulled,1.26,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1277,pulled,1.22,ghcr.io/converged-computing/metric-minife:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1542,pulled,1.472,ghcr.io/converged-computing/metric-minife:latest,google,gke,size32,gpu,google/gke/gpu/size32
1543,pulled,1.454,ghcr.io/converged-computing/metric-minife:latest,google,gke,size32,gpu,google/gke/gpu/size32
1544,pulled,1.48,ghcr.io/converged-computing/metric-minife:latest,google,gke,size32,gpu,google/gke/gpu/size32
1545,pulled,1.486,ghcr.io/converged-computing/metric-minife:latest,google,gke,size32,gpu,google/gke/gpu/size32
1546,pulled,1.435,ghcr.io/converged-computing/metric-minife:latest,google,gke,size32,gpu,google/gke/gpu/size32
1709,pulled,1.758,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1710,pulled,1.474,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1711,pulled,1.521,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1712,pulled,1.537,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1713,pulled,1.507,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1714,pulled,1.502,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1715,pulled,1.446,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1716,pulled,1.521,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1826,pulled,1.634,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
1827,pulled,1.429,ghcr.io/converged-computing/metric-minife:latest,google,gke,size8,gpu,google/gke/gpu/size8
