Start time: 1724889563
Point-to-point pairwise experiments for nodes cluster-256-hpc-7 cluster-256-hpc-64
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.57
16                      1.57
32                      1.73
64                      1.77
128                     1.82
256                     2.33
512                     2.44
1024                    2.66
2048                    2.73
4096                    3.46
8192                    3.98
16384                   5.30
32768                   6.82
65536                   9.11
131072                 14.04
262144                 17.11
524288                 28.06
1048576                51.01
2097152                92.13
4194304               178.14
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.86
2                       7.93
4                      16.23
8                      32.09
16                     64.99
32                    127.78
64                    245.15
128                   484.13
256                   937.83
512                  1738.94
1024                 3285.20
2048                 5947.69
4096                 8987.99
8192                13518.03
16384               18942.44
32768               21789.50
65536               23374.47
131072              24011.41
262144              24259.91
524288              24528.88
1048576             24610.95
2097152             24651.39
4194304             24671.45
Point-to-point pairwise experiments for nodes cluster-256-hpc-7 cluster-256-hpc-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.72
64                      1.77
128                     1.83
256                     2.34
512                     2.50
1024                    2.61
2048                    2.75
4096                    3.49
8192                    4.00
16384                   5.32
32768                   6.87
65536                   9.18
131072                 14.01
262144                 17.23
524288                 27.84
1048576                50.11
2097152                91.82
4194304               176.75
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.92
2                       7.77
4                      15.80
8                      31.30
16                     63.18
32                    125.35
64                    243.54
128                   492.69
256                   922.55
512                  1781.88
1024                 3305.48
2048                 5950.75
4096                 9196.83
8192                13730.82
16384               19037.66
32768               21534.05
65536               23355.99
131072              24011.06
262144              24352.60
524288              24525.85
1048576             24611.44
2097152             24651.85
4194304             24605.42
Point-to-point pairwise experiments for nodes cluster-256-hpc-7 cluster-256-hpc-57
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.59
2                       1.60
4                       1.59
8                       1.59
16                      1.59
32                      1.76
64                      1.80
128                     1.85
256                     2.36
512                     2.55
1024                    2.59
2048                    2.76
4096                    3.48
8192                    4.02
16384                   5.31
32768                   6.76
65536                   8.79
131072                 13.58
262144                 17.31
524288                 28.33
1048576                51.20
2097152                92.70
4194304               177.81
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.14
4                      15.92
8                      32.53
16                     63.31
32                    129.30
64                    246.65
128                   493.73
256                   947.50
512                  1742.50
1024                 3318.63
2048                 5952.68
4096                 9109.64
8192                13650.36
16384               18960.84
32768               21404.65
65536               23345.12
131072              23887.82
262144              24161.83
524288              24505.41
1048576             24551.84
2097152             24581.64
4194304             24625.39
Point-to-point pairwise experiments for nodes cluster-256-hpc-7 cluster-256-hpc-37
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.58
2                       1.57
4                       1.57
8                       1.57
16                      1.57
32                      1.71
64                      1.78
128                     1.81
256                     2.34
512                     2.45
1024                    2.63
2048                    2.74
4096                    3.48
8192                    4.01
16384                   5.28
32768                   6.94
65536                   9.03
131072                 13.95
262144                 17.25
524288                 27.87
1048576                49.99
2097152                92.55
4194304               177.19
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.08
2                       7.96
4                      15.89
8                      32.64
16                     65.33
32                    128.37
64                    247.08
128                   496.84
256                   939.13
512                  1728.98
1024                 3187.35
2048                 5794.73
4096                 7866.35
8192                12738.91
16384               18977.38
32768               21784.47
65536               23103.87
131072              23913.85
262144              24253.34
524288              24526.53
1048576             24611.38
2097152             24653.12
4194304             24672.75
Point-to-point pairwise experiments for nodes cluster-256-hpc-7 cluster-256-hpc-53
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.57
8                       1.58
16                      1.58
32                      1.74
64                      1.78
128                     1.83
256                     2.33
512                     2.49
1024                    2.57
2048                    2.75
4096                    3.48
8192                    4.01
16384                   5.30
