,experiment,cloud,env,env_type,nodes,application,metric,value
0,google/gke/cpu,google,gke,cpu,64,amg2023,workload_manager_wrapper_seconds,90.52511715888977
1,google/gke/cpu,google,gke,cpu,64,amg2023,fom_overall,1148604000.0
2,google/gke/cpu,google,gke,cpu,64,amg2023,fom_solve,4546804000.0
3,google/gke/cpu,google,gke,cpu,64,amg2023,fom_setup,4743429000.0
4,google/gke/cpu,google,gke,cpu,64,amg2023,workload_manager_wrapper_seconds,90.7352249622345
5,google/gke/cpu,google,gke,cpu,64,amg2023,fom_overall,1151290000.0
6,google/gke/cpu,google,gke,cpu,64,amg2023,fom_solve,4569569000.0
7,google/gke/cpu,google,gke,cpu,64,amg2023,fom_setup,4715345000.0
8,google/gke/cpu,google,gke,cpu,64,amg2023,workload_manager_wrapper_seconds,90.0551209449768
9,google/gke/cpu,google,gke,cpu,64,amg2023,fom_overall,1159428000.0
10,google/gke/cpu,google,gke,cpu,64,amg2023,fom_solve,4604914000.0
11,google/gke/cpu,google,gke,cpu,64,amg2023,fom_setup,4738969000.0
12,google/gke/cpu,google,gke,cpu,64,amg2023,workload_manager_wrapper_seconds,91.45325326919556
13,google/gke/cpu,google,gke,cpu,64,amg2023,fom_overall,1144918000.0
14,google/gke/cpu,google,gke,cpu,64,amg2023,fom_solve,4565078000.0
15,google/gke/cpu,google,gke,cpu,64,amg2023,fom_setup,4624018000.0
16,google/gke/cpu,google,gke,cpu,64,amg2023,workload_manager_wrapper_seconds,90.70145630836487
17,google/gke/cpu,google,gke,cpu,64,amg2023,fom_overall,1147768000.0
18,google/gke/cpu,google,gke,cpu,64,amg2023,fom_solve,4545529000.0
19,google/gke/cpu,google,gke,cpu,64,amg2023,fom_setup,4733354000.0
20,google/gke/cpu,google,gke,cpu,32,amg2023,workload_manager_wrapper_seconds,142.29108333587646
21,google/gke/cpu,google,gke,cpu,32,amg2023,fom_overall,349474800.0
22,google/gke/cpu,google,gke,cpu,32,amg2023,fom_solve,1362400000.0
23,google/gke/cpu,google,gke,cpu,32,amg2023,fom_setup,1516439000.0
24,google/gke/cpu,google,gke,cpu,32,amg2023,workload_manager_wrapper_seconds,140.94730854034424
25,google/gke/cpu,google,gke,cpu,32,amg2023,fom_overall,350625400.0
26,google/gke/cpu,google,gke,cpu,32,amg2023,fom_solve,1358490000.0
27,google/gke/cpu,google,gke,cpu,32,amg2023,fom_setup,1553490000.0
28,google/gke/cpu,google,gke,cpu,32,amg2023,workload_manager_wrapper_seconds,142.12301015853882
29,google/gke/cpu,google,gke,cpu,32,amg2023,fom_overall,349142900.0
30,google/gke/cpu,google,gke,cpu,32,amg2023,fom_solve,1359447000.0
31,google/gke/cpu,google,gke,cpu,32,amg2023,fom_setup,1521197000.0
32,google/gke/cpu,google,gke,cpu,32,amg2023,workload_manager_wrapper_seconds,142.09320425987244
33,google/gke/cpu,google,gke,cpu,32,amg2023,fom_overall,349698100.0
34,google/gke/cpu,google,gke,cpu,32,amg2023,fom_solve,1361604000.0
35,google/gke/cpu,google,gke,cpu,32,amg2023,fom_setup,1523632000.0
36,google/gke/cpu,google,gke,cpu,32,amg2023,workload_manager_wrapper_seconds,140.61799144744873
37,google/gke/cpu,google,gke,cpu,32,amg2023,fom_overall,351295900.0
38,google/gke/cpu,google,gke,cpu,32,amg2023,fom_solve,1360375000.0
