LAMMPS (17 Apr 2024 - Development - a8687b5)
KOKKOS mode with Kokkos version 4.3.1 is enabled (src/KOKKOS/kokkos.cpp:72)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 3.1803 3.1803 3.1803
Created orthogonal box = (0 0 0) to (12.7212 12.7212 12.7212)
  14 by 16 by 16 MPI processor grid
Created 128 atoms
  using lattice units in orthogonal box = (0 0 0) to (12.7212 12.7212 12.7212)
  create_atoms CPU = 0.119 seconds
SNAP Element = W, Radius 0.5, Weight 1
SNAP keyword rcutfac 4.87644
SNAP keyword twojmax 8
SNAP keyword rfac0 0.99363
SNAP keyword rmin0 0
SNAP keyword bzeroflag 1
SNAP keyword quadraticflag 0
Displacing atoms ...
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.87644
  ghost atom cutoff = 4.87644
  binsize = 2.43822, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair zbl, perpetual
      attributes: half, newton on, kokkos_device, cut 4.8
      pair build: half/bin/newton/kk/device
      stencil: half/bin/3d
      bin: kk/device
  (2) pair snap, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 2.568 | 2.668 | 5.31 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   800           -8.9091051      0             -8.8065049      5048.8849    
        50   594.22729     -8.8748538      0             -8.798644       10447.064    
       100   822.00079     -8.7032795      0             -8.5978577      55602.469    
       150   892.87818     -8.3510854      0             -8.2365735      146990.93    
       200   1023.8003     -8.3278028      0             -8.1965001      156936.97    
       250   911.78972     -8.1212314      0             -8.0042941      207564.85    
       300   1052.3044     -7.8802706      0             -7.7453122      274504.41    
       350   1277.8611     -7.7407763      0             -7.5768902      314511.76    
       400   1110.5331     -7.6043051      0             -7.4618789      351953.6     
       450   1035.1387     -7.404096       0             -7.2713392      400364.9     
       500   1263.0886     -7.5569605      0             -7.394969       364260.51    
       550   1014.3886     -7.4580256      0             -7.3279299      392842.6     
       600   1006.1122     -7.4512363      0             -7.3222021      395314.2     
       650   1140.7021     -7.3577111      0             -7.2114157      422348.26    
       700   895.3007      -7.3463372      0             -7.2315146      419615.71    
       750   1092.0856     -7.1938287      0             -7.0537684      462583.38    
       800   1256.8337     -7.0159615      0             -6.8547722      510392.4     
       850   1457.5524     -6.6953032      0             -6.5083717      596356.96    
       900   1306.5463     -6.778589       0             -6.611024       573472.1     
       950   1078.3053     -6.7654188      0             -6.6271258      577871.3     
      1000   1427.5418     -6.5552846      0             -6.3722019      635944       
      1050   1807.4024     -5.891386       0             -5.6595861      811126.55    
      1100   1605.3078     -5.9663141      0             -5.7604329      794515       
      1150   1670.9762     -5.8491795      0             -5.6348763      818368.56    
      1200   1586.9934     -6.0093683      0             -5.8058359      786588.51    
      1250   1378.6745     -5.4900506      0             -5.3132351      918328.77    
      1300   1579.0401     -5.5544682      0             -5.3519558      903116.66    
      1350   1630.2595     -5.3302152      0             -5.121134       959671.58    
      1400   1856.7166     -5.3163449      0             -5.0782205      968659.17    
      1450   1541.4583     -5.1540119      0             -4.9563194      999931.61    
      1500   2113.4011     -4.9651839      0             -4.6941396      1055169.6    
      1550   1973.1597     -4.8777517      0             -4.6246933      1082184.6    
      1600   1555.9486     -4.8721818      0             -4.6726309      1081371.2    
      1650   1981.2365     -4.7667112      0             -4.512617       1114894.3    
      1700   2249.2349     -4.5649012      0             -4.2764362      1166756.9    
      1750   1965.5951     -4.3987666      0             -4.1466784      1201316.1    
      1800   1883.1601     -4.3215658      0             -4.0800499      1223805.4    
      1850   1887.4281     -4.007262       0             -3.7651988      1304471.7    
      1900   2053.1456     -3.7756731      0             -3.5123565      1362739.7    
      1950   1899.8647     -3.6385851      0             -3.3949269      1401340      
      2000   1639.9681     -3.7605725      0             -3.5502461      1378370.7    
      2050   2258.6783     -3.2437347      0             -2.9540586      1492039.2    
      2100   2257.857      -3.3894973      0             -3.0999264      1475447.6    
      2150   2408.8682     -2.979992       0             -2.671054       1579725.6    
      2200   2068.7526     -3.171051       0             -2.9057329      1533677.2    
      2250   2138.3719     -2.7364362      0             -2.4621894      1637716.8    
      2300   2194.1278     -2.8395137      0             -2.5581161      1610018.3    
      2350   2735.6785     -2.8140166      0             -2.463165       1629704.4    
      2400   3083.1106     -3.0155527      0             -2.6201428      1591383.9    
      2450   2213.0831     -2.204003       0             -1.9201745      1776727.1    
      2500   2545.403      -2.7123243      0             -2.3858756      1665906.1    
      2550   2391.1036     -2.1530897      0             -1.84643        1788574.6    
      2600   2800.2107     -2.6655579      0             -2.3064301      1678916.3    
      2650   2404.253      -2.1694483      0             -1.8611022      1792508.1    
      2700   2268.3118     -2.0605726      0             -1.7696609      1828021.9    
      2750   2841.4779     -1.9584859      0             -1.5940655      1857816.3    
      2800   2669.4594     -1.9109731      0             -1.5686141      1865287      
      2850   2802.4495     -1.1068651      0             -0.74745011     2061243.5    
      2900   3395.7253     -1.0479349      0             -0.61243212     2083670.1    
      2950   2861.1925     -0.96754232     0             -0.60059352     2091923.3    
      3000   3282.2118     -0.92297732     0             -0.50203268     2125842.6    
      3050   3885.4431     -0.73583477     0             -0.23752552     2147834.9    
      3100   4166.3375     -0.065956856    0              0.46837718     2326290      
      3150   3727.9206     -0.51165935     0             -0.033552413    2226688.9    
      3200   3461.9342     -0.53452031     0             -0.09052621     2231830.5    
      3250   4131.5399      0.0096221264   0              0.53949336     2365993      
      3300   4202.4877      0.18665918     0              0.7256295      2410682      
      3350   4334.3375      0.79124411     0              1.3471242      2549383.1    
      3400   3942.8812      0.51085597     0              1.0165317      2506784.1    
      3450   3808.5566      1.0175647      0              1.5060132      2624247.1    
      3500   3514.8749      0.74006201     0              1.1908458      2553316.4    
      3550   3254.2015      1.5638955      0              1.9812478      2756686.8    
      3600   3815.9757      1.4232501      0              1.9126501      2720525.4    
      3650   4691.1996      1.2411622      0              1.84281        2693746.6    
      3700   4392.4253      1.2414755      0              1.8048054      2681270.6    
      3750   4585.4627      0.84554213     0              1.4336291      2583306.9    
      3800   4128.5847      0.90242089     0              1.4319131      2598312      
      3850   4040.5836      0.99748623     0              1.5156923      2612263.9    
      3900   3997.6864      1.9031046      0              2.415809       2836856.1    
      3950   4298.5514      2.3318253      0              2.8831158      2950552.5    
      4000   4496.5493      1.5475607      0              2.1242445      2752706.3    
      4050   4227.2466      1.9168941      0              2.4590398      2842933.6    
      4100   4750.8841      2.8057253      0              3.4150276      3064838.8    
      4150   4796.7953      3.3077715      0              3.9229619      3176479.2    
      4200   5031.2311      2.9268344      0              3.5720913      3103985.6    
      4250   4481.9983      3.198539       0              3.7733566      3165522.7    
      4300   4747.5975      3.2411055      0              3.8499863      3165859.6    
      4350   4804.3428      3.8963604      0              4.5125189      3338102.8    
      4400   5589.0239      3.5735359      0              4.2903298      3266380      
      4450   5314.5636      3.1449154      0              3.8265098      3174661.4    
      4500   4740.9167      3.6476811      0              4.255705       3293803.9    
      4550   4321.7465      3.5264427      0              4.080708       3259795.3    
      4600   4971.5926      3.2387182      0              3.8763265      3199448.8    
      4650   4821.6331      4.3808646      0              4.9992405      3480277.3    
      4700   5373.8929      4.0714759      0              4.7606793      3407757.4    
      4750   5023.4493      4.1480079      0              4.7922668      3424046.1    
      4800   4780.0239      4.7412954      0              5.3543349      3565742.3    
      4850   4996.4877      4.6849765      0              5.3257775      3558664.7    
      4900   5016.8867      4.8630159      0              5.5064331      3598921.7    
      4950   5924.562       4.1381177      0              4.8979446      3446868.9    
      5000   5400.7222      4.3627938      0              5.055438       3484568.4    
      5050   4845.6523      4.7212639      0              5.3427203      3576679.6    
      5100   5321.5391      4.8073363      0              5.4898253      3624939.5    
      5150   5022.9702      5.3224204      0              5.9666178      3750819.4    
      5200   6383.0247      5.0325139      0              5.8511387      3677910.2    
      5250   5455.4886      5.0596296      0              5.7592977      3682530.3    
      5300   6538.8957      6.2288988      0              7.0675141      3983569      
      5350   5156.8275      5.9784059      0              6.6397706      3909521.5    
      5400   5763.0712      5.7109559      0              6.4500715      3836550.4    
      5450   5028.6102      5.7770002      0              6.421921       3849433.4    
      5500   5532.8111      6.0422595      0              6.7518441      3904444.9    
      5550   5590.8658      6.6790812      0              7.3961114      4085305.4    
      5600   5756.023       6.4222018      0              7.1604135      4047608.2    
      5650   6471.11        7.0281807      0              7.8581025      4194708.5    
      5700   6466.5655      6.6459317      0              7.4752707      4090386.8    
      5750   6001.2325      7.0148074      0              7.7844673      4178352.9    
      5800   7166.5674      7.0343932      0              7.9535076      4197611.5    
      5850   7316.1164      7.8329336      0              8.7712277      4382385.9    
      5900   6836.5469      7.8630807      0              8.7398699      4385287.4    
      5950   7053.3324      7.3270771      0              8.2316691      4270821.3    
      6000   6904.8346      7.4614391      0              8.3469863      4306329.2    
      6050   7070.1642      8.7622866      0              9.6690372      4629794.6    
      6100   7460.9306      8.3221696      0              9.2790361      4551288.4    
      6150   6393.0706      8.2411333      0              9.0610466      4502264.4    
      6200   6926.3357      8.5761675      0              9.4644721      4625024.3    
      6250   6984.0538      9.519743       0              10.41545       4849191.9    
      6300   6343.5558      8.641054       0              9.4546169      4633939      
      6350   5992.6495      8.5897893      0              9.3583484      4614292.5    
      6400   5381.3105      9.4739678      0              10.164122      4803099.7    
      6450   6948.6565      9.2511402      0              10.142308      4760405.4    
      6500   7688.9872      8.5620843      0              9.5481992      4600634.1    
      6550   6975.7721      9.8735969      0              10.768242      4915584.7    
      6600   6595.7471      9.876706       0              10.722613      4937260.2    
      6650   5906.6884      9.3535274      0              10.111062      4788726.5    
      6700   6612.0725      9.9656621      0              10.813662      4941188.2    
      6750   6066.6133      9.5458752      0              10.32392       4861122.3    
      6800   6361.5307      9.5394371      0              10.355305      4852758.6    
      6850   6537.0315      10.155274      0              10.99365       4971121.2    
      6900   6994.9572      10.240339      0              11.137444      5013886      
      6950   6639.7641      10.521817      0              11.373369      5064852.1    
      7000   5478.4808      9.9151551      0              10.617772      4924782.9    
      7050   7864.2529      11.101898      0              12.110491      5212456.6    
      7100   7644.169       9.9718564      0              10.952223      4950514.9    
      7150   8645.1177      9.5422834      0              10.651022      4839809.4    
      7200   9079.4349      10.945611      0              12.110052      5186551.5    
      7250   7115.2469      11.119757      0              12.03229       5224314.8    
      7300   6440.2867      11.61726       0              12.443228      5331397.5    
      7350   7883.0003      12.262123      0              13.27312       5463073.3    
      7400   7546.2231      11.6021        0              12.569906      5335860.4    
      7450   6901.1311      12.057068      0              12.94214       5440754.3    
      7500   9179.9202      12.35563       0              13.532958      5531536.4    
      7550   7298.465       11.819265      0              12.755296      5380099.8    
      7600   7598.2388      11.74466       0              12.719136      5377927.6    
      7650   6343.5911      11.24683       0              12.060398      5259175.7    
      7700   6542.0667      11.894812      0              12.733834      5410615.8    
      7750   6556.7912      12.385723      0              13.226634      5526661.5    
      7800   6734.448       13.509501      0              14.373196      5822980.5    
      7850   5648.2947      12.329121      0              13.053517      5538365.6    
      7900   6116.3635      13.324888      0              14.109314      5753658.5    
      7950   5495.3147      12.426866      0              13.131641      5566776.8    
      8000   7227.5634      13.143024      0              14.069962      5753387.4    
      8050   6596.0462      14.03335       0              14.879295      5939258.7    
      8100   5964.5489      13.430089      0              14.195044      5797593.4    
      8150   5139.0079      13.57176       0              14.230839      5827330.9    
      8200   5660.6531      13.210268      0              13.936248      5753105.6    
      8250   7076.2974      13.283024      0              14.190561      5786183      
      8300   9015.0339      13.485867      0              14.642047      5837396.1    
      8350   8542.4304      14.564756      0              15.660325      6058575.1    
      8400   8432.7303      13.436408      0              14.517908      5821726.3    
      8450   8474.7797      14.25753       0              15.344423      6031516.6    
      8500   7541.6065      14.342563      0              15.309776      6068881      
      8550   8977.8657      14.07249       0              15.223904      5998012.1    
      8600   6981.4262      13.634073      0              14.529443      5895456.2    
      8650   6622.9176      13.918065      0              14.767456      5936062.8    
      8700   5273.6758      14.155351      0              14.831701      5982631      
      8750   5394.1356      13.901551      0              14.59335       5933937.1    
      8800   8339.4793      14.739368      0              15.808908      6194117.3    
