MPI Initialized         : MPI_THREAD_FUNNELED
Copyright (c) 2016
Lawrence Livermore National Security, LLC
All Rights Reserved
Quicksilver Version     : 2023-Aug-18-15:12:10
Quicksilver Git Hash    : eb68bb8d6fc53de1f65011d4e79ff2ed0dd60f3b
MPI Version             : 3.1
Number of MPI ranks     : 512
Number of OpenMP Threads: 7
Number of OpenMP CPUs   : 56

Simulation:
   dt: 2e-09
   fMax: 0.1
   inputFile: /opt/quicksilver/Examples/CORAL2_Benchmark/Problem1/Coral2_P1.inp
   energySpectrum: 
   boundaryCondition: reflect
   loadBalance: 0
   cycleTimers: 0
   debugThreads: 0
   lx: 128
   ly: 64
   lz: 64
   nParticles: 83886080
   batchSize: 0
   nBatches: 10
   nSteps: 100
   nx: 128
   ny: 64
   nz: 64
   seed: 1029384756
   xDom: 8
   yDom: 8
   zDom: 8
   eMax: 20
   eMin: 1e-09
   nGroups: 230
   lowWeightCutoff: 0.001
   bTally: 1
   fTally: 1
   cTally: 1
   coralBenchmark: 1
   crossSectionsOut:

Geometry:
   material: sourceMaterial
   shape: brick
   xMax: 10000
   xMin: 0
   yMax: 10000
   yMin: 0
   zMax: 10000
   zMin: 0

Material:
   name: sourceMaterial
   mass: 12.011
   nIsotopes: 20
   nReactions: 9
   sourceRate: 1e+10
   totalCrossSection: 1.5
   absorptionCrossSection: flat
   fissionCrossSection: flat
   scatteringCrossSection: flat
   absorptionCrossSectionRatio: 0.04
   fissionCrossSectionRatio: 0.05
   scatteringCrossSectionRatio: 1

CrossSection:
   name: flat
   A: 0
   B: 0
   C: 0
   D: 0
   E: 1
   nuBar: 1.6
Building partition 0
done building
Building MC_Domain 0
Finished initMesh
cycle           start       source           rr        split       absorb      scatter      fission      produce      collisn       escape       census      num_seg   scalar_flux      cycleInit  cycleTracking  cycleFinalize
       0            0      8388608            0     75497472     17076767    426886087     21339322     34143111    465302176            0     79613102   1010299473  3.877858e+07   1.247500e-02   7.830670e-01   1.067000e-03
       1     79613102      8388608      4113639            0     29923933    748028892     37402371     59846956    815355196            0     76408723   1707102678  1.061596e+08   1.629200e-02   1.274257e+00   1.165000e-03
       2     76408723      8388608       910628            0     28574787    714582589     35726930     57162380    778884306            0     76747366   1634525750  1.641724e+08   1.406000e-02   1.224345e+00   1.061000e-03
       3     76747366      8388608      1249410            0     28110475    702449172     35125735     56201737    765685382            0     76852091   1608256401  2.158936e+08   1.530600e-02   1.210692e+00   1.252000e-03
       4     76852091      8388608      1354347            0     27852619    696494668     34836265     55734932    759183552            0     76932400   1595263586  2.625594e+08   1.407400e-02   1.207339e+00   1.211000e-03
       5     76932400      8388608      1435251            0     27714071    692948929     34640893     55424318    755303893            0     76955111   1587552178  3.048535e+08   1.454600e-02   1.198459e+00   1.533000e-03
       6     76955111      8388608      1458992            0     27623684    690669112     34534288     55260366    752827084            0     76987121   1582665080  3.433085e+08   1.444200e-02   1.195096e+00   1.469000e-03
       7     76987121      8388608      1489621            0     27566021    689109074     34444705     55116005    751119800            0     76991387   1579240235  3.783655e+08   1.532500e-02   1.188696e+00   1.391000e-03
       8     76991387      8388608      1494426            0     27528246    688031327     34406667     55052301    749966240            0     77002957   1576950875  4.103617e+08   1.532900e-02   1.201581e+00   1.440000e-03
       9     77002957      8388608      1506903            0     27485743    687122739     34358614     54976835    748967096            0     77017140   1574967495  4.395726e+08   1.449700e-02   1.180474e+00   1.374000e-03
      10     77017140      8388608      1518502            0     27458807    686469278     34336587     54938787    748264672            0     77030639   1573585866  4.663061e+08   1.536800e-02   1.174591e+00   1.368000e-03
