Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            2,      1.250,    4.66,   35.97,  28.78,      0.625,   11.99,   13.99,  22.39,      2.500,    4.79,   69.99,  27.99,     1.250,    4.71,   35.63,  28.51
            3,      1.750,    4.79,   49.03,  28.02,      0.875,   11.97,   19.62,  22.42,      3.500,    4.85,   96.86,  27.68,     1.750,    4.75,   49.41,  28.24
            4,      2.250,    4.86,   62.14,  27.62,      1.125,   12.04,   25.08,  22.30,      4.500,    4.93,  122.40,  27.20,     2.250,    4.87,   62.01,  27.56
            5,      2.750,    4.89,   75.45,  27.44,      1.375,   11.98,   30.82,  22.41,      5.500,    4.90,  150.59,  27.38,     2.750,    5.20,   71.04,  25.83
            6,      3.250,    4.93,   88.42,  27.20,      1.625,   12.00,   36.35,  22.37,      6.500,    5.01,  174.16,  26.79,     3.250,    5.26,   83.01,  25.54
            7,      3.750,    4.87,  103.37,  27.57,      1.875,   11.98,   42.01,  22.40,      7.500,    4.99,  201.86,  26.91,     3.750,    5.22,   96.36,  25.70
            8,      4.250,    4.90,  116.34,  27.38,      2.125,   12.00,   47.53,  22.37,      8.500,    4.95,  230.33,  27.10,     4.250,    5.31,  107.33,  25.25
            9,      4.750,    4.83,  131.91,  27.77,      2.375,   12.05,   52.92,  22.28,      9.500,    5.05,  252.37,  26.57,     4.750,    5.34,  119.38,  25.13
           10,      5.250,    2.04,  344.93,  65.70,      2.625,   12.02,   58.61,  22.33,     10.500,    4.84,  291.27,  27.74,     5.250,    5.20,  135.62,  25.83
           11,      5.750,    2.19,  352.34,  61.28,      2.875,   12.05,   64.05,  22.28,     11.500,    4.82,  320.23,  27.85,     5.750,    5.32,  144.96,  25.21
           12,      6.250,    2.40,  349.34,  55.89,      3.125,   12.11,   69.29,  22.17,     12.500,    4.65,  361.12,  28.89,     6.250,    5.40,  155.48,  24.88
           13,      6.750,    2.58,  350.81,  51.97,      3.375,   12.04,   75.22,  22.29,     13.500,    4.43,  408.65,  30.27,     6.750,    5.46,  165.96,  24.59
           14,      7.250,    3.49,  279.16,  38.51,      3.625,   12.16,   80.01,  22.07,     14.500,    4.51,  431.45,  29.76,     7.250,    5.37,  181.18,  24.99
           15,      7.750,    3.25,  319.94,  41.28,      3.875,   12.07,   86.17,  22.24,     15.500,    2.89,  718.65,  46.36,     7.750,    5.40,  192.50,  24.84
           16,      8.250,    3.10,  356.76,  43.24,      4.125,   12.09,   91.59,  22.20,     16.500,    3.96,  559.41,  33.90,     8.250,    5.57,  198.78,  24.09
            0,      0.250,    5.35,    6.27,  25.09,      0.125,   11.97,    2.80,  22.43,      0.500,    5.33,   12.59,  25.18,     0.250,    5.37,    6.25,  25.00
            1,      0.750,    5.35,   18.81,  25.08,      0.375,   12.03,    8.37,  22.32,      1.500,    5.37,   37.49,  24.99,     0.750,    5.34,   18.85,  25.14
            2,      1.250,    5.29,   31.72,  25.37,      0.625,   12.01,   13.97,  22.34,      2.500,    5.41,   61.99,  24.80,     1.250,    5.33,   31.48,  25.18
            3,      1.750,    5.39,   43.55,  24.89,      0.875,   12.01,   19.56,  22.35,      3.500,    5.44,   86.43,  24.69,     1.750,    5.40,   43.47,  24.84
            4,      2.250,    5.44,   55.48,  24.66,      1.125,   12.04,   25.08,  22.29,      4.500,    5.44,  111.06,  24.68,     2.250,    5.44,   55.55,  24.69
            5,      2.750,    5.53,   66.76,  24.28,      1.375,   12.01,   30.72,  22.34,      5.500,    5.48,  134.82,  24.51,     2.750,    5.24,   70.48,  25.63
            6,      3.250,    5.46,   79.88,  24.58,      1.625,   12.01,   36.32,  22.35,      6.500,    5.52,  158.06,  24.32,     3.250,    5.41,   80.69,  24.83
            7,      3.750,    5.52,   91.24,  24.33,      1.875,   11.98,   42.02,  22.41,      7.500,    5.60,  179.88,  23.98,     3.750,    5.39,   93.32,  24.89
            8,      4.250,    5.48,  104.03,  24.48,      2.125,   11.99,   47.58,  22.39,      8.500,    5.58,  204.35,  24.04,     4.250,    5.50,  103.66,  24.39
            9,      4.750,    5.48,  116.39,  24.50,      2.375,   12.01,   53.09,  22.35,      9.500,    5.63,  226.40,  23.83,     4.750,    5.50,  115.83,  24.39
           10,      5.250,    5.37,  131.17,  24.99,      2.625,   12.02,   58.61,  22.33,     10.500,    5.62,  250.78,  23.88,     5.250,    5.42,  129.96,  24.75
           11,      5.750,    4.95,  155.78,  27.09,      2.875,   12.07,   63.94,  22.24,     11.500,    5.68,  271.79,  23.63,     5.750,    5.41,  142.58,  24.80
           12,      6.250,    4.17,  201.33,  32.21,      3.125,   12.10,   69.30,  22.18,     12.500,    5.57,  301.23,  24.10,     6.250,    5.67,  147.98,  23.68
           13,      6.750,    2.59,  350.39,  51.91,      3.375,   12.09,   74.93,  22.20,     13.500,    5.59,  323.90,  23.99,     6.750,    5.64,  160.69,  23.81
           14,      7.250,    4.68,  207.94,  28.68,      3.625,   12.09,   80.52,  22.21,     14.500,    5.53,  351.76,  24.26,     7.250,    5.67,  171.72,  23.68
           15,      7.750,    2.88,  360.98,  46.58,      3.875,   12.10,   85.99,  22.19,     15.500,    5.41,  384.56,  24.81,     7.750,    5.71,  182.21,  23.51
           16,      8.250,    3.05,  362.62,  43.95,      4.125,   12.16,   91.04,  22.07,     16.500,    3.13,  707.69,  42.89,     8.250,    5.89,  187.90,  22.78
            0,      0.250,    4.95,    6.78,  27.12,      0.125,   11.99,    2.80,  22.38,      0.500,    4.97,   13.49,  26.99,     0.250,    4.93,    6.80,  27.21
            1,      0.750,    4.97,   20.27,  27.03,      0.375,   12.01,    8.38,  22.35,      1.500,    5.02,   40.10,  26.73,     0.750,    4.94,   20.39,  27.19
            2,      1.250,    5.06,   33.17,  26.54,      0.625,   12.01,   13.97,  22.36,      2.500,    5.01,   66.97,  26.79,     1.250,    4.94,   33.95,  27.16
            3,      1.750,    5.05,   46.54,  26.59,      0.875,   11.98,   19.61,  22.41,      3.500,    5.09,   92.34,  26.38,     1.750,    5.04,   46.62,  26.64
            4,      2.250,    5.13,   58.86,  26.16,      1.125,   12.00,   25.16,  22.37,      4.500,    5.12,  117.89,  26.20,     2.250,    5.12,   58.98,  26.21
            5,      2.750,    5.16,   71.56,  26.02,      1.375,   11.99,   30.79,  22.39,      5.500,    5.18,  142.64,  25.93,     2.750,    5.25,   70.30,  25.57
            6,      3.250,    5.22,   83.56,  25.71,      1.625,   12.00,   36.36,  22.38,      6.500,    5.26,  165.85,  25.52,     3.250,    5.27,   82.83,  25.49
            7,      3.750,    5.16,   97.56,  26.02,      1.875,   11.97,   42.04,  22.42,      7.500,    5.19,  193.93,  25.86,     3.750,    5.30,   94.96,  25.32
            8,      4.250,    5.21,  109.57,  25.78,      2.125,   12.00,   47.55,  22.38,      8.500,    5.21,  218.84,  25.75,     4.250,    5.39,  105.76,  24.89
            9,      4.750,    5.10,  125.07,  26.33,      2.375,   12.05,   52.89,  22.27,      9.500,    5.29,  241.03,  25.37,     4.750,    5.28,  120.75,  25.42
           10,      5.250,    5.16,  136.59,  26.02,      2.625,   12.02,   58.61,  22.33,     10.500,    5.27,  267.29,  25.46,     5.250,    5.27,  133.67,  25.46
           11,      5.750,    5.02,  153.62,  26.72,      2.875,   12.10,   63.79,  22.19,     11.500,    5.23,  295.03,  25.66,     5.750,    5.31,  145.24,  25.26
           12,      6.250,    5.00,  167.77,  26.84,      3.125,   12.06,   69.53,  22.25,     12.500,    5.16,  325.01,  26.00,     6.250,    5.44,  154.19,  24.67
            0,      0.250,    5.14,    6.53,  26.12,      0.125,   12.01,    2.79,  22.35,      0.500,    5.23,   12.84,  25.68,     0.250,    5.22,    6.43,  25.74
           13,      6.750,    4.94,  183.29,  27.15,      3.375,   12.08,   74.99,  22.22,     13.500,    5.14,  352.77,  26.13,     6.750,    5.49,  165.09,  24.46
            1,      0.750,    5.22,   19.27,  25.69,      0.375,   12.00,    8.39,  22.37,      1.500,    5.32,   37.81,  25.21,     0.750,    5.24,   19.20,  25.61
           14,      7.250,    2.72,  357.92,  49.37,      3.625,   12.11,   80.37,  22.17,     14.500,    5.05,  385.66,  26.60,     7.250,    5.44,  178.82,  24.67
            2,      1.250,    5.13,   32.70,  26.16,      0.625,   12.02,   13.96,  22.33,      2.500,    5.29,   63.47,  25.39,     1.250,    5.21,   32.18,  25.75
           15,      7.750,    4.59,  226.54,  29.23,      3.875,   12.12,   85.80,  22.14,     15.500,    5.06,  410.76,  26.50,     7.750,    5.47,  190.30,  24.55
            3,      1.750,    5.28,   44.46,  25.41,      0.875,   12.00,   19.58,  22.38,      3.500,    5.32,   88.24,  25.21,     1.750,    5.25,   44.72,  25.56
           16,      8.250,    3.05,  362.62,  43.95,      4.125,   12.09,   91.58,  22.20,     16.500,    4.97,  445.55,  27.00,     8.250,    5.60,  197.69,  23.96
            4,      2.250,    5.29,   57.09,  25.37,      1.125,   12.03,   25.11,  22.32,      4.500,    5.34,  113.01,  25.11,     2.250,    5.35,   56.44,  25.09
            5,      2.750,    5.37,   68.67,  24.97,      1.375,   11.97,   30.82,  22.42,      5.500,    5.36,  137.84,  25.06,     2.750,    5.78,   63.81,  23.20
            6,      3.250,    5.39,   80.86,  24.88,      1.625,   12.00,   36.35,  22.37,      6.500,    5.39,  161.82,  24.89,     3.250,    5.82,   75.01,  23.08
            7,      3.750,    5.41,   93.00,  24.80,      1.875,   12.05,   41.76,  22.27,      7.500,    5.39,  186.82,  24.91,     3.750,    5.84,   86.22,  22.99
            8,      4.250,    5.38,  105.98,  24.94,      2.125,   11.99,   47.59,  22.40,      8.500,    5.43,  210.01,  24.71,     4.250,    5.84,   97.66,  22.98
            9,      4.750,    5.35,  119.20,  25.10,      2.375,   12.06,   52.87,  22.26,      9.500,    5.45,  233.84,  24.61,     4.750,    5.86,  108.73,  22.89
           10,      5.250,    5.36,  131.52,  25.05,      2.625,   12.06,   58.43,  22.26,     10.500,    5.50,  256.43,  24.42,     5.250,    5.83,  120.96,  23.04
           11,      5.750,    5.29,  145.89,  25.37,      2.875,   12.08,   63.87,  22.22,     11.500,    5.52,  279.55,  24.31,     5.750,    5.86,  131.74,  22.91
           12,      6.250,    5.21,  161.01,  25.76,      3.125,   12.09,   69.39,  22.21,     12.500,    5.47,  306.93,  24.55,     6.250,    5.92,  141.78,  22.68
           13,      6.750,    5.09,  177.84,  26.35,      3.375,   12.06,   75.09,  22.25,     13.500,    5.45,  332.42,  24.62,     6.750,    5.94,  152.59,  22.61
           14,      7.250,    4.71,  206.45,  28.48,      3.625,   12.09,   80.48,  22.20,     14.500,    5.39,  361.05,  24.90,     7.250,    5.92,  164.29,  22.66
           15,      7.750,    2.98,  349.31,  45.07,      3.875,   12.18,   85.43,  22.05,     15.500,    5.25,  396.57,  25.59,     7.750,    5.95,  174.93,  22.57
           16,      8.250,    3.15,  350.97,  42.54,      4.125,   12.20,   90.73,  22.00,     16.500,    5.10,  434.01,  26.30,     8.250,    6.02,  183.81,  22.28
            0,      0.250,    5.35,    6.27,  25.08,      0.125,   11.98,    2.80,  22.42,      0.500,    5.36,   12.53,  25.05,     0.250,    5.34,    6.29,  25.15
            1,      0.750,    5.35,   18.82,  25.10,      0.375,   12.03,    8.36,  22.31,      1.500,    5.35,   37.62,  25.08,     0.750,    5.34,   18.85,  25.13
            2,      1.250,    5.31,   31.57,  25.25,      0.625,   12.03,   13.95,  22.31,      2.500,    5.35,   62.74,  25.10,     1.250,    5.30,   31.68,  25.34
            3,      1.750,    5.44,   43.16,  24.66,      0.875,   12.02,   19.54,  22.33,      3.500,    5.42,   86.62,  24.75,     1.750,    5.41,   43.39,  24.80
            4,      2.250,    5.43,   55.60,  24.71,      1.125,   12.01,   25.15,  22.36,      4.500,    5.46,  110.58,  24.57,     2.250,    5.43,   55.64,  24.73
            5,      2.750,    5.50,   67.06,  24.39,      1.375,   12.00,   30.77,  22.38,      5.500,    5.48,  134.67,  24.49,     2.750,    5.57,   66.25,  24.09
            6,      3.250,    5.46,   79.85,  24.57,      1.625,   11.97,   36.44,  22.42,      6.500,    5.47,  159.57,  24.55,     3.250,    5.36,   81.37,  25.04
            7,      3.750,    5.53,   91.07,  24.29,      1.875,   12.03,   41.83,  22.31,      7.500,    5.61,  179.52,  23.94,     3.750,    5.35,   94.00,  25.07
            8,      4.250,    5.52,  103.35,  24.32,      2.125,   12.03,   47.42,  22.32,      8.500,    5.59,  204.24,  24.03,     4.250,    5.43,  105.10,  24.73
            9,      4.750,    5.41,  117.89,  24.82,      2.375,   12.03,   52.98,  22.31,      9.500,    5.65,  225.74,  23.76,     4.750,    5.61,  113.74,  23.94
           10,      5.250,    5.07,  138.93,  26.46,      2.625,   12.10,   58.24,  22.19,     10.500,    5.60,  251.83,  23.98,     5.250,    5.59,  126.05,  24.01
           11,      5.750,    5.15,  149.86,  26.06,      2.875,   12.04,   64.09,  22.29,     11.500,    5.69,  271.15,  23.58,     5.750,    5.53,  139.44,  24.25
           12,      6.250,    2.40,  349.04,  55.85,      3.125,   12.09,   69.38,  22.20,     12.500,    5.62,  298.71,  23.90,     6.250,    5.82,  144.10,  23.06
           13,      6.750,    2.58,  351.78,  52.12,      3.375,   12.03,   75.28,  22.31,     13.500,    5.57,  325.27,  24.09,     6.750,    5.75,  157.59,  23.35
           14,      7.250,    5.12,  189.94,  26.20,      3.625,   12.14,   80.16,  22.11,     14.500,    5.69,  341.82,  23.57,     7.250,    5.70,  170.79,  23.56
           15,      7.750,    2.87,  362.27,  46.74,      3.875,   12.15,   85.61,  22.09,     15.500,    5.48,  379.60,  24.49,     7.750,    5.79,  179.63,  23.18
           16,      8.250,    3.10,  357.59,  43.34,      4.125,   12.15,   91.14,  22.10,     16.500,    5.38,  411.47,  24.94,     8.250,    5.95,  186.21,  22.57
            0,      0.250,    5.14,    6.53,  26.14,      0.125,   12.00,    2.80,  22.36,      0.500,    5.21,   12.89,  25.78,     0.250,    5.11,    6.56,  26.26
            1,      0.750,    5.25,   19.18,  25.57,      0.375,   12.01,    8.38,  22.36,      1.500,    5.32,   37.86,  25.24,     0.750,    5.28,   19.06,  25.42
            2,      1.250,    5.16,   32.53,  26.03,      0.625,   12.02,   13.95,  22.33,      2.500,    5.22,   64.25,  25.70,     1.250,    5.17,   32.48,  25.98
            3,      1.750,    5.29,   44.39,  25.37,      0.875,   12.01,   19.56,  22.36,      3.500,    5.31,   88.49,  25.28,     1.750,    5.24,   44.85,  25.63
            4,      2.250,    5.31,   56.82,  25.25,      1.125,   12.02,   25.12,  22.33,      4.500,    5.36,  112.67,  25.04,     2.250,    5.28,   57.22,  25.43
            5,      2.750,    5.42,   68.06,  24.75,      1.375,   11.99,   30.79,  22.39,      5.500,    5.38,  137.24,  24.95,     2.750,    5.79,   63.80,  23.20
            6,      3.250,    5.36,   81.43,  25.06,      1.625,   11.97,   36.46,  22.43,      6.500,    5.37,  162.56,  25.01,     3.250,    5.82,   74.94,  23.06
            7,      3.750,    5.39,   93.43,  24.91,      1.875,   11.96,   42.09,  22.45,      7.500,    5.44,  185.20,  24.69,     3.750,    5.79,   86.86,  23.16
            8,      4.250,    5.40,  105.56,  24.84,      2.125,   12.03,   47.41,  22.31,      8.500,    5.44,  209.58,  24.66,     4.250,    5.84,   97.61,  22.97
            9,      4.750,    5.35,  119.09,  25.07,      2.375,   12.01,   53.07,  22.35,      9.500,    5.42,  235.16,  24.75,     4.750,    5.84,  109.17,  22.98
           10,      5.250,    5.40,  130.38,  24.83,      2.625,   12.04,   58.52,  22.29,     10.500,    5.52,  255.38,  24.32,     5.250,    5.89,  119.67,  22.80
           11,      5.750,    5.33,  144.71,  25.17,      2.875,   12.05,   64.04,  22.27,     11.500,    5.42,  284.72,  24.76,     5.750,    5.85,  131.87,  22.93
           12,      6.250,    5.22,  160.79,  25.73,      3.125,   12.10,   69.32,  22.18,     12.500,    5.49,  305.39,  24.43,     6.250,    5.90,  142.12,  22.74
           13,      6.750,    5.05,  179.50,  26.59,      3.375,   12.09,   74.93,  22.20,     13.500,    5.43,  333.67,  24.72,     6.750,    5.92,  153.07,  22.68
           14,      7.250,    4.87,  199.68,  27.54,      3.625,   12.06,   80.65,  22.25,     14.500,    5.38,  361.73,  24.95,     7.250,    5.92,  164.41,  22.68
           15,      7.750,    3.24,  320.75,  41.39,      3.875,   12.23,   85.06,  21.95,     15.500,    5.36,  387.94,  25.03,     7.750,    5.96,  174.54,  22.52
           16,      8.250,    3.14,  352.80,  42.76,      4.125,   12.11,   91.45,  22.17,     16.500,    3.12,  708.85,  42.96,     8.250,    6.02,  183.90,  22.29
            0,      0.250,    4.93,    6.81,  27.23,      0.125,   12.03,    2.79,  22.31,      0.500,    4.96,   13.53,  27.06,     0.250,    4.92,    6.82,  27.27
            1,      0.750,    4.98,   20.22,  26.96,      0.375,   12.04,    8.36,  22.30,      1.500,    5.00,   40.27,  26.85,     0.750,    4.94,   20.40,  27.19
            2,      1.250,    4.98,   33.71,  26.97,      0.625,   12.02,   13.96,  22.34,      2.500,    4.98,   67.40,  26.96,     1.250,    4.89,   34.29,  27.43
            3,      1.750,    5.06,   46.40,  26.52,      0.875,   12.01,   19.55,  22.35,      3.500,    5.08,   92.40,  26.40,     1.750,    5.00,   46.94,  26.82
            4,      2.250,    5.14,   58.79,  26.13,      1.125,   12.02,   25.13,  22.33,      4.500,    5.15,  117.38,  26.08,     2.250,    5.15,   58.60,  26.04
            5,      2.750,    5.11,   72.23,  26.27,      1.375,   11.98,   30.82,  22.41,      5.500,    5.17,  142.86,  25.98,     2.750,    5.26,   70.19,  25.53
            6,      3.250,    5.14,   84.79,  26.09,      1.625,   12.02,   36.29,  22.33,      6.500,    5.22,  167.25,  25.73,     3.250,    5.30,   82.32,  25.33
            7,      3.750,    5.23,   96.26,  25.67,      1.875,   11.98,   42.01,  22.41,      7.500,    5.20,  193.59,  25.81,     3.750,    5.20,   96.77,  25.81
            8,      4.250,    5.18,  110.09,  25.90,      2.125,   12.01,   47.49,  22.35,      8.500,    5.25,  217.30,  25.57,     4.250,    5.33,  107.00,  25.18
            9,      4.750,    5.13,  124.34,  26.18,      2.375,   12.03,   53.01,  22.32,      9.500,    5.26,  242.40,  25.52,     4.750,    5.29,  120.47,  25.36
           10,      5.250,    5.13,  137.41,  26.17,      2.625,   12.03,   58.56,  22.31,     10.500,    5.20,  271.13,  25.82,     5.250,    5.35,  131.75,  25.10
           11,      5.750,    5.05,  152.75,  26.57,      2.875,   12.04,   64.10,  22.29,     11.500,    5.18,  298.01,  25.91,     5.750,    5.35,  144.19,  25.08
           12,      6.250,    5.07,  165.29,  26.45,      3.125,   12.01,   69.87,  22.36,     12.500,    5.10,  329.00,  26.32,     6.250,    5.43,  154.36,  24.70
           13,      6.750,    4.90,  184.74,  27.37,      3.375,   12.08,   75.01,  22.23,     13.500,    5.14,  352.62,  26.12,     6.750,    5.50,  164.66,  24.39
