Start time: 1725125241
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.73,    4.89,  19.54,      0.125,   13.66,    2.46,  19.66,     0.250,   11.41,    5.88,  23.53
            1,      0.750,   15.15,   13.29,  17.72,      0.375,   15.09,    6.67,  17.79,     0.750,   14.29,   14.09,  18.78
            2,      1.250,   15.35,   21.87,  17.49,      0.625,   15.33,   10.95,  17.51,     1.250,   14.58,   23.01,  18.41
            3,      1.750,   15.68,   29.95,  17.12,      0.875,   15.63,   15.02,  17.17,     1.750,   14.76,   31.84,  18.19
            4,      2.250,   15.95,   37.86,  16.83,      1.125,   15.87,   19.03,  16.91,     2.250,   15.83,   38.16,  16.96
            6,      3.250,   17.14,   50.91,  15.66,      1.625,   17.12,   25.48,  15.68,     3.250,   16.19,   53.90,  16.58
            8,      4.250,   17.72,   64.37,  15.15,      2.125,   17.68,   32.25,  15.18,     4.250,   16.63,   68.61,  16.14
           12,      6.250,   19.42,   86.41,  13.83,      3.125,   19.40,   43.23,  13.83,     6.250,   20.70,   81.05,  12.97
           16,      8.250,   21.62,  102.45,  12.42,      4.125,   21.67,   51.10,  12.39,     8.250,   26.02,   85.11,  10.32
           20,     10.250,   26.40,  104.21,  10.17,      5.125,   26.48,   51.95,  10.14,    10.250,   32.00,   85.98,   8.39
           24,     12.250,   32.95,   99.79,   8.15,      6.125,   32.92,   49.94,   8.15,    12.250,   38.12,   86.26,   7.04
           28,     14.250,   35.77,  106.93,   7.50,      7.125,   35.83,   53.38,   7.49,    14.250,   44.71,   85.55,   6.00
           32,     16.250,   40.36,  108.08,   6.65,      8.125,   40.66,   53.64,   6.60,    16.250,   49.76,   87.66,   5.39
           40,     20.250,   49.86,  109.01,   5.38,     10.125,   49.54,   54.86,   5.42,    20.250,   62.31,   87.24,   4.31
           48,     24.250,   59.87,  108.73,   4.48,     12.125,   59.98,   54.26,   4.48,    24.250,   74.48,   87.40,   3.60
           56,     28.250,   70.53,  107.52,   3.81,     14.125,   70.53,   53.76,   3.81,    28.250,   87.50,   86.66,   3.07
           64,     32.250,   81.25,  106.55,   3.30,     16.125,   81.39,   53.18,   3.30,    32.250,  100.49,   86.15,   2.67
           80,     40.250,  100.28,  107.74,   2.68,     20.125,   99.85,   54.11,   2.69,    40.250,  126.83,   85.19,   2.12
          104,     52.250,  130.69,  107.32,   2.05,     26.125,  131.91,   53.16,   2.03,    52.250,  165.12,   84.94,   1.63
          120,     60.250,  152.97,  105.73,   1.75,     30.125,  155.26,   52.08,   1.73,    60.250,  191.34,   84.52,   1.40
          128,     64.250,  165.57,  104.17,   1.62,     32.125,  164.80,   52.33,   1.63,    64.250,  204.27,   84.43,   1.31
          160,     80.250,  201.95,  106.67,   1.33,     40.125,  202.16,   53.28,   1.33,    80.250,  259.75,   82.93,   1.03
          192,     96.250,  249.83,  103.42,   1.07,     48.125,  250.52,   51.57,   1.07,    96.250,  312.42,   82.70,   0.86
          256,    128.250,  328.92,  104.67,   0.82,     64.125,  331.62,   51.91,   0.81,   128.250,  417.13,   82.53,   0.64
          320,    160.250,  415.95,  103.42,   0.65,     80.125,  415.63,   51.75,   0.65,   160.250,  517.27,   83.16,   0.52
          512,    256.250,  680.85,  101.03,   0.39,    128.125,  677.88,   50.74,   0.40,   256.250,  827.69,   83.11,   0.32
------------------------------------------------------------------------------------------------------------------------------
End time: 1725125523
