Start time: 1725125240
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.54,    4.96,  19.83,      0.125,   13.50,    2.49,  19.89,     0.250,   11.22,    5.98,  23.93
            1,      0.750,   14.90,   13.52,  18.02,      0.375,   14.88,    6.77,  18.04,     0.750,   14.06,   14.32,  19.09
            2,      1.250,   15.39,   21.81,  17.45,      0.625,   15.40,   10.89,  17.43,     1.250,   14.33,   23.41,  18.73
            3,      1.750,   15.77,   29.79,  17.02,      0.875,   15.72,   14.94,  17.07,     1.750,   14.74,   31.86,  18.21
            4,      2.250,   15.80,   38.23,  16.99,      1.125,   15.75,   19.17,  17.04,     2.250,   15.61,   38.68,  17.19
            6,      3.250,   16.81,   51.90,  15.97,      1.625,   16.83,   25.92,  15.95,     3.250,   15.93,   54.75,  16.85
            8,      4.250,   17.45,   65.36,  15.38,      2.125,   17.45,   32.69,  15.39,     4.250,   16.37,   69.70,  16.40
           12,      6.250,   19.14,   87.66,  14.03,      3.125,   19.09,   43.94,  14.06,     6.250,   20.40,   82.24,  13.16
           16,      8.250,   21.33,  103.81,  12.58,      4.125,   21.26,   52.09,  12.63,     8.250,   25.48,   86.91,  10.54
           20,     10.250,   25.88,  106.31,  10.37,      5.125,   25.79,   53.35,  10.41,    10.250,   31.35,   87.76,   8.56
           24,     12.250,   32.26,  101.92,   8.32,      6.125,   32.19,   51.08,   8.34,    12.250,   37.31,   88.13,   7.19
           28,     14.250,   35.17,  108.78,   7.63,      7.125,   34.96,   54.71,   7.68,    14.250,   43.49,   87.95,   6.17
           32,     16.250,   39.59,  110.18,   6.78,      8.125,   39.52,   55.18,   6.79,    16.250,   48.62,   89.72,   5.52
           40,     20.250,   48.90,  111.16,   5.49,     10.125,   48.75,   55.76,   5.51,    20.250,   60.83,   89.37,   4.41
           48,     24.250,   58.71,  110.88,   4.57,     12.125,   58.69,   55.46,   4.57,    24.250,   73.14,   89.00,   3.67
           56,     28.250,   68.84,  110.15,   3.90,     14.125,   69.01,   54.94,   3.89,    28.250,   85.56,   88.63,   3.14
           64,     32.250,   79.34,  109.11,   3.38,     16.125,   79.46,   54.48,   3.38,    32.250,   98.32,   88.05,   2.73
           80,     40.250,   98.00,  110.25,   2.74,     20.125,   97.77,   55.25,   2.75,    40.250,  123.86,   87.23,   2.17
          104,     52.250,  128.76,  108.93,   2.08,     26.125,  129.02,   54.36,   2.08,    52.250,  161.71,   86.74,   1.66
          120,     60.250,  150.01,  107.82,   1.79,     30.125,  151.68,   53.31,   1.77,    60.250,  186.85,   86.56,   1.44
          128,     64.250,  162.56,  106.10,   1.65,     32.125,  162.13,   53.19,   1.66,    64.250,  199.55,   86.43,   1.35
          160,     80.250,  197.62,  109.01,   1.36,     40.125,  197.57,   54.52,   1.36,    80.250,  254.72,   84.57,   1.05
          192,     96.250,  244.89,  105.50,   1.10,     48.125,  244.38,   52.86,   1.10,    96.250,  305.34,   84.62,   0.88
          256,    128.250,  323.20,  106.52,   0.83,     64.125,  323.58,   53.20,   0.83,   128.250,  406.60,   84.67,   0.66
          320,    160.250,  405.10,  106.19,   0.66,     80.125,  402.42,   53.45,   0.67,   160.250,  508.26,   84.63,   0.53
          512,    256.250,  664.32,  103.54,   0.40,    128.125,  664.64,   51.75,   0.40,   256.250,  812.79,   84.63,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725125515
