Start time: 1725125526
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.72,    4.89,  19.56,      0.125,   13.66,    2.46,  19.64,     0.250,   11.56,    5.80,  23.21
            1,      0.750,   15.12,   13.32,  17.75,      0.375,   15.09,    6.67,  17.79,     0.750,   14.25,   14.13,  18.84
            2,      1.250,   15.62,   21.48,  17.18,      0.625,   15.23,   11.01,  17.62,     1.250,   14.55,   23.06,  18.44
            3,      1.750,   15.68,   29.97,  17.12,      0.875,   15.63,   15.03,  17.18,     1.750,   14.96,   31.39,  17.94
            4,      2.250,   16.00,   37.74,  16.77,      1.125,   16.20,   18.64,  16.57,     2.250,   15.82,   38.17,  16.97
            6,      3.250,   17.22,   50.67,  15.59,      1.625,   17.18,   25.38,  15.62,     3.250,   16.20,   53.87,  16.57
            8,      4.250,   17.83,   63.98,  15.05,      2.125,   17.84,   31.97,  15.04,     4.250,   16.58,   68.81,  16.19
           12,      6.250,   19.39,   86.53,  13.85,      3.125,   19.35,   43.35,  13.87,     6.250,   20.74,   80.90,  12.94
           16,      8.250,   21.60,  102.54,  12.43,      4.125,   21.63,   51.19,  12.41,     8.250,   26.00,   85.18,  10.32
           20,     10.250,   26.32,  104.53,  10.20,      5.125,   26.40,   52.12,  10.17,    10.250,   31.94,   86.14,   8.40
           24,     12.250,   32.82,  100.20,   8.18,      6.125,   32.84,   50.07,   8.18,    12.250,   38.04,   86.45,   7.06
           28,     14.250,   35.76,  106.98,   7.51,      7.125,   35.58,   53.76,   7.54,    14.250,   44.39,   86.17,   6.05
           32,     16.250,   40.30,  108.25,   6.66,      8.125,   40.32,   54.09,   6.66,    16.250,   49.47,   88.18,   5.43
           40,     20.250,   49.83,  109.09,   5.39,     10.125,   49.84,   54.54,   5.39,    20.250,   62.07,   87.58,   4.32
           48,     24.250,   59.85,  108.76,   4.49,     12.125,   59.86,   54.37,   4.48,    24.250,   74.53,   87.35,   3.60
           56,     28.250,   70.34,  107.81,   3.82,     14.125,   70.47,   53.80,   3.81,    28.250,   86.95,   87.21,   3.09
           64,     32.250,   81.08,  106.77,   3.31,     16.125,   81.25,   53.28,   3.30,    32.250,  100.39,   86.24,   2.67
           80,     40.250,   99.98,  108.07,   2.68,     20.125,   99.63,   54.22,   2.69,    40.250,  126.29,   85.56,   2.13
          104,     52.250,  131.32,  106.81,   2.04,     26.125,  131.74,   53.23,   2.04,    52.250,  164.91,   85.05,   1.63
          120,     60.250,  153.22,  105.55,   1.75,     30.125,  154.73,   52.26,   1.73,    60.250,  190.58,   84.86,   1.41
          128,     64.250,  165.88,  103.97,   1.62,     32.125,  165.98,   51.95,   1.62,    64.250,  203.55,   84.73,   1.32
          160,     80.250,  201.58,  106.86,   1.33,     40.125,  201.64,   53.42,   1.33,    80.250,  259.66,   82.96,   1.03
          192,     96.250,  249.79,  103.44,   1.07,     48.125,  249.31,   51.82,   1.08,    96.250,  310.81,   83.13,   0.86
          256,    128.250,  329.60,  104.45,   0.81,     64.125,  329.60,   52.23,   0.81,   128.250,  414.64,   83.03,   0.65
          320,    160.250,  417.90,  102.93,   0.64,     80.125,  417.43,   51.53,   0.64,   160.250,  517.59,   83.11,   0.52
          512,    256.250,  677.35,  101.55,   0.40,    128.125,  677.03,   50.80,   0.40,   256.250,  828.33,   83.04,   0.32
------------------------------------------------------------------------------------------------------------------------------
End time: 1725125807
