Start time: 1725126343
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.52,    4.96,  19.85,      0.125,   13.51,    2.48,  19.88,     0.250,   11.23,    5.98,  23.90
            1,      0.750,   14.86,   13.54,  18.06,      0.375,   14.87,    6.77,  18.06,     0.750,   14.03,   14.35,  19.13
            2,      1.250,   15.47,   21.69,  17.35,      0.625,   15.37,   10.91,  17.46,     1.250,   14.36,   23.37,  18.70
            3,      1.750,   15.76,   29.81,  17.03,      0.875,   15.73,   14.93,  17.07,     1.750,   14.63,   32.10,  18.34
            4,      2.250,   15.74,   38.36,  17.05,      1.125,   15.75,   19.18,  17.05,     2.250,   15.59,   38.75,  17.22
            6,      3.250,   16.82,   51.87,  15.96,      1.625,   16.77,   26.02,  16.01,     3.250,   15.91,   54.84,  16.87
            8,      4.250,   17.42,   65.50,  15.41,      2.125,   17.46,   32.67,  15.38,     4.250,   16.30,   69.97,  16.46
           12,      6.250,   19.07,   87.97,  14.07,      3.125,   19.03,   44.07,  14.10,     6.250,   20.37,   82.36,  13.18
           16,      8.250,   21.23,  104.30,  12.64,      4.125,   21.18,   52.29,  12.68,     8.250,   25.53,   86.75,  10.52
           20,     10.250,   25.68,  107.15,  10.45,      5.125,   25.93,   53.06,  10.35,    10.250,   31.34,   87.79,   8.56
           24,     12.250,   32.26,  101.94,   8.32,      6.125,   32.19,   51.07,   8.34,    12.250,   37.37,   87.98,   7.18
           28,     14.250,   35.16,  108.80,   7.64,      7.125,   34.95,   54.73,   7.68,    14.250,   43.49,   87.96,   6.17
           32,     16.250,   39.56,  110.25,   6.78,      8.125,   39.57,   55.12,   6.78,    16.250,   48.63,   89.71,   5.52
           40,     20.250,   48.84,  111.29,   5.50,     10.125,   48.81,   55.69,   5.50,    20.250,   60.87,   89.30,   4.41
           48,     24.250,   58.75,  110.81,   4.57,     12.125,   58.66,   55.49,   4.58,    24.250,   73.14,   89.00,   3.67
           56,     28.250,   68.88,  110.10,   3.90,     14.125,   68.97,   54.97,   3.89,    28.250,   85.58,   88.61,   3.14
           64,     32.250,   79.36,  109.08,   3.38,     16.125,   79.50,   54.45,   3.38,    32.250,   98.41,   87.97,   2.73
           80,     40.250,   97.91,  110.35,   2.74,     20.125,   97.78,   55.25,   2.75,    40.250,  123.91,   87.20,   2.17
          104,     52.250,  128.74,  108.94,   2.09,     26.125,  129.04,   54.35,   2.08,    52.250,  161.65,   86.77,   1.66
          120,     60.250,  150.08,  107.77,   1.79,     30.125,  151.71,   53.30,   1.77,    60.250,  186.87,   86.55,   1.44
          128,     64.250,  162.40,  106.20,   1.65,     32.125,  162.42,   53.10,   1.65,    64.250,  199.64,   86.39,   1.34
          160,     80.250,  197.61,  109.01,   1.36,     40.125,  197.56,   54.52,   1.36,    80.250,  254.60,   84.61,   1.05
          192,     96.250,  244.92,  105.49,   1.10,     48.125,  244.40,   52.86,   1.10,    96.250,  305.07,   84.69,   0.88
          256,    128.250,  323.03,  106.57,   0.83,     64.125,  323.54,   53.20,   0.83,   128.250,  406.60,   84.67,   0.66
          320,    160.250,  404.32,  106.39,   0.66,     80.125,  401.30,   53.60,   0.67,   160.250,  508.12,   84.66,   0.53
          512,    256.250,  664.20,  103.56,   0.40,    128.125,  664.17,   51.78,   0.40,   256.250,  812.52,   84.66,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126618
