Start time: 1725125795
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.50,    4.97,  19.88,      0.125,   13.46,    2.49,  19.94,     0.250,   11.40,    5.89,  23.56
            1,      0.750,   14.87,   13.54,  18.05,      0.375,   14.84,    6.79,  18.09,     0.750,   13.99,   14.39,  19.18
            2,      1.250,   15.41,   21.77,  17.42,      0.625,   15.34,   10.94,  17.50,     1.250,   14.27,   23.52,  18.82
            3,      1.750,   15.72,   29.88,  17.08,      0.875,   15.75,   14.91,  17.04,     1.750,   15.02,   31.28,  17.88
            4,      2.250,   16.04,   37.66,  16.74,      1.125,   16.05,   18.81,  16.72,     2.250,   15.53,   38.89,  17.29
            6,      3.250,   16.84,   51.82,  15.94,      1.625,   16.80,   25.96,  15.98,     3.250,   15.88,   54.94,  16.91
            8,      4.250,   17.43,   65.44,  15.40,      2.125,   17.47,   32.65,  15.36,     4.250,   16.66,   68.47,  16.11
           12,      6.250,   19.03,   88.16,  14.11,      3.125,   19.11,   43.89,  14.05,     6.250,   20.36,   82.40,  13.18
           16,      8.250,   21.37,  103.65,  12.56,      4.125,   21.19,   52.25,  12.67,     8.250,   25.51,   86.81,  10.52
           20,     10.250,   25.82,  106.58,  10.40,      5.125,   25.92,   53.08,  10.36,    10.250,   31.37,   87.72,   8.56
           24,     12.250,   32.28,  101.88,   8.32,      6.125,   32.23,   51.02,   8.33,    12.250,   37.28,   88.22,   7.20
           28,     14.250,   35.17,  108.76,   7.63,      7.125,   34.97,   54.69,   7.68,    14.250,   43.51,   87.93,   6.17
           32,     16.250,   39.58,  110.20,   6.78,      8.125,   39.55,   55.15,   6.79,    16.250,   48.62,   89.72,   5.52
           40,     20.250,   48.84,  111.31,   5.50,     10.125,   48.78,   55.71,   5.50,    20.250,   60.87,   89.30,   4.41
           48,     24.250,   58.73,  110.83,   4.57,     12.125,   58.65,   55.49,   4.58,    24.250,   73.15,   88.99,   3.67
           56,     28.250,   68.91,  110.05,   3.90,     14.125,   68.99,   54.96,   3.89,    28.250,   85.52,   88.68,   3.14
           64,     32.250,   79.33,  109.13,   3.38,     16.125,   79.47,   54.47,   3.38,    32.250,   98.39,   87.99,   2.73
           80,     40.250,   97.97,  110.29,   2.74,     20.125,   97.69,   55.30,   2.75,    40.250,  123.86,   87.23,   2.17
          104,     52.250,  128.72,  108.96,   2.09,     26.125,  129.11,   54.32,   2.08,    52.250,  161.69,   86.74,   1.66
          120,     60.250,  149.89,  107.90,   1.79,     30.125,  151.71,   53.30,   1.77,    60.250,  186.75,   86.60,   1.44
          128,     64.250,  162.55,  106.10,   1.65,     32.125,  162.41,   53.10,   1.65,    64.250,  199.59,   86.41,   1.34
          160,     80.250,  197.50,  109.07,   1.36,     40.125,  197.31,   54.59,   1.36,    80.250,  254.90,   84.51,   1.05
          192,     96.250,  244.98,  105.47,   1.10,     48.125,  244.42,   52.85,   1.10,    96.250,  305.21,   84.65,   0.88
          256,    128.250,  323.14,  106.54,   0.83,     64.125,  323.43,   53.22,   0.83,   128.250,  406.63,   84.66,   0.66
          320,    160.250,  404.84,  106.26,   0.66,     80.125,  401.87,   53.52,   0.67,   160.250,  507.78,   84.72,   0.53
          512,    256.250,  664.46,  103.52,   0.40,    128.125,  664.34,   51.77,   0.40,   256.250,  812.49,   84.66,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126071
