Start time: 1725126069
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.61,    4.93,  19.72,      0.125,   13.57,    2.47,  19.78,     0.250,   11.27,    5.96,  23.83
            1,      0.750,   14.93,   13.48,  17.98,      0.375,   14.91,    6.75,  18.00,     0.750,   14.05,   14.33,  19.10
            2,      1.250,   15.50,   21.65,  17.32,      0.625,   15.43,   10.87,  17.39,     1.250,   14.36,   23.36,  18.69
            3,      1.750,   15.84,   29.67,  16.95,      0.875,   15.78,   14.89,  17.01,     1.750,   15.11,   31.08,  17.76
            4,      2.250,   15.80,   38.22,  16.99,      1.125,   15.78,   19.14,  17.01,     2.250,   15.62,   38.66,  17.18
            6,      3.250,   17.07,   51.10,  15.72,      1.625,   17.00,   25.66,  15.79,     3.250,   16.00,   54.53,  16.78
            8,      4.250,   17.60,   64.82,  15.25,      2.125,   17.60,   32.42,  15.26,     4.250,   16.38,   69.64,  16.39
           12,      6.250,   19.18,   87.48,  14.00,      3.125,   19.13,   43.85,  14.03,     6.250,   20.42,   82.18,  13.15
           16,      8.250,   21.34,  103.78,  12.58,      4.125,   21.29,   52.01,  12.61,     8.250,   25.56,   86.65,  10.50
           20,     10.250,   25.88,  106.33,  10.37,      5.125,   25.95,   53.01,  10.34,    10.250,   31.42,   87.56,   8.54
           24,     12.250,   32.34,  101.68,   8.30,      6.125,   32.25,   50.99,   8.32,    12.250,   37.35,   88.03,   7.19
           28,     14.250,   35.21,  108.63,   7.62,      7.125,   35.01,   54.64,   7.67,    14.250,   43.32,   88.30,   6.20
           32,     16.250,   39.64,  110.04,   6.77,      8.125,   39.56,   55.13,   6.79,    16.250,   48.72,   89.54,   5.51
           40,     20.250,   49.06,  110.80,   5.47,     10.125,   48.83,   55.66,   5.50,    20.250,   60.92,   89.23,   4.41
           48,     24.250,   58.89,  110.54,   4.56,     12.125,   58.94,   55.22,   4.55,    24.250,   73.33,   88.77,   3.66
           56,     28.250,   69.04,  109.84,   3.89,     14.125,   69.05,   54.91,   3.89,    28.250,   85.62,   88.57,   3.14
           64,     32.250,   79.38,  109.05,   3.38,     16.125,   79.55,   54.41,   3.37,    32.250,   98.15,   88.20,   2.73
           80,     40.250,   98.07,  110.17,   2.74,     20.125,   97.85,   55.21,   2.74,    40.250,  123.90,   87.20,   2.17
          104,     52.250,  128.82,  108.88,   2.08,     26.125,  129.09,   54.33,   2.08,    52.250,  161.73,   86.72,   1.66
          120,     60.250,  150.09,  107.76,   1.79,     30.125,  151.84,   53.26,   1.77,    60.250,  186.93,   86.52,   1.44
          128,     64.250,  162.51,  106.13,   1.65,     32.125,  162.44,   53.09,   1.65,    64.250,  199.71,   86.36,   1.34
          160,     80.250,  197.85,  108.88,   1.36,     40.125,  197.62,   54.50,   1.36,    80.250,  254.79,   84.55,   1.05
          192,     96.250,  245.10,  105.41,   1.10,     48.125,  244.50,   52.84,   1.10,    96.250,  305.23,   84.65,   0.88
          256,    128.250,  323.49,  106.42,   0.83,     64.125,  323.46,   53.22,   0.83,   128.250,  406.83,   84.62,   0.66
          320,    160.250,  406.83,  105.74,   0.66,     80.125,  405.45,   53.05,   0.66,   160.250,  508.21,   84.64,   0.53
          512,    256.250,  664.61,  103.50,   0.40,    128.125,  664.34,   51.77,   0.40,   256.250,  812.77,   84.63,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126345
