Start time: 1725126370
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.59,    4.94,  19.75,      0.125,   13.59,    2.47,  19.75,     0.250,   11.54,    5.82,  23.27
            1,      0.750,   14.98,   13.44,  17.92,      0.375,   14.89,    6.76,  18.03,     0.750,   14.17,   14.21,  18.94
            2,      1.250,   15.23,   22.04,  17.63,      0.625,   15.16,   11.07,  17.71,     1.250,   14.31,   23.45,  18.76
            3,      1.750,   15.69,   29.94,  17.11,      0.875,   15.69,   14.97,  17.11,     1.750,   15.10,   31.11,  17.78
            4,      2.250,   16.11,   37.48,  16.66,      1.125,   16.06,   18.80,  16.71,     2.250,   15.81,   38.20,  16.98
            6,      3.250,   17.16,   50.85,  15.65,      1.625,   17.10,   25.50,  15.69,     3.250,   16.10,   54.18,  16.67
            8,      4.250,   17.73,   64.34,  15.14,      2.125,   17.65,   32.32,  15.21,     4.250,   16.48,   69.22,  16.29
           12,      6.250,   19.31,   86.88,  13.90,      3.125,   19.26,   43.55,  13.94,     6.250,   20.52,   81.78,  13.08
           16,      8.250,   21.66,  102.26,  12.40,      4.125,   21.57,   51.34,  12.45,     8.250,   25.75,   86.00,  10.42
           20,     10.250,   26.15,  105.21,  10.26,      5.125,   26.23,   52.45,  10.23,    10.250,   31.73,   86.70,   8.46
           24,     12.250,   32.60,  100.88,   8.23,      6.125,   32.69,   50.30,   8.21,    12.250,   37.87,   86.84,   7.09
           28,     14.250,   35.46,  107.86,   7.57,      7.125,   35.40,   54.04,   7.58,    14.250,   43.95,   87.03,   6.11
           32,     16.250,   40.05,  108.91,   6.70,      8.125,   39.93,   54.62,   6.72,    16.250,   49.41,   88.29,   5.43
           40,     20.250,   49.44,  109.95,   5.43,     10.125,   49.52,   54.88,   5.42,    20.250,   61.68,   88.14,   4.35
           48,     24.250,   59.23,  109.90,   4.53,     12.125,   59.60,   54.61,   4.50,    24.250,   74.08,   87.87,   3.62
           56,     28.250,   69.86,  108.55,   3.84,     14.125,   69.36,   54.66,   3.87,    28.250,   87.05,   87.12,   3.08
           64,     32.250,   80.58,  107.44,   3.33,     16.125,   80.58,   53.72,   3.33,    32.250,   99.89,   86.66,   2.69
           80,     40.250,   99.45,  108.64,   2.70,     20.125,   99.16,   54.48,   2.71,    40.250,  125.30,   86.23,   2.14
          104,     52.250,  129.98,  107.91,   2.07,     26.125,  131.01,   53.53,   2.05,    52.250,  163.36,   85.86,   1.64
          120,     60.250,  152.03,  106.38,   1.77,     30.125,  154.24,   52.43,   1.74,    60.250,  189.45,   85.37,   1.42
          128,     64.250,  164.74,  104.69,   1.63,     32.125,  164.09,   52.55,   1.64,    64.250,  202.05,   85.36,   1.33
          160,     80.250,  200.36,  107.52,   1.34,     40.125,  200.66,   53.68,   1.34,    80.250,  258.49,   83.34,   1.04
          192,     96.250,  247.99,  104.18,   1.08,     48.125,  248.14,   52.06,   1.08,    96.250,  309.49,   83.48,   0.87
          256,    128.250,  328.35,  104.85,   0.82,     64.125,  326.49,   52.72,   0.82,   128.250,  412.09,   83.54,   0.65
          320,    160.250,  412.38,  104.31,   0.65,     80.125,  412.76,   52.11,   0.65,   160.250,  514.29,   83.64,   0.52
          512,    256.250,  671.09,  102.50,   0.40,    128.125,  671.67,   51.21,   0.40,   256.250,  823.91,   83.49,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126649
