Start time: 1725126362
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.57,    4.95,  19.79,      0.125,   13.63,    2.46,  19.69,     0.250,   11.33,    5.92,  23.69
            1,      0.750,   15.03,   13.40,  17.86,      0.375,   14.99,    6.71,  17.90,     0.750,   14.16,   14.22,  18.95
            2,      1.250,   15.61,   21.50,  17.20,      0.625,   15.54,   10.79,  17.27,     1.250,   14.46,   23.21,  18.56
            3,      1.750,   15.82,   29.69,  16.96,      0.875,   16.07,   14.61,  16.70,     1.750,   15.02,   31.27,  17.87
            4,      2.250,   16.32,   37.01,  16.45,      1.125,   16.26,   18.57,  16.51,     2.250,   15.74,   38.38,  17.06
            6,      3.250,   17.02,   51.26,  15.77,      1.625,   16.95,   25.73,  15.84,     3.250,   16.03,   54.43,  16.75
            8,      4.250,   17.62,   64.73,  15.23,      2.125,   17.56,   32.49,  15.29,     4.250,   16.86,   67.68,  15.92
           12,      6.250,   19.10,   87.83,  14.05,      3.125,   19.18,   43.72,  13.99,     6.250,   20.53,   81.71,  13.07
           16,      8.250,   21.38,  103.56,  12.55,      4.125,   21.36,   51.85,  12.57,     8.250,   25.84,   85.70,  10.39
           20,     10.250,   26.43,  104.11,  10.16,      5.125,   26.31,   52.29,  10.20,    10.250,   31.82,   86.46,   8.44
           24,     12.250,   32.74,  100.43,   8.20,      6.125,   32.57,   50.48,   8.24,    12.250,   37.88,   86.80,   7.09
           28,     14.250,   35.79,  106.88,   7.50,      7.125,   35.39,   54.05,   7.59,    14.250,   43.72,   87.50,   6.14
           32,     16.250,   39.91,  109.31,   6.73,      8.125,   39.96,   54.58,   6.72,    16.250,   49.27,   88.54,   5.45
           40,     20.250,   49.54,  109.72,   5.42,     10.125,   49.54,   54.86,   5.42,    20.250,   61.67,   88.14,   4.35
           48,     24.250,   59.70,  109.03,   4.50,     12.125,   58.79,   55.36,   4.57,    24.250,   73.76,   88.25,   3.64
           56,     28.250,   69.91,  108.47,   3.84,     14.125,   70.11,   54.08,   3.83,    28.250,   86.86,   87.31,   3.09
           64,     32.250,   80.44,  107.62,   3.34,     16.125,   80.13,   54.02,   3.35,    32.250,   99.60,   86.92,   2.70
           80,     40.250,   99.12,  109.00,   2.71,     20.125,   99.12,   54.50,   2.71,    40.250,  124.69,   86.65,   2.15
          104,     52.250,  130.36,  107.59,   2.06,     26.125,  131.13,   53.48,   2.05,    52.250,  162.83,   86.14,   1.65
          120,     60.250,  151.85,  106.51,   1.77,     30.125,  153.88,   52.55,   1.74,    60.250,  188.10,   85.98,   1.43
          128,     64.250,  164.76,  104.68,   1.63,     32.125,  162.31,   53.13,   1.65,    64.250,  201.42,   85.63,   1.33
          160,     80.250,  198.03,  108.78,   1.36,     40.125,  199.59,   53.96,   1.34,    80.250,  255.05,   84.46,   1.05
          192,     96.250,  247.11,  104.56,   1.09,     48.125,  245.85,   52.55,   1.09,    96.250,  308.56,   83.73,   0.87
          256,    128.250,  326.35,  105.49,   0.82,     64.125,  325.99,   52.80,   0.82,   128.250,  408.59,   84.26,   0.66
          320,    160.250,  408.82,  105.22,   0.66,     80.125,  406.19,   52.95,   0.66,   160.250,  511.58,   84.09,   0.52
          512,    256.250,  668.32,  102.92,   0.40,    128.125,  668.56,   51.44,   0.40,   256.250,  818.41,   84.05,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126641
