Start time: 1725126356
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.54,    4.96,  19.82,      0.125,   13.53,    2.48,  19.84,     0.250,   11.43,    5.87,  23.49
            1,      0.750,   14.96,   13.45,  17.94,      0.375,   14.92,    6.75,  17.99,     0.750,   14.09,   14.28,  19.05
            2,      1.250,   15.51,   21.63,  17.30,      0.625,   15.09,   11.12,  17.79,     1.250,   14.39,   23.31,  18.65
            3,      1.750,   15.46,   30.40,  17.37,      0.875,   15.40,   15.25,  17.43,     1.750,   14.70,   31.96,  18.26
            4,      2.250,   15.82,   38.18,  16.97,      1.125,   15.83,   19.07,  16.96,     2.250,   15.71,   38.45,  17.09
            6,      3.250,   17.08,   51.07,  15.71,      1.625,   16.91,   25.80,  15.88,     3.250,   16.01,   54.50,  16.77
            8,      4.250,   17.67,   64.57,  15.19,      2.125,   17.60,   32.41,  15.25,     4.250,   16.40,   69.55,  16.36
           12,      6.250,   19.15,   87.62,  14.02,      3.125,   19.12,   43.88,  14.04,     6.250,   20.40,   82.23,  13.16
           16,      8.250,   21.32,  103.87,  12.59,      4.125,   21.28,   52.03,  12.61,     8.250,   25.57,   86.61,  10.50
           20,     10.250,   25.85,  106.45,  10.39,      5.125,   25.90,   53.11,  10.36,    10.250,   31.43,   87.55,   8.54
           24,     12.250,   32.31,  101.76,   8.31,      6.125,   32.35,   50.83,   8.30,    12.250,   37.30,   88.15,   7.20
           28,     14.250,   35.11,  108.95,   7.65,      7.125,   35.03,   54.60,   7.66,    14.250,   43.65,   87.63,   6.15
           32,     16.250,   39.61,  110.12,   6.78,      8.125,   39.61,   55.07,   6.78,    16.250,   48.74,   89.50,   5.51
           40,     20.250,   48.90,  111.16,   5.49,     10.125,   48.81,   55.69,   5.50,    20.250,   60.95,   89.19,   4.40
           48,     24.250,   58.75,  110.80,   4.57,     12.125,   58.75,   55.40,   4.57,    24.250,   73.21,   88.92,   3.67
           56,     28.250,   68.93,  110.02,   3.89,     14.125,   69.03,   54.93,   3.89,    28.250,   85.69,   88.50,   3.13
           64,     32.250,   79.52,  108.87,   3.38,     16.125,   79.58,   54.39,   3.37,    32.250,   98.57,   87.83,   2.72
           80,     40.250,   98.05,  110.19,   2.74,     20.125,   97.90,   55.18,   2.74,    40.250,  123.92,   87.19,   2.17
          104,     52.250,  128.84,  108.86,   2.08,     26.125,  129.12,   54.31,   2.08,    52.250,  161.55,   86.82,   1.66
          120,     60.250,  150.11,  107.74,   1.79,     30.125,  151.65,   53.32,   1.77,    60.250,  187.05,   86.46,   1.44
          128,     64.250,  162.69,  106.01,   1.65,     32.125,  162.41,   53.10,   1.65,    64.250,  199.76,   86.34,   1.34
          160,     80.250,  197.73,  108.95,   1.36,     40.125,  197.80,   54.45,   1.36,    80.250,  254.66,   84.59,   1.05
          192,     96.250,  244.92,  105.49,   1.10,     48.125,  244.72,   52.79,   1.10,    96.250,  305.27,   84.64,   0.88
          256,    128.250,  323.48,  106.43,   0.83,     64.125,  323.99,   53.13,   0.83,   128.250,  406.84,   84.62,   0.66
          320,    160.250,  405.45,  106.10,   0.66,     80.125,  403.31,   53.33,   0.67,   160.250,  508.42,   84.61,   0.53
          512,    256.250,  664.81,  103.47,   0.40,    128.125,  664.63,   51.75,   0.40,   256.250,  813.17,   84.59,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126632
