Start time: 1725126069
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.49,    4.98,  19.90,      0.125,   13.43,    2.50,  19.99,     0.250,   11.40,    5.89,  23.55
            1,      0.750,   14.85,   13.55,  18.07,      0.375,   14.87,    6.77,  18.05,     0.750,   14.01,   14.37,  19.16
            2,      1.250,   15.06,   22.28,  17.83,      0.625,   15.01,   11.18,  17.89,     1.250,   14.29,   23.49,  18.79
            3,      1.750,   15.52,   30.26,  17.29,      0.875,   15.48,   15.18,  17.35,     1.750,   14.61,   32.15,  18.37
            4,      2.250,   15.75,   38.34,  17.04,      1.125,   15.81,   19.10,  16.98,     2.250,   15.55,   38.84,  17.26
            6,      3.250,   16.91,   51.60,  15.88,      1.625,   16.93,   25.76,  15.85,     3.250,   16.10,   54.18,  16.67
            8,      4.250,   17.55,   65.01,  15.30,      2.125,   17.51,   32.57,  15.33,     4.250,   16.30,   69.97,  16.46
           12,      6.250,   19.05,   88.07,  14.09,      3.125,   19.04,   44.05,  14.10,     6.250,   20.34,   82.48,  13.20
           16,      8.250,   21.31,  103.91,  12.60,      4.125,   21.25,   52.12,  12.63,     8.250,   25.57,   86.62,  10.50
           20,     10.250,   25.84,  106.49,  10.39,      5.125,   25.85,   53.22,  10.38,    10.250,   31.38,   87.68,   8.55
           24,     12.250,   32.29,  101.84,   8.31,      6.125,   32.27,   50.94,   8.32,    12.250,   37.47,   87.75,   7.16
           28,     14.250,   35.15,  108.84,   7.64,      7.125,   34.97,   54.70,   7.68,    14.250,   43.67,   87.59,   6.15
           32,     16.250,   39.58,  110.20,   6.78,      8.125,   39.55,   55.15,   6.79,    16.250,   48.66,   89.65,   5.52
           40,     20.250,   49.01,  110.92,   5.48,     10.125,   48.80,   55.69,   5.50,    20.250,   61.13,   88.92,   4.39
           48,     24.250,   58.88,  110.55,   4.56,     12.125,   58.75,   55.40,   4.57,    24.250,   73.34,   88.76,   3.66
           56,     28.250,   69.03,  109.85,   3.89,     14.125,   69.03,   54.92,   3.89,    28.250,   85.75,   88.43,   3.13
           64,     32.250,   79.58,  108.78,   3.37,     16.125,   79.77,   54.26,   3.36,    32.250,   98.46,   87.93,   2.73
           80,     40.250,   98.12,  110.12,   2.74,     20.125,   97.90,   55.18,   2.74,    40.250,  124.08,   87.08,   2.16
          104,     52.250,  129.07,  108.67,   2.08,     26.125,  129.28,   54.25,   2.08,    52.250,  162.05,   86.55,   1.66
          120,     60.250,  150.05,  107.78,   1.79,     30.125,  151.83,   53.26,   1.77,    60.250,  186.97,   86.50,   1.44
          128,     64.250,  162.93,  105.86,   1.65,     32.125,  162.39,   53.10,   1.65,    64.250,  199.84,   86.31,   1.34
          160,     80.250,  197.88,  108.87,   1.36,     40.125,  197.71,   54.48,   1.36,    80.250,  254.74,   84.56,   1.05
          192,     96.250,  245.25,  105.35,   1.09,     48.125,  244.67,   52.80,   1.10,    96.250,  305.37,   84.61,   0.88
          256,    128.250,  323.50,  106.42,   0.83,     64.125,  324.10,   53.11,   0.83,   128.250,  407.10,   84.57,   0.66
          320,    160.250,  409.26,  105.11,   0.66,     80.125,  408.80,   52.61,   0.66,   160.250,  508.43,   84.61,   0.53
          512,    256.250,  664.92,  103.45,   0.40,    128.125,  664.91,   51.73,   0.40,   256.250,  813.03,   84.61,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126345
