Start time: 1725126359
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.56,    4.95,  19.79,      0.125,   13.55,    2.48,  19.82,     0.250,   11.25,    5.96,  23.86
            1,      0.750,   14.96,   13.46,  17.94,      0.375,   14.94,    6.74,  17.96,     0.750,   14.14,   14.24,  18.98
            2,      1.250,   15.51,   21.63,  17.31,      0.625,   15.49,   10.83,  17.33,     1.250,   14.40,   23.31,  18.65
            3,      1.750,   15.53,   30.25,  17.29,      0.875,   15.78,   14.89,  17.01,     1.750,   14.72,   31.90,  18.23
            4,      2.250,   15.85,   38.11,  16.94,      1.125,   15.85,   19.05,  16.94,     2.250,   15.65,   38.60,  17.16
            6,      3.250,   16.91,   51.61,  15.88,      1.625,   16.80,   25.96,  15.98,     3.250,   15.99,   54.55,  16.78
            8,      4.250,   17.55,   65.02,  15.30,      2.125,   17.55,   32.50,  15.30,     4.250,   16.44,   69.39,  16.33
           12,      6.250,   19.35,   86.69,  13.87,      3.125,   19.04,   44.06,  14.10,     6.250,   20.56,   81.59,  13.05
           16,      8.250,   21.55,  102.75,  12.45,      4.125,   21.54,   51.41,  12.46,     8.250,   25.95,   85.36,  10.35
           20,     10.250,   26.20,  105.01,  10.24,      5.125,   26.31,   52.30,  10.20,    10.250,   31.82,   86.48,   8.44
           24,     12.250,   32.84,  100.14,   8.17,      6.125,   32.78,   50.16,   8.19,    12.250,   37.89,   86.79,   7.08
           28,     14.250,   35.81,  106.83,   7.50,      7.125,   35.73,   53.54,   7.51,    14.250,   44.36,   86.23,   6.05
           32,     16.250,   40.02,  108.99,   6.71,      8.125,   40.10,   54.39,   6.69,    16.250,   48.99,   89.05,   5.48
           40,     20.250,   49.40,  110.04,   5.43,     10.125,   49.42,   55.00,   5.43,    20.250,   61.48,   88.42,   4.37
           48,     24.250,   59.31,  109.75,   4.53,     12.125,   59.26,   54.93,   4.53,    24.250,   73.94,   88.03,   3.63
           56,     28.250,   70.02,  108.30,   3.83,     14.125,   70.18,   54.03,   3.82,    28.250,   87.08,   87.08,   3.08
           64,     32.250,   80.81,  107.12,   3.32,     16.125,   80.61,   53.70,   3.33,    32.250,  100.12,   86.47,   2.68
           80,     40.250,   98.84,  109.31,   2.72,     20.125,   98.65,   54.76,   2.72,    40.250,  124.91,   86.50,   2.15
          104,     52.250,  130.07,  107.83,   2.06,     26.125,  130.86,   53.59,   2.05,    52.250,  164.31,   85.36,   1.63
          120,     60.250,  152.72,  105.90,   1.76,     30.125,  153.56,   52.66,   1.75,    60.250,  188.50,   85.80,   1.42
          128,     64.250,  163.91,  105.22,   1.64,     32.125,  164.18,   52.53,   1.64,    64.250,  202.93,   84.99,   1.32
          160,     80.250,  200.50,  107.44,   1.34,     40.125,  199.25,   54.06,   1.35,    80.250,  256.96,   83.83,   1.04
          192,     96.250,  247.74,  104.29,   1.08,     48.125,  248.26,   52.04,   1.08,    96.250,  307.63,   83.99,   0.87
          256,    128.250,  326.58,  105.41,   0.82,     64.125,  328.85,   52.34,   0.82,   128.250,  410.26,   83.92,   0.65
          320,    160.250,  411.03,  104.66,   0.65,     80.125,  408.37,   52.67,   0.66,   160.250,  513.71,   83.74,   0.52
          512,    256.250,  668.64,  102.88,   0.40,    128.125,  669.64,   51.36,   0.40,   256.250,  821.12,   83.77,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126639
