Start time: 1725125239
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.58,    4.94,  19.77,      0.125,   13.53,    2.48,  19.84,     0.250,   11.24,    5.97,  23.88
            1,      0.750,   14.94,   13.48,  17.97,      0.375,   14.92,    6.75,  17.99,     0.750,   14.04,   14.34,  19.12
            2,      1.250,   15.48,   21.68,  17.35,      0.625,   15.37,   10.92,  17.47,     1.250,   14.32,   23.43,  18.74
            3,      1.750,   15.80,   29.74,  16.99,      0.875,   15.73,   14.93,  17.07,     1.750,   14.70,   31.96,  18.26
            4,      2.250,   15.78,   38.27,  17.01,      1.125,   15.74,   19.19,  17.06,     2.250,   15.54,   38.86,  17.27
            6,      3.250,   16.81,   51.91,  15.97,      1.625,   16.75,   26.05,  16.03,     3.250,   15.92,   54.80,  16.86
            8,      4.250,   17.49,   65.24,  15.35,      2.125,   17.41,   32.76,  15.42,     4.250,   16.70,   68.29,  16.07
           12,      6.250,   19.16,   87.58,  14.01,      3.125,   19.11,   43.89,  14.04,     6.250,   20.40,   82.23,  13.16
           16,      8.250,   21.32,  103.86,  12.59,      4.125,   21.21,   52.20,  12.66,     8.250,   25.55,   86.67,  10.51
           20,     10.250,   25.84,  106.48,  10.39,      5.125,   25.86,   53.20,  10.38,    10.250,   31.41,   87.58,   8.54
           24,     12.250,   32.30,  101.81,   8.31,      6.125,   32.28,   50.93,   8.32,    12.250,   37.08,   88.67,   7.24
           28,     14.250,   35.19,  108.69,   7.63,      7.125,   35.17,   54.38,   7.63,    14.250,   43.61,   87.72,   6.16
           32,     16.250,   39.80,  109.59,   6.74,      8.125,   39.60,   55.07,   6.78,    16.250,   48.84,   89.32,   5.50
           40,     20.250,   48.94,  111.08,   5.49,     10.125,   48.85,   55.63,   5.49,    20.250,   61.11,   88.95,   4.39
           48,     24.250,   58.85,  110.61,   4.56,     12.125,   58.89,   55.27,   4.56,    24.250,   73.28,   88.83,   3.66
           56,     28.250,   69.04,  109.84,   3.89,     14.125,   69.06,   54.90,   3.89,    28.250,   85.73,   88.45,   3.13
           64,     32.250,   79.40,  109.03,   3.38,     16.125,   79.90,   54.17,   3.36,    32.250,   98.42,   87.96,   2.73
           80,     40.250,   98.17,  110.06,   2.73,     20.125,   97.88,   55.19,   2.74,    40.250,  123.99,   87.14,   2.16
          104,     52.250,  128.88,  108.83,   2.08,     26.125,  129.31,   54.23,   2.08,    52.250,  162.08,   86.53,   1.66
          120,     60.250,  150.20,  107.68,   1.79,     30.125,  151.99,   53.20,   1.77,    60.250,  187.14,   86.42,   1.43
          128,     64.250,  162.60,  106.07,   1.65,     32.125,  162.34,   53.12,   1.65,    64.250,  199.64,   86.39,   1.34
          160,     80.250,  197.85,  108.88,   1.36,     40.125,  197.66,   54.49,   1.36,    80.250,  254.85,   84.53,   1.05
          192,     96.250,  245.42,  105.28,   1.09,     48.125,  244.88,   52.75,   1.10,    96.250,  305.60,   84.55,   0.88
          256,    128.250,  323.61,  106.39,   0.83,     64.125,  324.28,   53.08,   0.83,   128.250,  406.82,   84.62,   0.66
          320,    160.250,  407.67,  105.52,   0.66,     80.125,  406.74,   52.88,   0.66,   160.250,  508.41,   84.61,   0.53
          512,    256.250,  665.18,  103.41,   0.40,    128.125,  665.57,   51.68,   0.40,   256.250,  813.73,   84.53,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725125515
