Start time: 1725158430
Point-to-point pairwise experiments for nodes cluster-256-hpc-29 cluster-256-hpc-154
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.54
2                       1.55
4                       1.55
8                       1.55
16                      1.55
32                      1.72
64                      1.76
128                     1.78
256                     2.30
512                     2.40
1024                    2.62
2048                    2.72
4096                    3.47
8192                    3.97
16384                   5.27
32768                   6.85
65536                   9.00
131072                 13.91
262144                 17.12
524288                 27.77
1048576                49.78
2097152                91.77
4194304               176.71
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.08
2                       8.15
4                      15.96
8                      32.68
16                     64.99
32                    130.04
64                    247.74
128                   494.41
256                   931.47
512                  1787.93
1024                 3363.74
2048                 6080.56
4096                 9190.10
8192                13670.51
16384               19034.51
32768               21771.39
65536               23365.47
131072              24019.54
262144              24358.09
524288              24530.14
1048576             24612.69
2097152             24653.48
4194304             24671.94
Point-to-point pairwise experiments for nodes cluster-256-hpc-29 cluster-256-hpc-24
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.55
2                       1.56
4                       1.56
8                       1.56
16                      1.57
32                      1.72
64                      1.77
128                     1.82
256                     2.32
512                     2.42
1024                    2.63
2048                    2.74
4096                    3.48
8192                    4.00
16384                   5.29
32768                   6.77
65536                   8.66
131072                 13.35
262144                 17.25
524288                 27.86
1048576                49.79
2097152                91.83
4194304               176.84
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.93
2                       7.86
4                      14.47
8                      31.40
16                     61.73
32                    124.45
64                    243.15
128                   493.31
256                   913.23
512                  1739.22
1024                 3329.99
2048                 5971.35
4096                 9159.22
8192                13677.55
16384               19058.95
32768               21281.86
65536               23371.64
131072              23898.23
262144              24350.15
524288              24519.27
1048576             24612.68
2097152             24653.49
4194304             24540.74
Point-to-point pairwise experiments for nodes cluster-256-hpc-29 cluster-256-hpc-172
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.55
4                       1.57
8                       1.55
16                      1.55
32                      1.72
64                      1.76
128                     1.80
256                     2.32
512                     2.41
1024                    2.62
2048                    2.71
4096                    3.45
8192                    3.99
16384                   5.28
32768                   6.63
65536                   8.74
131072                 13.50
262144                 17.07
524288                 27.74
1048576                49.27
2097152                92.37
4194304               176.69
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.00
2                       8.11
4                      15.96
8                      32.55
16                     64.91
32                    126.51
64                    249.04
128                   488.47
256                   949.63
512                  1777.60
1024                 3387.81
2048                 6038.57
4096                 9085.12
8192                13690.02
16384               18850.21
32768               21829.90
65536               23375.06
131072              23949.77
262144              24341.32
524288              24527.62
1048576             24613.07
2097152             24653.23
4194304             24672.72
Point-to-point pairwise experiments for nodes cluster-256-hpc-29 cluster-256-hpc-109
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.54
2                       1.54
4                       1.55
8                       1.55
16                      1.55
32                      1.71
64                      1.75
128                     1.79
256                     2.31
512                     2.40
1024                    2.58
2048                    2.70
4096                    3.45
8192                    3.97
16384                   5.27
32768                   6.67
65536                   8.90
131072                 13.66
262144                 17.19
524288                 27.77
1048576                49.74
2097152                91.77
4194304               176.67
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.93
2                       8.11
4                      16.02
8                      32.50
16                     63.89
32                    129.32
64                    245.24
128                   495.67
256                   946.70
512                  1769.37
1024                 3319.77
2048                 6048.36
4096                 9098.28
8192                13654.56
16384               19064.05
32768               21870.97
65536               23359.62
131072              24025.88
262144              24356.12
524288              24532.53
1048576             24609.82
2097152             24652.85
4194304             24592.91
Point-to-point pairwise experiments for nodes cluster-256-hpc-29 cluster-256-hpc-116
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.57
32                      1.73
64                      1.77
128                     1.82
256                     2.33
512                     2.44
1024                    2.59
2048                    2.77
4096                    3.48
8192                    3.99
16384                   5.29
32768                   6.74
65536                   8.90
131072                 13.50
262144                 17.19
524288                 27.84
1048576                49.34
2097152                92.73
4194304               176.77
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       8.16
4                      16.07
8                      32.57
16                     62.95
32                    129.26
64                    245.93
128                   493.98
256                   944.16
512                  1775.12
1024                 3351.24
2048                 6103.46
4096                 9136.57
8192                13593.23
16384               18786.45
32768               21863.09
65536               23339.91
131072              24013.88
262144              24335.61
524288              24528.75
1048576             24612.00
2097152             24654.10
4194304             24673.66
Point-to-point pairwise experiments for nodes cluster-256-hpc-29 cluster-256-hpc-133
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.59
2                       1.59
4                       1.59
8                       1.59
16                      1.60
32                      1.74
64                      1.79
128                     1.85
256                     2.36
512                     2.53
1024                    2.59
2048                    2.76
4096                    3.50
8192                    4.03
16384                   5.31
32768                   6.78
65536                   8.82
131072                 13.44
262144                 17.25
524288                 27.92
1048576                50.29
2097152                92.03
4194304               176.94
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.11
4                      15.90
8                      32.47
16                     63.39
32                    129.34
64                    245.50
128                   491.60
256                   941.32
512                  1772.27
1024                 3312.99
2048                 6048.72
4096                 9174.23
8192                13580.33
16384               18964.73
32768               21778.14
65536               23357.85
131072              24007.25
262144              24334.20
524288              24527.59
1048576             24611.37
2097152             24652.87
4194304             24672.77
Point-to-point pairwise experiments for nodes cluster-256-hpc-29 cluster-256-hpc-205
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.54
1                       1.54
2                       1.54
4                       1.55
8                       1.54
16                      1.55
32                      1.71
64                      1.76
128                     1.80
256                     2.32
512                     2.42
1024                    2.59
2048                    2.74
4096                    3.46
8192                    3.99
16384                   5.28
32768                   6.86
65536                   9.22
131072                 14.01
262144                 17.12
524288                 27.77
1048576                49.25
2097152                92.47
4194304               176.65
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.02
2                       8.08
4                      16.26
8                      32.63
16                     65.39
32                    127.66
64                    250.33
128                   498.18
256                   958.42
512                  1801.31
1024                 3413.39
2048                 6061.02
4096                 9181.52
8192                13755.51
16384               18735.66
32768               21645.80
65536               23303.97
131072              24018.99
262144              24360.37
524288              24519.18
1048576             24613.33
2097152             24651.08
4194304             24674.08
Point-to-point pairwise experiments for nodes cluster-256-hpc-154 cluster-256-hpc-24
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.58
32                      1.71
64                      1.75
128                     1.80
256                     2.32
512                     2.44
1024                    2.66
2048                    2.75
4096                    3.46
8192                    3.99
16384                   5.29
32768                   6.71
65536                   8.92
131072                 13.70
262144                 17.14
524288                 27.70
1048576                49.39
2097152                92.43
4194304               176.82
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.84
2                       7.85
4                      15.42
8                      31.41
16                     61.24
32                    124.41
64                    247.51
128                   489.25
256                   919.06
512                  1753.94
1024                 2966.90
2048                 5746.75
4096                 8024.66
8192                12387.80
16384               18398.77
32768               21095.23
65536               23128.79
131072              23872.13
262144              24344.00
524288              24523.75
1048576             24610.21
2097152             24653.36
4194304             24671.92
Point-to-point pairwise experiments for nodes cluster-256-hpc-154 cluster-256-hpc-172
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.54
2                       1.54
4                       1.55
8                       1.55
16                      1.55
32                      1.70
64                      1.76
128                     1.80
256                     2.32
512                     2.41
1024                    2.54
2048                    2.77
4096                    3.43
8192                    3.97
16384                   5.26
32768                   6.72
65536                   8.60
131072                 13.40
262144                 17.11
524288                 27.77
1048576                49.32
2097152                92.41
4194304               176.70
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.83
2                       7.86
4                      15.56
8                      31.42
16                     62.57
32                    124.71
64                    247.01
128                   489.83
256                   929.61
512                  1763.52
1024                 3340.72
2048                 6006.61
4096                 9166.79
8192                13577.86
16384               18833.10
32768               21862.95
65536               23401.61
131072              24015.90
262144              24352.74
524288              24524.41
1048576             24612.25
2097152             24653.54
4194304             24673.36
Point-to-point pairwise experiments for nodes cluster-256-hpc-154 cluster-256-hpc-109
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.54
2                       1.55
4                       1.55
8                       1.55
16                      1.55
32                      1.71
64                      1.76
128                     1.80
256                     2.31
512                     2.41
1024                    2.57
2048                    2.74
4096                    3.45
8192                    3.97
16384                   5.27
32768                   6.88
65536                   9.01
131072                 13.93
262144                 17.11
