Start time: 1725159335
Point-to-point pairwise experiments for nodes cluster-256-hpc-212 cluster-256-hpc-177
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.57
32                      1.73
64                      1.77
128                     1.81
256                     2.32
512                     2.42
1024                    2.64
2048                    2.72
4096                    3.48
8192                    3.99
16384                   5.34
32768                   6.86
65536                   8.99
131072                 13.83
262144                 17.13
524288                 27.80
1048576                49.41
2097152                92.65
4194304               176.80
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       7.66
4                      16.25
8                      30.80
16                     64.99
32                    129.65
64                    247.75
128                   486.46
256                   934.66
512                  1761.01
1024                 3413.57
2048                 6062.95
4096                 9113.19
8192                13633.33
16384               18714.20
32768               21693.87
65536               23367.41
131072              23928.08
262144              24238.21
524288              24385.30
1048576             24538.07
2097152             24600.38
4194304             24561.35
Point-to-point pairwise experiments for nodes cluster-256-hpc-212 cluster-256-hpc-209
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.54
2                       1.55
4                       1.55
8                       1.55
16                      1.55
32                      1.72
64                      1.76
128                     1.81
256                     2.32
512                     2.43
1024                    2.63
2048                    2.74
4096                    3.46
8192                    3.98
16384                   5.27
32768                   6.79
65536                   8.74
131072                 13.54
262144                 17.17
524288                 27.88
1048576                49.50
2097152                92.91
4194304               177.45
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.10
2                       7.90
4                      16.31
8                      32.19
16                     65.29
32                    124.61
64                    246.92
128                   485.29
256                   945.92
512                  1757.92
1024                 3388.86
2048                 5882.34
4096                 9138.68
8192                13611.26
16384               19055.54
32768               21124.06
65536               22867.07
131072              23734.81
262144              24220.43
524288              24268.71
1048576             24576.81
2097152             24499.37
4194304             24531.08
Point-to-point pairwise experiments for nodes cluster-256-hpc-212 cluster-256-hpc-40
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.57
2                       1.57
4                       1.58
8                       1.58
16                      1.58
32                      1.73
64                      1.78
128                     1.83
256                     2.33
512                     2.43
1024                    2.65
2048                    2.74
4096                    3.48
8192                    4.00
16384                   5.29
32768                   6.76
65536                   8.79
131072                 13.49
262144                 17.22
524288                 27.88
1048576                49.89
2097152                92.42
4194304               176.89
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.98
2                       8.15
4                      16.09
8                      32.41
16                     64.17
32                    129.37
64                    247.84
128                   489.14
256                   949.17
512                  1782.55
1024                 3332.68
2048                 6064.00
4096                 9021.11
8192                13537.09
16384               18723.53
32768               21936.59
65536               23295.36
131072              24016.36
262144              24353.28
524288              24526.70
1048576             24610.94
2097152             24652.10
4194304             24672.44
Point-to-point pairwise experiments for nodes cluster-256-hpc-212 cluster-256-hpc-226
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.54
4                       1.55
8                       1.55
16                      1.56
32                      1.70
64                      1.76
128                     1.80
256                     2.32
512                     2.41
1024                    2.64
2048                    2.72
4096                    3.45
8192                    3.97
16384                   5.28
32768                   6.72
65536                   8.71
131072                 13.42
262144                 17.17
524288                 27.80
1048576                49.35
2097152                92.47
4194304               176.74
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.90
2                       7.71
4                      15.72
8                      31.40
16                     61.67
32                    123.72
64                    246.48
128                   488.25
256                   926.63
512                  1766.98
1024                 3322.39
2048                 6032.86
4096                 9096.60
8192                13758.40
16384               19068.47
32768               21799.51
65536               22990.37
131072              24020.47
262144              24307.26
524288              24529.10
1048576             24613.20
2097152             24654.00
4194304             24662.57
Point-to-point pairwise experiments for nodes cluster-256-hpc-212 cluster-256-hpc-26
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.74
64                      1.79
128                     1.82
256                     2.33
512                     2.44
1024                    2.64
2048                    2.76
4096                    3.51
8192                    4.02
16384                   5.36
