Start time: 1725097154
MPI Initialized         : MPI_THREAD_FUNNELED
Copyright (c) 2016
Lawrence Livermore National Security, LLC
All Rights Reserved
Quicksilver Version     : 2023-Aug-18-15:12:10
Quicksilver Git Hash    : eb68bb8d6fc53de1f65011d4e79ff2ed0dd60f3b
MPI Version             : 3.1
Number of MPI ranks     : 4096
Number of OpenMP Threads: 3
Number of OpenMP CPUs   : 24

Simulation:
   dt: 2e-09
   fMax: 0.1
   inputFile: /opt/quicksilver/Examples/CORAL2_Benchmark/Problem1/Coral2_P1.inp
   energySpectrum: 
   boundaryCondition: reflect
   loadBalance: 0
   cycleTimers: 0
   debugThreads: 0
   lx: 256
   ly: 128
   lz: 128
   nParticles: 1342117280
   batchSize: 0
   nBatches: 10
   nSteps: 100
   nx: 256
   ny: 128
   nz: 128
   seed: 1029384756
   xDom: 16
   yDom: 16
   zDom: 16
   eMax: 20
   eMin: 1e-09
   nGroups: 230
   lowWeightCutoff: 0.001
   bTally: 1
   fTally: 1
   cTally: 1
   coralBenchmark: 1
   crossSectionsOut:

Geometry:
   material: sourceMaterial
   shape: brick
   xMax: 10000
   xMin: 0
   yMax: 10000
   yMin: 0
   zMax: 10000
   zMin: 0

Material:
   name: sourceMaterial
   mass: 12.011
   nIsotopes: 20
   nReactions: 9
   sourceRate: 1e+10
   totalCrossSection: 1.5
   absorptionCrossSection: flat
   fissionCrossSection: flat
   scatteringCrossSection: flat
   absorptionCrossSectionRatio: 0.04
   fissionCrossSectionRatio: 0.05
   scatteringCrossSectionRatio: 1

CrossSection:
   name: flat
   A: 0
   B: 0
   C: 0
   D: 0
   E: 1
   nuBar: 1.6
Building partition 0
done building
Building MC_Domain 0
Finished initMesh
cycle           start       source           rr        split       absorb      scatter      fission      produce      collisn       escape       census      num_seg   scalar_flux      cycleInit  cycleTracking  cycleFinalize
       0            0    130023424            0   1212086758    273220839   6830666802    341517797    546422415   7445405438            0   1273793961  16164634455  3.005553e+08   3.174300e-02   1.700480e+00   1.869000e-03
       1   1273793961    130023424     61686353            0    479340335  11982986439    599142265    958607330  13061469039            0   1222255762  27345318268  8.229153e+08   3.365800e-02   2.999392e+00   1.310000e-03
       2   1222255762    130023424     10160214            0    457769473  11445208812    572267664    915619837  12475245949            0   1227701672  26178213453  1.272664e+09   2.947500e-02   2.823621e+00   1.095000e-03
       3   1227701672    130023424     15609056            0    450017625  11250614304    562530444    900044579  12263162373            0   1229612550  25756030539  1.673311e+09   3.089300e-02   2.758466e+00   1.106000e-03
       4   1229612550    130023424     17510880            0    446122045  11152493412    557626269    892210466  12156241726            0   1230587246  25543128841  2.034564e+09   2.837000e-02   2.691936e+00   9.360000e-04
       5   1230587246    130023424     18496633            0    443788812  11095357040    554769706    887627239  12093915558            0   1231182758  25419019059  2.362246e+09   2.879100e-02   2.702226e+00   9.550000e-04
       6   1231182758    130023424     19091796            0    442309385  11058281797    552902565    884652489  12053493747            0   1231554925  25338499438  2.660296e+09   2.647600e-02   2.661857e+00   9.400000e-04
       7   1231554925    130023424     19450476            0    441330749  11032847190    551654781    882659901  12025832720            0   1231802244  25283394162  2.932251e+09   2.966600e-02   2.637850e+00   9.320000e-04
       8   1231802244    130023424     19706479            0    440580053  11014336343    550704630    881136831  12005621026            0   1231971337  25243126209  3.180280e+09   2.991300e-02   2.649508e+00   8.290000e-04
       9   1231971337    130023424     19880184            0    440019949  10999873141    549990493    880007814  11989883583            0   1232111949  25211931809  3.406780e+09   3.059800e-02   2.666137e+00   8.580000e-04
      10   1232111949    130023424     20017689            0    439536076  10989471193    549458849    879136646  11978466118            0   1232259405  25189192792  3.614163e+09   2.822200e-02   2.671551e+00   8.140000e-04
      11   1232259405    130023424     20168818            0    439238605  10980481705    549017718    878428268  11968738028            0   1232285956  25169684528  3.803868e+09   2.852600e-02   2.653715e+00   8.940000e-04
      12   1232285956    130023424     20194641            0    438929885  10973392406    548631411    877804885  11960953702            0   1232358328  25154064287  3.977181e+09   2.808400e-02   2.639552e+00   7.440000e-04
      13   1232358328    130023424     20261978            0    438708675  10967321111    548383262    877414520  11954413048            0   1232442357  25141292510  4.136070e+09   2.873000e-02   2.648420e+00   8.930000e-04
      14   1232442357    130023424     20350304            0    438482535  10962521164    548138764    877028036  11949142463            0   1232522214  25130791405  4.281504e+09   3.266600e-02   2.621154e+00   1.673000e-03
      15   1232522214    130023424     20427087            0    438344073  10958481110    547906312    876665243  11944731495            0   1232533409  25121871314  4.415009e+09   2.836800e-02   2.615787e+00   7.760000e-04
      16   1232533409    130023424     20446840            0    438155012  10954641809    547719090    876347255  11940515911            0   1232583146  25113534837  4.537132e+09   2.725100e-02   2.688220e+00   5.830000e-04
      17   1232583146    130023424     20487589            0    438060702  10951618385    547542801    876087930  11937221888            0   1232603408  25107088200  4.649232e+09   2.895300e-02   2.659300e+00   5.420000e-04
      18   1232603408    130023424     20504112            0    437965449  10948868228    547472015    875958512  11934305692            0   1232643768  25101215453  4.751818e+09   2.904600e-02   2.631354e+00   7.200000e-04
      19   1232643768    130023424     20543572            0    437864524  10946169327    547309230    875692667  11931343081            0   1232642533  25095446350  4.845977e+09   3.031200e-02   2.629201e+00   8.170000e-04
      20   1232642533    130023424     20554452            0    437760319  10944234229    547180723    875494405  11929175271            0   1232664868  25090797151  4.932231e+09   2.778400e-02   2.675821e+00   6.160000e-04
      21   1232664868    130023424     20579615            0    437677660  10942112569    547109451    875375177  11926899680            0   1232696743  25086627206  5.011352e+09   3.034700e-02   2.666531e+00   5.790000e-04
      22   1232696743    130023424     20602446            0    437608252  10940647991    547062661    875300503  11925318904            0   1232747311  25083372279  5.084119e+09   3.069100e-02   2.663546e+00   6.950000e-04
      23   1232747311    130023424     20651070            0    437547019  10938851229    546969318    875146710  11923367566            0   1232750038  25079527385  5.150873e+09   2.847700e-02   2.681319e+00   7.880000e-04
