Start time: 1725088207
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-65
# OSU MPI Latency Test v5.8
# Size          Latency (us)
4096                 9084.85
8192                13683.79
16384               19068.75
32768               21802.00
65536               23296.84
131072              24012.27
262144              24351.40
524288              24528.32
1048576             24609.84
2097152             24651.85
4194304             24672.64
Point-to-point pairwise experiments for nodes cluster-256-hpc-65 cluster-256-hpc-105
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.55
4                       1.56
8                       1.56
16                      1.56
32                      1.71
64                      1.76
128                     1.81
256                     2.32
512                     2.40
1024                    2.60
2048                    2.75
4096                    3.47
8192                    3.98
16384                   5.28
32768                   6.89
65536                   9.03
131072                 14.00
262144                 17.11
524288                 27.77
1048576                49.31
2097152                92.40
4194304               176.75
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.01
2                       8.17
4                      15.61
8                      32.68
16                     65.26
32                    129.27
64                    250.21
128                   495.45
256                   952.68
512                  1741.87
1024                 3319.52
2048                 5991.58
4096                 9087.36
8192                13703.78
16384               18740.05
32768               21451.39
65536               23081.55
131072              23916.13
262144              24373.08
524288              24528.44
1048576             24611.63
2097152             24636.42
4194304             24672.03
Point-to-point pairwise experiments for nodes cluster-256-hpc-65 cluster-256-hpc-126
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.59
2                       1.59
4                       1.59
8                       1.60
16                      1.60
32                      1.76
64                      1.80
128                     1.84
256                     2.36
512                     2.46
1024                    2.64
2048                    2.77
4096                    3.51
8192                    4.04
16384                   5.32
32768                   6.97
65536                   9.20
131072                 14.10
262144                 17.27
524288                 27.91
1048576                49.35
2097152                92.71
4194304               176.84
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.01
2                       7.79
4                      16.20
8                      32.44
16                     64.58
32                    129.01
64                    247.21
128                   489.83
256                   944.31
512                  1770.05
1024                 3355.80
2048                 6026.12
4096                 9109.68
8192                13638.37
16384               18922.94
32768               21827.35
65536               23348.02
131072              24004.09
262144              24326.27
524288              24523.58
1048576             24610.50
2097152             24652.62
4194304             24671.02
Point-to-point pairwise experiments for nodes cluster-256-hpc-65 cluster-256-hpc-76
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.58
32                      1.75
64                      1.79
128                     1.85
256                     2.33
512                     2.45
1024                    2.64
2048                    2.77
4096                    3.48
8192                    4.02
16384                   5.32
32768                   6.85
65536                   8.79
131072                 13.57
262144                 17.27
524288                 27.90
1048576                49.43
2097152                92.67
4194304               177.13
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.87
2                       7.72
4                      15.60
8                      31.05
16                     62.78
32                    121.78
64                    244.31
128                   479.29
256                   919.06
512                  1723.10
1024                 3252.09
2048                 5877.91
4096                 9076.84
8192                13554.36
16384               19015.01
32768               21804.91
65536               23343.98
131072              24006.96
262144              24350.77
524288              24524.67
1048576             24610.99
2097152             24652.99
4194304             24672.43
Point-to-point pairwise experiments for nodes cluster-256-hpc-65 cluster-256-hpc-112
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.57
8                       1.57
16                      1.57
32                      1.71
64                      1.75
128                     1.81
256                     2.32
512                     2.42
1024                    2.64
2048                    2.75
4096                    3.46
8192                    3.99
16384                   5.28
32768                   6.78
65536                   8.76
131072                 13.40
262144                 17.20
524288                 27.83
1048576                49.35
2097152                92.59
4194304               176.73
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.07
2                       7.92
4                      16.18
8                      32.31
16                     64.68
32                    127.35
64                    245.68
128                   493.43
256                   944.88
512                  1751.54
1024                 3367.23
2048                 6001.60
4096                 9180.17
8192                13645.57
16384               19094.32
32768               21879.58
65536               23287.24
131072              23987.04
262144              24356.26
524288              24526.51
1048576             24611.22
2097152             24653.15
4194304             24673.14
Point-to-point pairwise experiments for nodes cluster-256-hpc-65 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.57
8                       1.57
16                      1.58
32                      1.75
64                      1.78
128                     1.82
256                     2.33
512                     2.45
1024                    2.62
2048                    2.77
4096                    3.48
8192                    3.99
16384                   5.29
32768                   6.75
65536                   8.90
131072                 13.65
262144                 17.18
524288                 27.79
1048576                49.34
2097152                92.62
4194304               176.84
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.04
4                      16.09
8                      32.38
16                     64.90
32                    128.85
64                    246.62
128                   493.77
256                   941.70
512                  1738.49
1024                 3292.71
2048                 5986.55
4096                 8952.38
8192                13546.95
16384               19048.13
32768               21703.63
65536               23108.50
131072              24018.21
262144              24355.09
524288              24526.29
1048576             24611.52
2097152             24652.67
4194304             24671.52
Point-to-point pairwise experiments for nodes cluster-256-hpc-65 cluster-256-hpc-72
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.57
8                       1.57
16                      1.57
32                      1.72
64                      1.76
128                     1.82
256                     2.32
512                     2.43
1024                    2.57
2048                    2.82
4096                    3.47
8192                    4.00
16384                   5.27
32768                   6.90
65536                   9.04
131072                 14.01
262144                 17.11
524288                 27.71
1048576                49.39
2097152                92.63
4194304               176.86
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.05
2                       8.13
4                      16.20
8                      32.56
16                     63.19
32                    129.48
64                    244.17
128                   493.03
256                   934.10
512                  1752.54
1024                 3366.14
2048                 6080.32
4096                 9125.84
8192                13719.65
16384               19106.32
32768               21452.91
65536               23132.37
131072              24023.15
262144              24356.03
524288              24528.89
1048576             24612.02
2097152             24653.24
4194304             24673.16
