,experiment,cost,size,duration
1,google/gke/cpu,0.14193907199999997,64,1.57788
3,google/gke/cpu,0.13364966755555555,64,1.48573
5,google/gke/cpu,0.1326403662222222,64,1.47451
7,google/gke/cpu,0.1679227342222222,64,1.86673
9,google/gke/cpu,0.16025942044444444,64,1.78154
145,google/compute-engine/cpu,0.1045616391111111,64,1.16237
147,google/compute-engine/cpu,0.09362124444444443,64,1.04075
149,google/compute-engine/cpu,0.0925975502222222,64,1.02937
151,google/compute-engine/cpu,0.08295053653333333,64,0.922128
153,google/compute-engine/cpu,0.08745011342222223,64,0.972148
259,aws/eks/cpu,0.06399743999999999,64,1.24995
261,aws/eks/cpu,0.069065216,64,1.34893
263,aws/eks/cpu,0.071110144,64,1.38887
265,aws/eks/cpu,0.063967744,64,1.24937
267,aws/eks/cpu,0.06508083199999999,64,1.27111
299,aws/parallel-cluster/cpu,23.4617856,64,458.238
301,aws/parallel-cluster/cpu,23.4384384,64,457.782
303,aws/parallel-cluster/cpu,23.452927999999996,64,458.065
325,azure/cyclecloud/cpu,35.21888,64,550.295
327,azure/cyclecloud/cpu,35.18624,64,549.785
329,azure/cyclecloud/cpu,35.22560000000001,64,550.4
403,aws/parallel-cluster/cpu,23.452927999999996,64,458.065
405,aws/parallel-cluster/cpu,47.834828800000004,128,467.137
407,aws/parallel-cluster/cpu,96.69120000000001,256,472.125
409,azure/cyclecloud/cpu,35.21888,64,550.295
411,azure/cyclecloud/cpu,70.828928,128,553.351
11,google/gke/cpu,0.564728384,128,3.13893
13,google/gke/cpu,0.5791644515555555,128,3.21917
15,google/gke/cpu,0.6268876728888889,128,3.48443
17,google/gke/cpu,0.4628950968888888,128,2.57291
19,google/gke/cpu,0.602068935111111,128,3.34648
165,google/compute-engine/cpu,0.2416476088888889,128,1.34315
167,google/compute-engine/cpu,0.24817838222222224,128,1.37945
169,google/compute-engine/cpu,0.2749959324444444,128,1.52851
171,google/compute-engine/cpu,0.2549502364444444,128,1.41709
173,google/compute-engine/cpu,0.2531025493333333,128,1.40682
269,aws/eks/cpu,0.155482112,128,1.51838
271,aws/eks/cpu,0.17483571199999998,128,1.70738
273,aws/eks/cpu,0.20498841599999998,128,2.00184
275,aws/eks/cpu,0.20210278399999998,128,1.97366
277,aws/eks/cpu,0.193328128,128,1.88797
313,aws/parallel-cluster/cpu,47.834828800000004,128,467.137
315,aws/parallel-cluster/cpu,47.87537919999999,128,467.533
317,aws/parallel-cluster/cpu,47.622348800000005,128,465.062
337,azure/cyclecloud/cpu,70.828928,128,553.351
393,azure/aks/cpu,0.48082432,128,3.75644
395,azure/aks/cpu,0.43592832,128,3.40569
397,azure/aks/cpu,0.39305471999999997,128,3.07074
399,azure/aks/cpu,0.41343104,128,3.22993
21,google/gke/gpu,0.14577055288888888,32,0.70202
23,google/gke/gpu,0.14820829866666665,32,0.71376
25,google/gke/gpu,0.1398445880888889,32,0.673481
27,google/gke/gpu,0.14645764835555555,32,0.705329
29,google/gke/gpu,0.26270967466666667,32,1.26519
31,google/gke/gpu,0.14675582577777774,32,0.706765
33,google/gke/gpu,0.09475542755555555,32,0.456335
35,google/gke/gpu,0.1367251456,32,0.658458
37,google/gke/gpu,0.14553695288888888,32,0.700895
39,google/gke/gpu,0.10280850204444444,32,0.495118
41,google/gke/gpu,0.14704341333333332,32,0.70815
43,google/gke/gpu,0.151176576,32,0.728055
45,google/gke/gpu,0.13942826097777777,32,0.671476
47,google/gke/gpu,0.13867222755555553,32,0.667835
49,google/gke/gpu,0.13893614364444443,32,0.669106
155,google/compute-engine/cpu,0.07636551999999999,32,1.69785
157,google/compute-engine/cpu,0.059701703111111115,32,1.32736
159,google/compute-engine/cpu,0.057768108444444445,32,1.28437
161,google/compute-engine/cpu,0.061671729777777774,32,1.37116
163,google/compute-engine/cpu,0.06632378133333333,32,1.47459
185,google/compute-engine/gpu,0.2763353031111111,32,1.33081
187,google/compute-engine/gpu,0.1906445937777778,32,0.91813
189,google/compute-engine/gpu,0.17781195946666667,32,0.856329
191,google/compute-engine/gpu,0.18346175715555554,32,0.883538
193,google/compute-engine/gpu,0.3010138453333333,32,1.44966
305,aws/parallel-cluster/cpu,11.5079424,32,449.529
307,aws/parallel-cluster/cpu,11.5069696,32,449.491
309,aws/parallel-cluster/cpu,11.5516928,32,451.238
311,aws/parallel-cluster/cpu,11.5587584,32,451.514
331,azure/cyclecloud/cpu,17.474016,32,546.063
333,azure/cyclecloud/cpu,17.40336,32,543.855
335,azure/cyclecloud/cpu,17.445408,32,545.169
343,azure/cyclecloud/gpu,0.16865130142222223,32,0.861247
345,azure/cyclecloud/gpu,0.19340949662222223,32,0.987679
347,azure/cyclecloud/gpu,0.19172464222222227,32,0.979075
349,azure/cyclecloud/gpu,0.1691091337777778,32,0.863585
351,azure/cyclecloud/gpu,0.1677937959111111,32,0.856868
383,azure/aks/cpu,0.023115424000000002,32,0.722357
385,azure/aks/cpu,0.016047904,32,0.501497
387,azure/aks/cpu,0.02606976,32,0.81468
389,azure/aks/cpu,0.03526848,32,1.10214
391,azure/aks/cpu,0.022992736,32,0.718523
413,azure/cyclecloud/cpu,70.828928,128,553.351
415,azure/cyclecloud/cpu,17.445408,32,545.169
417,azure/cyclecloud/cpu,143.19936,256,559.3725
419,azure/cyclecloud/cpu,143.19936,256,559.3725
