,experiment,size,iterations,cost,duration
0,google/gke/cpu,64,5,0.7364112604444443,8.18639
1,google/gke/cpu,128,5,2.835744540444445,15.76192
2,google/compute-engine/cpu,64,5,0.46118108373333333,5.126766
3,google/compute-engine/cpu,128,5,1.2728747093333332,7.075019999999999
4,google/compute-engine/cpu,32,5,0.32183084266666667,7.15533
5,google/compute-engine/cpu,256,5,2.4846911857777774,6.90533
6,aws/eks/cpu,64,5,0.33322137599999996,6.50823
7,aws/eks/cpu,128,5,0.930737152,9.08923
8,aws/eks/cpu,256,5,2.8248924160000004,13.793420000000001
9,aws/parallel-cluster/cpu,64,5,70.353152,1374.085
10,aws/parallel-cluster/cpu,128,5,143.3325568,1399.732
11,aws/parallel-cluster/cpu,32,5,46.1253632,1801.772
12,aws/parallel-cluster/cpu,256,5,290.1860352,1416.924
13,azure/cyclecloud/cpu,64,5,105.63072,1650.48
14,azure/cyclecloud/cpu,128,5,70.828928,553.351
15,azure/cyclecloud/cpu,32,5,52.322784,1635.087
16,azure/cyclecloud/cpu,256,5,286.39872,1118.745
17,azure/aks/cpu,128,5,1.7232384,13.462799999999998
18,azure/aks/cpu,32,5,0.12349430400000001,3.859197
19,azure/aks/cpu,256,5,1.18717184,4.63739
20,google/gke/gpu,32,5,0.8429907626666666,4.05978
21,google/gke/gpu,8,5,0.29774588515555556,5.7356869999999995
22,google/gke/gpu,16,5,0.24252185884444444,2.335934
23,google/gke/gpu,4,5,0.04989740124444444,1.922417
24,google/compute-engine/gpu,32,5,1.1292674588444442,5.438467
25,google/compute-engine/gpu,8,5,0.22034538026666667,4.244667
26,google/compute-engine/gpu,16,5,0.6808884551111111,6.558215000000001
27,google/compute-engine/gpu,4,5,0.09141063893333333,3.5218140000000004
28,azure/cyclecloud/gpu,32,5,0.8906883699555557,4.5484539999999996
29,azure/cyclecloud/gpu,8,5,0.25933471222222226,5.29735
30,azure/cyclecloud/gpu,16,5,0.43845878191111115,4.478131
31,azure/cyclecloud/gpu,4,5,0.15050773611111112,6.14875
32,azure/aks/gpu,32,5,0.1400976799111111,0.715433
33,azure/aks/gpu,8,5,0.11196169824444445,2.287007
34,azure/aks/gpu,16,5,0.06465677715555555,0.6603620000000001
35,azure/aks/gpu,4,5,0.044106360911111114,1.8018939999999999
36,aws/eks/gpu,16,5,0.3819885368,2.5035659999999997
