Start time: 1725157852
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.98,   22.49,  89.96,      0.125,    3.20,   10.49,  83.89,     0.250,    2.07,   32.37, 129.49
            1,      0.750,    3.76,   53.56,  71.41,      0.375,    3.76,   26.76,  71.35,     0.750,    3.31,   60.84,  81.12
            2,      1.250,    3.84,   87.40,  69.92,      0.625,    3.84,   43.70,  69.92,     1.250,    3.44,   97.46,  77.97
            3,      1.750,    3.96,  118.60,  67.77,      0.875,    3.94,   59.58,  68.10,     1.750,    3.59,  130.89,  74.79
            4,      2.250,    4.06,  148.73,  66.10,      1.125,    4.04,   74.66,  66.36,     2.250,    3.73,  162.14,  72.06
            6,      3.250,    4.28,  203.93,  62.75,      1.625,    4.21,  103.51,  63.70,     3.250,    3.98,  219.42,  67.51
            8,      4.250,    4.53,  251.84,  59.26,      2.125,    4.52,  126.31,  59.44,     4.250,    4.26,  267.55,  62.95
           12,      6.250,    5.49,  305.82,  48.93,      3.125,    5.46,  153.53,  49.13,     6.250,    6.26,  267.84,  42.85
           16,      8.250,    6.58,  336.36,  40.77,      4.125,    6.54,  169.21,  41.02,     8.250,    8.10,  273.27,  33.12
           20,     10.250,    8.23,  334.12,  32.60,      5.125,    8.27,  166.27,  32.44,    10.250,   10.19,  269.99,  26.34
           24,     12.250,   10.51,  312.82,  25.54,      6.125,   10.50,  156.63,  25.57,    12.250,   12.21,  269.40,  21.99
           28,     14.250,   11.51,  332.34,  23.32,      7.125,   11.45,  167.00,  23.44,    14.250,   14.30,  267.46,  18.77
           32,     16.250,   13.03,  334.75,  20.60,      8.125,   13.03,  167.42,  20.61,    16.250,   16.11,  270.68,  16.66
           40,     20.250,   16.25,  334.57,  16.52,     10.125,   16.23,  167.44,  16.54,    20.250,   20.32,  267.47,  13.21
           48,     24.250,   19.62,  331.78,  13.68,     12.125,   19.61,  165.98,  13.69,    24.250,   24.52,  265.45,  10.95
           56,     28.250,   23.12,  328.04,  11.61,     14.125,   23.14,  163.88,  11.60,    28.250,   28.75,  263.75,   9.34
           64,     32.250,   26.66,  324.76,  10.07,     16.125,   26.71,  162.06,  10.05,    32.250,   33.06,  261.85,   8.12
           80,     40.250,   32.98,  327.56,   8.14,     20.125,   32.88,  164.29,   8.16,    40.250,   41.75,  258.77,   6.43
          104,     52.250,   43.49,  322.48,   6.17,     26.125,   43.52,  161.13,   6.17,    52.250,   54.62,  256.79,   4.91
          120,     60.250,   50.72,  318.89,   5.29,     30.125,   51.32,  157.56,   5.23,    60.250,   63.18,  255.99,   4.25
          128,     64.250,   55.11,  312.98,   4.87,     32.125,   55.16,  156.34,   4.87,    64.250,   67.50,  255.51,   3.98
          160,     80.250,   66.89,  322.06,   4.01,     40.125,   66.88,  161.06,   4.01,    80.250,   86.14,  250.10,   3.12
          192,     96.250,   83.02,  311.20,   3.23,     48.125,   82.83,  155.96,   3.24,    96.250,  103.33,  250.05,   2.60
          256,    128.250,  109.60,  314.10,   2.45,     64.125,  109.74,  156.85,   2.45,   128.250,  137.75,  249.92,   1.95
          320,    160.250,  139.21,  309.01,   1.93,     80.125,  139.32,  154.38,   1.93,   160.250,  172.26,  249.72,   1.56
          512,    256.250,  225.57,  304.94,   1.19,    128.125,  225.58,  152.47,   1.19,   256.250,  275.67,  249.53,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725158008
